"id","name","prefix","year1","year2","language","nodesid"
"24020","Legihan",null,null,null,null,"19518"
"24021","Leithon",null,null,null,null,"19518"
"24022","Leythem",null,null,null,null,"19518"
"24023","Leithen",null,null,null,null,"19518"
"24024","Leyderdorpe",null,null,null,null,"19518"
"24025","Leyderdorp",null,null,null,null,"19518"
"24026","Saltorp",null,null,null,null,"15089"
"24027","Egersborg",null,null,null,null,"15083"
"24028","Eghespyr",null,null,null,null,"15083"
"24029","Eghæspør",null,null,null,null,"15083"
"24030","Vester Egespurge",null,null,null,null,"15083"
"24031","Ørsløv",null,null,null,null,"15087"
"24032","Ørsleef",null,null,null,null,"15087"
"24033","Øsløff",null,null,null,null,"15087"
"24034","Øthesløff",null,null,null,null,"15087"
"24035","Skyppinge",null,null,null,null,"15088"
"24036","Skybingæ",null,null,null,null,"15088"
"24037","Bocnes",null,null,null,null,"10522"
"24038","Boknæs",null,null,null,null,"10522"
"24039","Bowenze",null,null,null,null,"10522"
"24040","Bokenes",null,null,null,null,"10522"
"24041","Broby",null,null,null,null,"15094"
"24042","Braabye",null,null,null,null,"15094"
"24043","Sneckietorp",null,null,null,null,"15101"
"24044","Crækøm",null,null,null,null,"15119"
"24045","Crækhøm",null,null,null,null,"15119"
"24046","Kræghom",null,null,null,null,"15119"
"24047","Kregume",null,null,null,null,"15119"
"24048","Baarse",null,null,null,null,"15085"
"24049","Burghus",null,null,null,null,"15085"
"24050","Buræsæ",null,null,null,null,"15085"
"24051","Borsæ",null,null,null,null,"15085"
"24052","Haraldstath",null,null,null,null,"15103"
"24053","Konigsharaldstethe",null,null,null,null,"15103"
"24054","Kongensharrested",null,null,null,null,"15103"
"24055","Merløse",null,null,null,null,"15110"
"24056","Islemunde",null,null,null,null,"12627"
"24057","Hislemunde",null,null,null,null,"12627"
"24058","Yselmonde",null,null,null,null,"12627"
"24059","Sønder Mern",null,null,null,null,"15086"
"24060","Mærn",null,null,null,null,"15086"
"24061","Søndre Mernd",null,null,null,null,"15086"
"24062","Broxøe",null,null,null,null,"15095"
"24063","Snesør",null,null,null,null,"15082"
"24064","Rythe",null,null,null,null,"15106"
"24065","Tryggevelde",null,null,null,null,"15097"
"24066","Bumele",null,null,null,null,"10800"
"24067","Masebomel",null,null,null,null,"10800"
"24068","Maeseboemel",null,null,null,null,"10800"
"24069","Maesbomel",null,null,null,null,"10800"
"24070","Maessboemel: Maes bommel",null,null,null,null,"10800"
"24071","Maesbommel",null,null,null,null,"10800"
"24072","Kulenburg",null,null,null,null,"10797"
"24073","Culenburgh",null,null,null,null,"10797"
"24074","Kulenborch",null,null,null,null,"10797"
"24075","Culenborgh",null,null,null,null,"10797"
"24076","Colemborch",null,null,null,null,"10797"
"24077","Culemborch",null,null,null,null,"10797"
"24078","Aspert",null,null,null,null,"10798"
"24079","Asspera",null,null,null,null,"10798"
"24080","Asporon",null,null,null,null,"10798"
"24081","Aspre",null,null,null,null,"10798"
"24082","Aspere",null,null,null,null,"10798"
"24083","Huclem",null,null,null,null,"10799"
"24084","Heuklem",null,null,null,null,"10799"
"24085","Heuckelom",null,null,null,null,"10799"
"24086","Huekelem",null,null,null,null,"10799"
"24087","Heukelem",null,null,null,null,"10799"
"24088","Blaustruth",null,null,null,null,"15133"
"24089","Marsem",null,null,null,null,"10828"
"24090","Marxem",null,null,null,null,"10828"
"24091","Marksen",null,null,null,null,"10828"
"24092","Daldorp",null,null,null,null,"10842"
"24093","Daldorpe",null,null,null,null,"10842"
"24094","Daldorff",null,null,null,null,"10842"
"24095","Kiel-Wellsee",null,null,null,null,"10846"
"24096","Wilse",null,null,null,null,"10846"
"24097","Welse",null,null,null,null,"10846"
"24098","Wellsehe",null,null,null,null,"10846"
"24099","Porsuelde",null,null,null,null,"10847"
"24100","Porsvelde",null,null,null,null,"10847"
"24101","Postfeldt",null,null,null,null,"10847"
"24102","Ameyde",null,null,null,null,"10860"
"24103","Ameyda",null,null,null,null,"10860"
"24104","Ameijde",null,null,null,null,"10860"
"24105","Aræld",null,null,null,null,"15199"
"24106","Arælth",null,null,null,null,"15199"
"24107","Döstrup",null,null,null,null,"15200"
"24108","Dusdorp",null,null,null,null,"15200"
"24109","Dusdrup",null,null,null,null,"15200"
"24110","Dysthorp",null,null,null,null,"15200"
"24111","Skads",null,null,null,null,"15201"
"24112","Schads",null,null,null,null,"15201"
"24113","Sønder Skast",null,null,null,null,"15201"
"24114","Skastæth",null,null,null,null,"15201"
"24115","Owile",null,null,null,null,"10875"
"24116","IJsselbrug",null,null,null,null,"10879"
"24117","Theloneo de Ambers",null,null,null,null,"10884"
"24118","Theloneo suo de Ammers",null,null,null,null,"10884"
"24119","Thelonio nostro Ambers",null,null,null,null,"10884"
"24120","Ammers",null,null,null,null,"10884"
"24121","tolne van Ammers",null,null,null,null,"10884"
"24122","Ammers Tol",null,null,null,null,"10884"
"24123","tolhuus tAmmers",null,null,null,null,"10884"
"24124","Klein-Ammers",null,null,null,null,"10884"
"24125","Jerpsted",null,null,null,null,"15202"
"24126","Hyarpzhøgh",null,null,null,null,"15202"
"24127","Hyerepsted",null,null,null,null,"15202"
"24128","Trøyborg",null,null,null,null,"15207"
