"id","nodesid","name","continuationfromid","fromyear","toyear","description","category","commodities","date","fixedday","fixedmonth","numberofdays","weekday","beforeafter","datedependson","startmax","startmin","endmax","endmin"
"1675","15135","Fair of Dragør",null,"1342","1550","Fair of Drag&oslash;r.
One of the fishing markets of Scania, which took place each autumn. (1300-1550)","local","Herring, salt, cloth, oxen","unknown",null,null,null,null,null,null,null,null,null,null
"1677","2126",null,null,"1213",null,"In 1213, the Count of Holland granted the rights for a fair on the day before VIsitation (1 July).","local",null,"fixed","1","7",null,null,null,null,null,null,null,null
"1679","2126",null,null,"1213",null,"In 1213, the Count of Holland granted the rights for a fair on the day before Saint &#039;Margriet&#039; (13 July).","local",null,"fixed","13","7",null,null,null,null,null,null,null,null
"1681","2126",null,null,"1273",null,null,"local",null,"fixed",null,null,null,null,null,null,null,null,null,null
"1683","1406",null,null,"1350",null,"Fair on St Vitus, first confirmed in 1361 but then already existing. It had a market freedom of two days before and after.","local",null,"fixed","15","6",null,null,null,null,"-2",null,"2",null
"1685","1406",null,null,"1469","1602","Fair on Sunday before St Martin&#039;s Day, granted in 1469. There existed market freedom two days before and after.","local",null,"movable","11","11",null,"Sunday","before","Fixed date","-2",null,"2",null
"1687","1406",null,"1685","1603","1603","The St Martin&#039;s fair was moved to eight days after St Martin&#039;s Day in 1603.","local",null,"fixed","18","11",null,null,null,null,"-2",null,"2",null
"1689","1406","Andreasmesse","1687","1604",null,"The fair of St Martin was moved to St Andrew in 1604 and became the &quot;Andreasmesse&quot; that still exists. It lasted for three days and was a cattle market as well.","regional",null,"fixed","30","11",null,null,null,null,null,null,null,"2"
"1691","10483",null,null,"1405",null,"Fair on St Martin&#039;s Day, confirmed by Emperor Charles V in 1521.","local",null,"fixed","11","11",null,null,null,null,null,null,null,null
"1693","949","Bamismarkt",null,"1313","1653","Breda had two fairs. One of which was the Bamismarkt, held for two weeks after the holy day of Saint Bavo on the first of October.","regional",null,"fixed","2","10",null,null,null,null,null,null,null,"13"
"1695","949","Sinxenmarkt",null,"1313","1756","The Sinxenmarkt was held in Breda for two weeks after Pentecost. It continued to be held at least up to 1756.","regional",null,"movable",null,null,null,"Monday","after","Pentecost",null,null,null,"13"
"1697","8180",null,null,"1343",null,"A fair in Wanssum is mentioned on St Michael (29 September) in the account of the duke of Guelders of 1343/4.","local",null,"fixed","29",null,null,null,null,null,null,null,null,null
"1699","1417",null,null,"1340",null,"At least from 1340 onward, a fair took place in Deventer around St John in the summer (24 June).","regional",null,"fixed","24","6",null,null,null,null,null,"-8",null,"8"
"1669","8841","","1667","1633","1654","In 1633, the States of Drenthe instituted a two-day horse fair on Saint Matthew (21 September). Probably, this fair replaced the fair on Saint Michael (29 September). In 1655 it was moved back to the Monday after the initial date (Saint Michael).","regional","","fixed","21","9",null,"","","","-1",null,"1",null
"1701","1417",null,null,"1340",null,"At least from 1340 onward, a fair took place in Deventer around St Jacob (25 July).","regional",null,"fixed","25","7",null,null,null,null,null,"-8",null,"8"
"1703","1417",null,null,"1340",null,"At least from 1340 onward, a fair took place in Deventer around St Giles (1 September).","regional",null,"fixed","1","9",null,null,null,null,null,"-8",null,"8"
"1705","1417",null,null,"1340",null,"At least from 1340 onward, a fair took place in Deventer around St Martin and St Lebuinus (11 and 12 November).","regional",null,"fixed","12","11",null,null,null,null,"-9","-8","8","7"
"1707","1417",null,null,"1386",null,"From 1386 onward, a fair took place in Deventer around Laetare Sunday.","regional",null,"movable",null,null,null,null,null,"Letare",null,"-8",null,"8"
"1709","7369",null,null,"1358",null,"In 1358, Steenwijk was granted the right for a fair during Lent. The exact dates and the duration of the fair are unknown.","regional",null,"movable",null,null,null,null,null,"Letare",null,null,null,null
"1711","7369",null,null,"1358",null,"In 1358, Steenwijk was granted the right for a fair around the Feast of Corpus Christi. The duration of this fair is unknown.","regional",null,"movable","21","10",null,null,null,"Sacramentum",null,null,null,null
"1713","7369",null,null,"1358",null,"In 1358, Steenwijk was granted the right for a fair around St Ursula (21 October). The duration of this fair is unknown.","regional",null,"fixed","21","10",null,null,null,null,null,null,null,null
"1715","3541",null,null,"1382",null,"In 1382, a fair around Pentecost is first mentioned.","regional",null,"movable",null,null,null,null,null,"Pentecost",null,"-8",null,"8"
"1717","3541",null,null,"1382",null,"In 1382, Floris van Wevelinkhoven, bishop of Utrecht, granted the rights for a fair around the fourteenth day after Eastern.","regional",null,"movable",null,null,null,"Sunday","after","Quasimodo",null,"-8",null,"8"
"1821","17900",null,null,"1445","1475","Fair on Saturday after Letare, moved to Mei&szlig;en in 1475.","local",null,"movable",null,null,null,"Saturday","after","Letare",null,null,null,null
"1719","3541",null,null,"1382",null,"In 1382, Floris van Wevelinkhoven, bishop of Utrecht, granted the rights for a fair around St Martin of Tours Translation Day (4 July).","regional",null,"fixed","4","7",null,null,null,null,null,"-8",null,"8"
"1721","3541",null,null,"1382",null,"In 1382, Floris van Wevelinkhoven, bishop of Utrecht, granted the rights for a fair around St Victor (10 October). ","regional",null,"fixed","10","10",null,null,null,null,null,"-8",null,"8"
"1723","17124",null,null,"1318",null,"Fair on St Walpurga&#039;s day (Walpurgismarkt).","local",null,"fixed","1","5",null,null,null,null,null,null,null,null
"1725","17079",null,null,"1538",null,"A four-day horse market took place in Kollum on the day before St Marcellinus and Peter (1 June). It had been granted by emperor Charles V in 1538/1539.  ","regional","horses","fixed","1","6",null,null,null,null,null,null,null,"3"
"1727","17079",null,null,"1538",null,"A four-day free fair took place in Kollum on St Giles (September 1). It had been granted by emperor Charles V in 1538/1539. ","regional",null,"fixed","1","9",null,null,null,null,null,null,null,"3"
"1729","17134",null,null,"1200",null,"In the fourteenth century (probably already in the thirteenth century) a eight-day fair is mentioned in Onderdendam during the Translation of St Walfried (June 22).","local",null,"fixed","22","6",null,null,null,null,null,null,null,"7"
"1731","280",null,"390","1504",null,"In 1504, the &lsquo;Broederkermis&rsquo; was reinstituted and moved to the Saturday after the Feast of the Cross (Saturday after September 14); it is indicated that it lasted eight days. It might have lost much of its importance after 1536. ","regional",null,"movable","14","9",null,"Saturday","after","Fixed date",null,null,null,"7"
"1733","280",null,null,"1504",null,"In 1504, the rights for a fair on the day before St. Ursula and the Eleven Thousands Companions (October 20) were granted. The duration of the fair is not mentioned. It is uncertain whether this fair was actually instituted and, if so, whether it has been successful. ","local",null,"fixed","20","10",null,null,null,null,null,null,null,null
"1735","11912",null,null,"1361",null,"Duke Albrecht granted in 1361 a free fair starting the Nativity of the Virgin Mary (Sept. 8), duration 4 days.","regional",null,"fixed","8","9",null,"Saturday","after","Fixed date",null,null,null,"3"
"1737","11913",null,null,"1417",null,"In 1417, text.","regional",null,"fixed","15","8",null,null,null,null,null,"-7",null,"7"
"1741","8876",null,null,"1323","1521","Jaarmarkt op zondag na Halfvasten van vijf dagen, in 1323 verleend door graaf Willem III. In 1522 verleende Keizer Karel V octrooi om de datum van deze jaarmarkt te verschuiven naar 3 februari. ","regional",null,"movable",null,null,null,null,null,"Judica",null,null,null,"4"
