"id","fairid","language","description"
"492","476","deu","Die Herrenmesse, ursprunglich am St. Crispin und Crispinian, wurde sp&auml;ter auf den 1. Oktober verlegt, wahrscheinlich nach dem Eingehen des &quot;neuen&quot; Marktes sp&auml;testens 1491."
"494","478","deu","Jahrmarkt am Sonntag vor Michaelis."
"496","480","deu","Jahrmarkt zur Domweihe, der 1491, 1515 und 1535 best&auml;tigt wurde. Laut dem Privileg von 1491 fand er vierzehn Tage vor Walpurgis statt."
"498","484","deu","Jahrmarkt am Jacobi; 1692 wird er als vierzehnt&auml;gig erw&auml;hnt."
"500","486","deu","Jahrmarkt am Dienstag nach Ostern; 1692 wird er als achtt&auml;gig erw&auml;hnt."
"502","488","deu","Pferdemarkt am L&auml;tare."
"512","498","deu","Jahrmarkt am Donnerstag und Freitag vor Palmarum"
"518","508","deu","Kirchweihfest am Tage nach Mari&auml; Geburt, das schon vor der Reformation bestand, m&ouml;glicherweise seit Visselh&ouml;vede Weichbildprivilegien erhielt."
"1262","1024","deu","Fr&uuml;hneuzeitlicher Pferdemarkt drei Tage vor Laetare."
"522","512","deu","Kirchweihe am Tag der Geburt Marien, seit dem sp&auml;ten 16. Jh. belegt"
"524","514","deu","Jahrmarkt am Mannfasten (Invocavit), erstmals im sp&auml;ten 16. Jh. belegt."
"526","516","deu","Jahrmarkt am Walpurgistag."
"528","518","deu","Jahrmarkt am Sonntag vor Martini."
"530","520","deu","Dreit&auml;giger Jahrmarkt am Mari&auml; Geburt, der 1365 bereits bestand."
"532","522","deu","1365 erhielt Dannenberg einen weiteren Markt in der Woche nach Ostern."
"538","530","deu","Zw&ouml;lft&auml;giger Jahrmarkt am 14. Januar, 1584 verliehen, 1602 wieder eingestellt."
"540","532","deu","Der Fr&uuml;hjahrsmarkt wurde 1584 auf dem 14. April verschoben und auf zw&ouml;lf Tage verl&auml;ngert."
"542","534","deu","Zw&ouml;lft&auml;giger Jahrmarkt am 14. Juli, 1584 verliehen, 1602 wieder eingestellt."
"544","536","deu","Der Herbstmarkt wurde 1584 auf dem 14. November verschoben und auf zw&ouml;lf Tage verl&auml;ngert."
"546","538","deu","Wegen des Scheiterns des Projektes der Handelsgro&szlig;stadt Gotteslager wurde der Fr&uuml;hlingsjahrmarkt 1602 auf den 5. Mai verschoben und seine Dauer auf 8 Tage begrenzt."
"548","540","deu","Wegen des Scheiterns des Projektes der Handelsgro&szlig;stadt Gotteslager wurde der Herbstjahrmarkt 1602 auf den 5. November verschoben und seine Dauer auf 8 Tage begrenzt."
"550","542","deu","Jahrmarkt am Misericordias Domini."
"552","544","deu","Jahrmarkt am Sonntag nach St. Laurentii."
"554","546","deu","Jahrmarkt am 14 Tage nach Martini."
"558","550","deu","Viehmarkt am 14 Tage vor Bartholom&auml;i"
"560","552","deu","Viehmarkt am acht Tage vor Bartholom&auml;i"
"594","586","deu","Jahrmarkt am Sonntag Oculi."
"596","588","deu","Jahrmarkt am Fest der Kreuzerh&ouml;hung (Crucis)."
"1801","1723","deu","Walpurgismarkt"
"604","598","deu","Jahrmarkt am St. Matth&auml;i"
"606","600","deu","Jahrmarkt am Montag nach Christi Himmelfahrt"
"608","602","deu","Jahrmarkt am St. Jakobi"
"610","604","deu","Jahrmarkt am St. Simonis und Judae"
"612","606","deu","Jahrmarkt am St. Michaelis in der Altstadt"
"630","624","deu","Messe am Peter-und-Pauls-Tag, erstmals 1305 erw&auml;hnt, aber seine Urspr&uuml;nge gehen wahrscheinlich auf die Gr&uuml;ndungszeit der Stadt im 11. Jahrhundert zur&uuml;ck. Die Messe war der wichtigste Jahrmarkt der Stadt und erlangte im 15. Jahrhundert &uuml;berregionale Bedeutung. Trotz Konflikten mit Leipzig im 16. Jahrhundert weil der Markt sich innerhalb der Bannmeile von 15 Meilen um Leipzig befand, konnte der Peter-Pauls-Messe sich durchsetzen, und wird deswegen weitgehend dem Leipziger Jahrmarktsystem zugerechnet."
"632","626","deu","Ein Jahrmarkt am Gr&uuml;ndonnerstag wird erstmals in einer Best&auml;tigung Kaiser Maximilians 1514 erw&auml;hnt, aber wurde angeblich bereits seit &uuml;ber 100 Jahren abgehalten. Im Privileg von 1514 wurde der Markt auf Sexagesima verlegt, allerdings protestierte Leipzig stark und das Privileg wurde im selben Jahr wieder aufgehoben. Der Jahrmarkt fand nie auf Sexagesima statt und trotz wiederholter Versuche des Naumburger Rates, den Jahrmarkt zu retten, wurde er schlie&szlig;lich 1667 ganz eingestellt."
"638","632","deu","Jahrmarkt der stattfand zwischen dem 22. Oktober und 3. November, m&ouml;glicherweise am St. Simon und Juda."
"644","638","deu","Markt im Zusammenhang mit dem Kirchweihfest am Christi Himmelfahrt. Zun&auml;chst d&uuml;rfen nur Einheimische verkaufen, ab 1532 wird der Warenverkauf durch ausw&auml;rtige Kaufleute gew&auml;hrt."
"678","676","deu","Altenburg bekam 1419 vom Markgraf Wilhelm das Recht, einen achtt&auml;gigen Jahrmarkt von Sonntag Rogate bis Exaudi abzuhalten."
"682","680","deu","Bartholom&auml;imarkt"
"694","692","deu","1437 wird ein Jahrmarkt am Tage Nativitatis Mari&auml; Virginis erw&auml;hnt. Es ist jedoch nicht ganz klar, ob der Jahrmarkt jedes Jahr am gleichen Tag abgehalten wurde."
"700","698","deu","Michaelismarkt, der bereits seit der Gr&uuml;ndung der Stadt gehalten wird. Das angebliche Gr&uuml;ndungsjahr 933 beruht auf eine F&auml;lschung."
"706","704","deu","Der Klostermarkt oder Br&uuml;der-Kirchweih fand am Sonntag Cantate, dem Kirchweihtag des Franziskanerklosters statt, das 1242 eingeweiht wurde."
"708","706","deu","Jahrmarkt am 2. Trinitatissonntag, dem Tag der zweiten Kirchweihe der Pfarrkirche 1278, der bis ins fr&uuml;he 20. Jh. abgehalten wurde. Der Markt wurde auch Sensenmarkt genannt, weil das Heu um diese Jahreszeit geerntet wurde."
"712","710","deu","Jahrmarkt am Burcharditag, zur Erinnerung an die Verleihung der Stadtrechte durch Kaiser Ludwig den Bayern 1344. Im 20. Jh. wurde der Markt meistens Zwickmarkt genannt."
"714","712","deu","Jahrmarkt am Maria Magdalenentag, dem Weihtag einer Kapelle die auf den &Uuml;berresten der 1349 geschliffenen Synagoge errichtet wurde un 1384 eingeweiht wurde."
"716","714","deu","Der Rossmarkt am Montag nach Reminiscere wurde 1612 vom Kurf&uuml;rsten Johann Georg von Sachsen eingerichtet. Sp&auml;ter wurde er auf Dienstag nach Invocavit verlegt und bis ins 20. Jahrhundert als gew&ouml;hnlicher Jahrmarkt abgehalten."
"1026","174","deu","Walpurgismarkt"
"1028","658","nld","De Sint Walburgis-markt (op 1 mei) staat ook bekend als de Meimarkt. Dit is de enige markt in Gelre met een, tot op zekere hoogte, supraregionale functie. Tenminste vanaf de vroege zestiende eeuw was dit voornamelijk een ossenmarkt."
"1030","660","nld","Jaarmarkt rond Sint Bartholomeus. Het recht op deze jaarmarkt werd verleend door graaf Reinoud I van Gelre in 1316. Hij was ten minste tot en met 1543 in functie."
"1032","662","nld","Jaarmarkt die acht dagen voor de dag voor de naamdag van Sint Vitus en Sint Modestus plaatsvond. De rechten werden verleend door hertog Reinoud IV van Gelre in 1420. De aanleiding voor de toekenning van rechten voor deze jaarmarkt en een andere in hetzelfde jaar was de verslechterende positie van Zutphen in het handelssysteem. In combinatie met de stapelrechten op goederen die over de Berkel van Lochem naar Zutphen werden vervoerd, had dit hertogelijke gebaar gedurende tien jaar een positief effect op de markthandel in Zutphen. (1420-)"
"1034","664","nld","Jaarmarkt acht dagen voor de dag voor Allerheiligen. De rechten voor de markt werden verleend door hertog Reinoud IV van Gelre in 1420. De aanleiding voor de toekenning van rechten voor deze jaarmarkt en een andere in hetzelfde jaar was de verslechterende positie van Zutphen in het handelssysteem. Gedurende tien jaar is een positief effect waarneembaar op de markthandel in Zutphen als gevolg van de instelling van deze markten en stapelrechten voor goederen die vanuit Lochem naar Zutphen vervoerd werden over de Berkel."
"1128","864","deu","Viehmarkt nach Simonis und Judae."
"1136","872","deu","Jahrmarkt am Sonntag nach Mari&auml; Himmelfahrt"
"1036","666","nld","Deze markt vond plaats op de dag van Sint Jansdag. Samen met drie andere markten werd het recht op deze markt aan Zutphen toegekend in 1464-1465. Er zijn geen documenten bewaard van de offici&euml;le toekenning en het is onduidelijk of de markten ooit actief zijn geweest. De markt vond tegelijk met een markt in Deventer plaats. De instelling van deze markt is waarschijnlijk gerelateerd aan een handelsoorlog tussen Deventer en steden in Holland."
"1038","668","nld","Deze markt vond plaats tijdens het feest van Sint-Jacob. Samen met drie andere markten werd het recht op deze markt aan Zutphen toegekend in 1464-1465. Er zijn geen documenten bewaard van de offici&euml;le toekenning en het is onduidelijk of de markten ooit actief zijn geweest. De markt vond tegelijk met een markt in Deventer plaats. De instelling van deze markt is waarschijnlijk gerelateerd aan een handelsoorlog tussen Deventer en steden in Holland."
"1040","670","nld","Deze markt vond plaats op de Sint Micha&euml;lsdag. Samen met drie andere markten werd het recht op deze markt aan Zutphen toegekend in 1464-1465. Er zijn geen documenten bewaard van de offici&euml;le toekenning en het is onduidelijk of de markten ooit actief zijn geweest. De markt vond tegelijk met een markt in Zwolle plaats. De instelling van deze markt is waarschijnlijk gerelateerd aan een handelsoorlog tussen Deventer en steden in Holland."
"1134","870","deu","Jahrmarkt Petri Pauli"
"1042","672","nld","Deze markt vond plaats op Sint Maarten of Sint Lebu&iuml;nus. Samen met drie andere markten werd het recht op deze markt aan Zutphen toegekend in 1464-1465. Er zijn geen documenten bewaard van de offici&euml;le toekenning en het is onduidelijk of de markten ooit actief zijn geweest. De instelling van deze markt is waarschijnlijk gerelateerd aan een handelsoorlog tussen Deventer en steden in Holland."
"1044","674","nld","Deze markt vond plaats op Sint Gregorius. De markt werd toegestaan door hertog Karel van Gelre in 1522."
"1046","720","deu","1466 wird der Neujahresmarkt von Kurf&uuml;rst Firedrich III. um zwei Tage verl&auml;ngert, sodass er jetzt acht Tage dauerte."
"1048","730","deu","Sonntag vor Mari&auml; Himmelfahrt (&quot;unser leven frowen wortemissen&quot;) "
"1050","732","deu","Sonntag vor St. Martin"
"1052","734","deu","Jahrmarkt am St. Simon und Juda"
"1054","736","deu","Dreit&auml;giger Jahrmarkt am acht Tage vor St. Viti."
"1056","738","deu","Dreit&auml;giger Jahrmarkt am acht Tage vor St Michaeli, mit dem ein Viehmarkt verbunden war."
"1058","740","deu","Pferdemarkt am Tag der Apostelteilung"
"1060","750","deu","Achtt&auml;giger Jahrmarkt am St Vitus, der in die vorreformatorische Zeit zur&uuml;ckgeht. Fur den wichtigen Holzmarkt wurde der Dauer des Marktes oft bis 14 Tage verl&auml;ngert. Weil das Holz &uuml;ber den Wasserweg angeliefert wurde, fand der Markt auf einem Gel&auml;nde au&szlig;erhalb der Deiche statt."
"1062","752","deu","Dreit&auml;giger Jahrmarkt am Sonntag Cantate. 1620 wird er nicht mehr erw&auml;hnt."
"1064","754","deu","Dreit&auml;giger Jahrmarkt am Sonntag nach St. Bartholomei. 1620 wird er nicht mehr erw&auml;hnt."
"1066","756","deu","Jahrmarkt am Sonntag nach St. Georgii"
"1068","758","deu","Jahrmarkt am Sonntag nach Trinitatis"
"1070","760","deu","Jahrmarkt am Sonntag vor Allerheiligen"
"1072","762","deu","Kram- und Holzmarkt am Dienstag vor St. Michaelis. Erstmals 1724 erw&auml;hnt, aber wahrscheinlich um 1588 eingerichtet."
"1074","764","deu","Jahrmarkt am zweiten Sonntag vor St. Michaelis"
"1076","766","deu","Jahrmarkt am Donnerstag nach Ostern. 1640 wird er als 14-t&auml;gig definiert."
"1078","770","deu","Dieser Jahrmarkt wurde an St. Vitus 1521 eingerichtet, Trotz protest von Leipzig und den Boykott durch Herzog Georg von Sachsen wurde er 1521, 1583, 1617, 1619, 1637, 1660 und 1690 abgehalten."
"1080","772","deu","Jahrmarkt am Sonntag nach Mauritii."
"1084","776","deu","Jahrmarkt am Sonntag nach dem Gallustag"
"1086","780","deu","1556 sollte der Vieh- und Jahrmarkt in J&uuml;terbog von 8 Tagen vor, auf den Donnerstag nach Laurentii verschoben werden."
"1088","782","deu","1558 sprach der Rat Wurzen die Absicht aus, einen Jahrmarkt einzurichten, der vom Bischof zu Mei&szlig;en genehmigt worden war. Leipzig legte jedoch Protest ein, woraufhin Kurf&uuml;rst August dem Bischof von Mei&szlig;en auferlegte, den Jahrmarkt wieder abzuschaffen."
"1090","788","deu","1609 gew&auml;hrte Kurf&uuml;rst Christian II. Wahrenbr&uuml;ck zwei neue Jahrm&auml;rkte, einen Tag vor dem Jahrmarkt sollte ein Viehmarkt, und einen Tag davor ein Zeugmarkt abgehalten werden."
"1092","790","deu","1609 gew&auml;hrte Kurf&uuml;rst Christian II. Wahrenbr&uuml;ck zwei neue Jahrm&auml;rkte, einen Tag vor dem Jahrmarkt sollte ein Viehmarkt, und einen Tag davor ein Zeugmarkt abgehalten werden. Dieser Markt wurde am Sonntag nach Luciae abgehalten."
"1144","880","deu","Jahrmarkt am Gertrudentag (17. M&auml;rz)."
"1096","794","deu","Jahrmarkt am Sonntag vor Simonis und Judae"
"1098","796","deu","Jahrmarkt an Judica"
"1100","798","deu","Jahrmarkt auf der Eselstedter Wiese in Querfurt am Donnerstag nach Ostern. Er verfiel w&auml;hrend des 30-j&auml;hrigen Krieges."
"1102","800","deu","Jahr-, Vieh- und Buttermarkt"
"1104","802","deu","Jahrmarkt an Misericordia Domini"
"1106","804","deu","Jahrmarkt an Matthaei"
"1108","636","deu","Der Vieh- und Jahrmarkt auf Aegidii wurde 1492 durch Kurf&uuml;rsten Friedrich den Weisen und Herzog Johann von Sachsen verliehen. Nach dem Drei&szlig;igj&auml;hrigen Krieg wurde der Markt 1648 und 1686 neu best&auml;tigt."
"1110","842","deu","Jahrmarkt am Montag nach Pfingsten, existierte bereits vor den Privilegierungen 1409."
"1112","844","deu","Jahrmarkt am Tag nach Allerheiligen, existierte bereits vor den Privilegierungen 1409."
"1114","846","deu","Veitsmarkt, existierte bereits vor den Privilegierungen 1409."
"1116","848","deu","Jahrmarkt am Mauritiustag, sp&auml;ter bekannt als &quot;Feldmarkt&quot;."
"1118","850","deu","Jahrmarkt an Maria Lichtme&szlig;."
"1120","856","deu","Jahrmarkt in der ersten Oktoberh&auml;lfte."
"1122","858","deu","Kurf&uuml;rst Johann Friedrich verleiht Belgern 1544 einen Jahrmarkt am Sonntag nach dem Antoniustag (13. Juni)."
"1124","860","deu","Pferdemarkt am 23. Juni"
"1126","862","deu","Viehmarkt am Montag nach St. Galli, 1643 gew&auml;hrt."
"1138","874","deu","Der Jahrmarkt zu Mari&auml; Himmelfahrt wird auf den Sonntag nach Allerheiligen verschoben, da zu Mari&auml; Himmelfahrt die Ernte noch eingefahren wurde. "
"1142","878","deu","Jahrmarkt Reminiscere. Die Erw&auml;hnung findet sich im Zusammenhang mit Schulferien aus der Mitte des 17. Jahrhunderts."
"1148","884","deu","Mitfastenmarkt"
"1150","886","deu","Jahrmarkt am Montag nach Invocavit"
"1152","888","deu","Jahrmarkt am Montag nach Palmarum"
"1154","890","deu","Jahrmarkt an Petri und Pauli"
"1146","882","deu","Jahrmarkt am Sonntag nach der Geburt Johannes des T&auml;ufers (24. Juni)."
"1140","876","deu","Fastenmarkt am Sonnabend vor Invokavit, erstmals 1487 erw&auml;hnt, aber wird erst 1550 zum Jahrmarkt erhoben, der auch nicht-einheimischen H&auml;ndlern offenstand. Er war auch als Heringsmarkt bekannt."
"1156","892","deu","Jahrmarkt am Montag nach Michaelis"
"1158","894","deu","Jahrmarkt am Dienstag nach Trinitatis"
"1160","896","deu","1587 erwirken Stadt und Rat Tangerm&uuml;nde die Genehmigung, den Jahrmarkt auf Dienstag nach Jocunditatis zu verlegen."
"1164","948","deu","Jahrmarkt am Sonntag nach Deuli (?)"
"1166","950","deu","Jahrmarkt am Sonntag nach Bartolom&auml;us"
"1168","946","deu","Jahrmarkt am Sonntag nach Peter und Paul"
"1170","952","deu","Jahrmarkt acht Tage vor Martini."
"1172","956","deu","Jahrmarkt an Philippi und Jacobi (1. Mai)"
"1174","958","deu","Jahrmarkt am Dienstag nach Martini"
"1176","960","deu","Viehmarkt an Mari&auml; Lichtmess"
"1178","962","deu","Jahrmarkt an Philippi und Jacobi"
"1180","964","deu","Jahrmarkt an St. Jacobi"
"1182","966","deu","Jahrmarkt an Allerheiligen"
"1184","968","deu","Der Markt soll &#039;droben uf dem alten Marckte&#039; gehalten werden."
"1186","970","deu","Der Markt soll &#039;uf den andern Marckte&#039; gehalten werden. Er findet am Sonntag Bartholom&auml;i statt."
"1194","982","deu","Jahrmarkt am Walpurgistag und den Tagen vorher und nachher, der 1444 der Jahrmarkt an St. Simon und Judas ersetzte."
"1196","768","deu","Bartholom&auml;imarket, 1502 wird der Jahrmarkt von Kaiser Maximilian um 2 Tage von 3 auf 5 Tage verl&auml;ngert."
"1198","984","deu","Martini-Markt"
"1200","722","deu","Jahrmarkt am Peter und Pauls-Tag"
"1202","724","deu","1582 erlaubte Herzog August von Sachsen Wei&szlig;ensee einen Pferde- und Jahrmarkt an Laetare und dem folgenden Montag."
"1204","726","deu","Jahrmarkt am zweiten Sonntag nach dem Margaretentag."
"1206","728","deu","Jahrmarkt am dritten Sonntag nach Galli."
"1208","986","deu","Jahrmarkt auf Margaretha, 1390 gegr&uuml;ndet."
"1210","988","deu","Jahrmarkt am Michaelistag, 1432 gegr&uuml;ndet."
"1212","990","deu","Jahrmarkt am Mari&auml; Opferung, 1582 gegr&uuml;ndet."
"1214","852","deu","Jakobimarkt am Mittwoch vor Jakobi"
"1216","778","deu","Jahrmarkt am Sonntag nach St. Margaret."
"1218","992","deu","Fastelabendmarkt, 1614 eingerichtet."
"1220","994","deu","St. Gallusmarkt, m&ouml;glicherweise erst seit 1578 existierend."
"1222","996","deu","St. Georgiusmarkt, m&ouml;glicherweise erst seit 1578 existierend."
"1224","998","deu","St Vitusmarkt, m&ouml;glicherweise erst seit 1578 existierend."
"1226","1000","deu","Jahrmarkt am Sonntag Oculi."
"1228","922","deu","Jahrmarkt an Rogate"
"1230","924","deu","Jahrmarkt am Sonntag nach Maria Geburt"
"1232","916","deu","Jahrmarkt am Dienstag vor Simon und Juda"
"1234","914","deu","Jahrmarkt am Dienstag vor Mari&auml; Heimsuchung."
"1236","912","deu","Jahrmarkt am Dienstag nach Judica."
"1238","954","deu","Jahrmarkt an Mari&auml; Geburt"
"1240","1002","deu","Ochsenmarkt am letzten Donnerstag in April."
"1242","1004","deu","Ochsenmarkt am ersten Donnerstag in Mai."
"1244","1006","deu","Ochsenmarkt an St. Simon und Judas."
"1246","1008","deu","Ochsenmarkt in Wedel von Mitte M&auml;rz bis Mitte April oder in den drei bis vier Wochen nach der Verk&uuml;ndigung Mari&auml;."
"1248","1010","deu","Neumarkt am Montag nach Dreik&ouml;nigstag, erstmals 1400 erw&auml;hnt."
"1250","1012","deu","Ochsenmarkt am St. Gallustag, der auf dem Klostergel&auml;nde stattfand. Er war ein der wichtigsten Viehm&auml;rkte f&uuml;r Ochsen aus J&uuml;tland und Schleswig."
"1252","1014","deu","Jahrmarkt am B&uuml;rgertag (7. oder 8. September). Gleichzeitig fand ein Pferdemarkt statt."
"1254","1016","deu","Jahrmarkt am Mittwoch vor Fastnacht."
"1256","1018","deu","Jahrmarkt am Sonntag vor Reminiscere."
"1258","1020","deu","Jahrmarkt am Donnerstag vor Palmsonntag."
"1260","1022","deu","Jahrmarkt acht Tage vor St. Jacobi."
"1264","918","deu","Jahrmarkt am Montag nach Cantate"
"1266","920","deu","Jahrmarkt am Montag vor der Enthauptung Johannes des T&auml;ufers."
"1268","708","deu","Kirchweihfest, urspr&uuml;nglich am St. Ulrichstag, dann am St. Urban und ab 1336 am Sonntag Quasimodogeniti. Bis ins 16. Jh. dauerte der Markt drei Tage, von Samstag bis Montag."
"1270","700","deu","Jahrmarkt am Fabian-und-Sebastianstag."
"1272","702","deu","Jahrmarkt an Martini, um an die Kirchweihe der Martinskirche 1007 zu erinnern."
"1274","1026","deu","Jahrmarkt am Peter- und Paulstag, der mit der K&ouml;nigslutterer Wallfahrt in Verbindung stand."
"1276","1028","deu","Kram- und Viehmarkt am Sonntag vor St. Galli, 1621 verliehen."
"1278","1030","deu","Jahrmarkt am Himmelfahrt, 1582 nach Bremerv&ouml;rde verlegt."
"1280","610","deu","Der Jahrmarkt zu Mari&auml; Geburt (8. September) wird im 13. Jh. erw&auml;hnt, aber wahrscheinlich bezieht sich die erste Erw&auml;hnung eines Jahrmarktes in Halle 1128 ebenso auf diesen Markt."
"1282","1032","deu","Jahrmarkt an Misericordias Domini."
"1284","1034","deu","Jahrmarkt zu Allerheiligen."
"1286","1036","deu","Jahrmarkt um Mari&auml; Geburt"
"1288","1038","deu","Jahrmarkt um Michaelis."
"1290","1040","deu","Jahrmarkt in der Neustadt an Pfingsten"
"1294","1046","deu","Jahrmarkt am zweiten Montag nach Mari&auml; Geburt."
"1296","1056","deu","Jahrmarkt zur Kreuzerh&ouml;hung."
"1298","1054","deu","Jahrmarkt an Exaudi"
"1300","1052","deu","Jahrmarkt zu Judica"
"1302","1074","deu","1496 gew&auml;hrt Markgraf Johann einen weiteren Jahrmarkt an Laetare Sonntag und den darauf folgenden Montag."
"1304","1076","deu","Im 16. Jahrhundert wurde ein Viehmarkt zu Mari&auml; Himmelfahrt gehalten."
"1306","1078","deu","Jahrmarkt um den Walpurgistag."
"1308","1080","deu","Jahrmarkt am Kreuzerh&ouml;hungstag."
"1310","1082","deu","Jahrmarkt am Martinstag."
"1312","854","deu","Jahrmarkt an Pfingsten"
"1314","978","deu","Der &#039;Kieler Umschlag&#039; wurde vor 1500 an unterschiedlichen Terminen abgehalten, davon war St. Martini einer der meist genannten."
"1316","1084","deu","Der &#039;Kieler Umschlag&#039; wurde vor 1500 an unterschiedlichen Terminen abgehalten, davon war St. Michaelis einer der meist genannten."
"1318","980","deu","Neben anderen Tagen ist der Kieler Umschlag erstmals 1473 in der Dreik&ouml;nigsoktave &uuml;berliefert. Im 16. Jh. setzte dieser Termin sich durch als Haupttermin des Marktes."
"1320","1086","deu","Einwochiger Jahrmarkt am Sonntag Invocavit."
"1322","1088","deu","Einwochiger Jahrmarkt am Montag nach St. Petri und Pauli."
"1324","1090","deu","Einwochiger Jahrmarkt am Montag nach St. Franciscus."
"1326","1092","deu","Jahrmarkt an Bartholom&auml;i."
"1328","934","deu","Michaelismarkt"
"1330","1094","deu","Jahrmarkt am Sonntag Invocavit."
"1332","1096","deu","Jahrmarkt am St. Jacobi."
"1334","1098","deu","Jahrmarkt am St. Martini."
"1336","1100","deu","Jahrmarkt am St. Gallus, vor dem Westerntor stattfindend. Hier wurden haupts&auml;chlich landwirtschaftliche Produkte verhandelt."
"1338","1102","deu","Jahrmarkt am St. Johannis, 1521 durch zwei neue M&auml;rkte ersetzt."
"1340","1104","deu","Jahrmarkt am Petri Stuhlfeier."
"1342","1106","deu","Jahrmarkt am Maria Magdalena"
"1344","1108","deu","Jahrmarkt am Mari&auml; Verk&uuml;ndigung"
"1346","1110","deu","Jahrmarkt am St. Nikolaus"
"1348","1112","deu","Der Michaelismarkt fand seit 1584 statt am dritten Montag nach St. Michaelis. Heinrich Rantzau erw&auml;hnt 1597 14 Tage nach Michaelis als Termin."
"1350","1114","deu","Jahrmarkt am Walpurgistag"
"1352","1116","deu","Jahrmarkt am Johannistag"
"1354","1118","deu","Jahrmarkt am Remigiustag, der nach 1559 verschwunden scheint zu sein."
"1356","1120","deu","Jahrmarkt am Bartholom&auml;ustag"
"1358","1122","deu","Jahrmarkt am St Martini"
"1360","1124","deu","Jahrmarkt am St. Martini."
"1362","1126","deu","Jahrmarkt am 9. September"
"1364","1128","deu","Der Septembermarkt wurde 1553 auf den zweiten Weihnachtstag verlegt."
"1366","1130","deu","Der Weihnachtsmarkt wurde 1574 auf das Fest der unschuldigen Kinder verlegt, weil er das Weihnachtsfest st&ouml;rte."
"1368","1132","deu","Jahrmarkt am Michaelistag"
"1370","1134","deu","Jahrmarkt am Donnerstag nach Sexagesima."
"1372","1136","deu","Kirmes am Sonntag nach Mari&auml; Himmelfahrt"
"1374","1138","deu","Der &quot;Kalte Markt&quot; fand vor Weihnachten statt."
"1376","1140","deu","Jahrmarkt am St. Dionysius"
"1378","1142","deu","Jahrmarkt am Allerheiligen"
"1380","1144","deu","Jahrmarkt am St. Jacobi"
"1382","1146","deu","Dreit&auml;giger Herbstviehmarkt am Tag vor St. Martini."
"1384","1148","deu","Pfingstmarkt, erstmals 1598 erw&auml;hnt."
"1386","1150","deu","Einw&ouml;chiger Jahrmarkt am Fest Cosmas und Damian, 1041 verliehen. Er fand urspr&uuml;nglich drei Tage vor und nach dem Festtag statt, dauerte aber im 13. Jh. nur noch zwei Tage."
"1388","1154","deu","Jahrmarkt an Dionysii."
"1390","1156","deu","Ein weiterer Markt wurde zwischen 1635 und 1657 an Simon und Juda eingef&uuml;hrt."
"1392","1184","deu","Jahrmarkt am Sonntag nach dem Peter- und Paulstag."
"1394","1186","deu","Jahrmarkt am Montag nach dem Michaelistag."
"1396","1200","deu","Jahrmarkt am Montag nach dem 1. Advent."
"1400","388","nld","Een kermis ter ere van de wijding van de Nicolaaskerk wordt voor het eerst genoemd in een gildebrief van 1449. Dit is waarschijnlijk de jaarmarkt die al in 1308 genoemd wordt, de eerste expliciete vermelding van een jaarmarkt in Appingedam. Hij werd heringesteld in 1504, vond waarschijnlijk plaats op de vrijdag na Paasachtedag (de vrijdag na de zondag na Pasen), en duurde acht dagen."
"1408","1206","deu","Jahrmarkt am St. Simon und Juda"
"1410","1208","deu","Jahrmarkt am Christi Himmelfahrt."
"1412","1210","deu","Der Himmelfahrtsmarkt wurde 1563/64 auf den ersten Donnerstag in der Fastenzeit verlegt."
"1414","1212","deu","Jahrmarkt am Servatiustag, erstmals 1461 erw&auml;hnt als er auf Fronleichnam verlegt wurde."
"1416","1214","deu","Jahrmarkt auf Fronleichnam."
"1418","1216","deu","Jahrmarkt am St. Matth&auml;i, best&auml;tigt 1521/22."
"1420","1218","deu","Jahrmarkt am Nikolaustag, 1600 genehmigt."
"1422","1220","deu","Jahrmarkt am Johannistag"
"1424","1222","deu","Jahrmarkt am St. Leonhard"
"1426","1224","deu","Jahrmarkt am Michaelistag"
"1891","1807","deu","Jahrmarkt am Palmsonntag"
"1428","1226","deu","Ein Jahrmarkt am Tag der Enthauptung Johannes des Taufers wird im Stadtrecht von 1488 best&auml;tigt; m&ouml;glicherweise bestand er bereits vor dem 15. Jh. Der Markt war mit einer Marktfreiheit von 2 Tagen vor und nach dem Heiligentag versehen."
"1430","1228","deu","Jahrmarkt am Martinstag"
"1432","1230","deu","Jahrmarkt am Petri Stuhlfeier"
"1434","1232","deu","Jahrmarkt am Pfingsten"
"1436","13","nld","Jaarmarkt op dinsdag na Pinksteren"
"1438","14","nld","Jaarmarkt op St. Remigius"
"1440","15","nld","Jaarmarkt op St. Barbara"
"1442","17","nld","Verlenging van de jaarmarkt op St. Remigius tot 16 dagen."
"1444","18","nld","Verlenging van de jaarmarkt op St. Barbara tot 16 dagen."
"1446","19","nld","Verlenging van de Pinksterjaarmarkt tot 16 dagen."
"1448","1234","deu","Kram- und Viehmarkt am Michaelistag."
"1454","23","nld","Zondag na Invocavit (1294-) "
"1456","24","nld","St. Albinus (1343-)"
"1458","25","nld","Zondag na St. Lambertus (1343-)"
"1460","31","nld","De paardenmarkt op Zondag Oculi ontstond v&oacute;&oacute;r 1456. In 1456 werd hij verplaatst naar de donderdag na Reminiscere. De duur van de jaarmarkt is onbekend. (1450-1455)"
