"id","fairid","language","description"
"1999","1906","fin","Vaasan markkinap&auml;iviksi vahvistettiin 1606 kynttil&auml;np&auml;iv&auml; (2.2.) ja Laurentius (10.8.). Markkinoista annettiin tarkempia m&auml;&auml;r&auml;yksi&auml; 1611. Laurentiuksen markkinat vahvistettiin uudelleen 1640 ja ne mainitaan 1708. Molemmat markkinap&auml;iv&auml;t voivat takautua 1300-luvun j&auml;lkipuolelle."
"2026","1934","fin","Pyht&auml;&auml;n kirkolla pidetyt Laurentiuksen (10.8.) markkinat mainitaan 1584, jolloin niill&auml; k&auml;vi Helsingin porvareita."
"240","218","deu","Freimarkt am Sonntag Laetare (Mittfasten)"
"242","220","deu","Freimarkt am Johannistag"
"244","222","deu","Sonntag Invocavit"
"246","224","deu","Pfingsten"
"248","226","deu","Mariä Geburt"
"250","228","deu","Nikolaus"
"2027","1935","fin","Kymin Korkeakoskella pidetyt Laurentiuksen (10.8.) markkinat mainitaan 1600 ja 1606."
"2029","1877","deu","Jahrmarkt am Mittwoch nach Bartholom&auml;i (24. August)."
"2031","1936","fin","Turun porvarit anoivat 1672 Paimion apostoli Jakobin p&auml;iv&auml;n&auml; (25.7.) pidettyjen paikallisisten markkinoiden lopettamista. Markkinat ovat todenn&auml;k&ouml;isesti takautuneet keskiaikaan."
"2032","1937","fin","Halikon kirkolla pidetyt p. Birgitan (7.10.) paikalliset talonpoikaismarkkinat siirrettiin viimeist&auml;&auml;n 1600-luvulla Salon sillan markkinoiden yhteyteen."
"2033","1938","fin","Salon sillan markkinap&auml;ivi&auml; olivat 1600-luvulla apostoli Bartolomeus (24.8.) ja apostoli Matteus (21.9.), sek&auml; Halikosta siirretyt pyh&auml;n Birgitan (7.10.) markkinat ja paikalliset Marian yl&ouml;snousemuksen (15.8.) markkinat."
"264","242","deu","Der Termin des Misericordia-Marktes wurde 1476 leicht geändert zu der ganzen Woche nach Sonntag Misericordia."
"1162","616","deu","Jahrmarkt an Michaelis (29. September), mit einer Dauer von einer Woche."
