"id","nodesid","language","pertainsto","description"
"22011","18213","fin","settlement","&lt;b&gt;Kievari:&lt;/b&gt; Halikon nimismiestalo toimi my&ouml;s kestikievarina.Nimismiehet olivat velvoitettuja pit&auml;m&auml;&auml;n kievaria 1500-1600-luvuilla.

&lt;b&gt;Postitalo:&lt;/b&gt; Valtakunnanvouti Bernhardt Steen von Steenhausen perusti vuonna 1638 postitalon Halikkoon H&auml;nt&auml;l&auml;n kyl&auml;&auml;n. "
"22009","18212","fin","settlement","&lt;b&gt;Kievari:&lt;/b&gt; Vehmaan nimismiestalo oli hetkitt&auml;in Vinkkil&auml;n kyl&auml;ss&auml;, ja pysyv&auml;mmin vuodesta 1584 l&auml;htien. Nimismiehet olivat velvoitettuja pit&auml;m&auml;&auml;n kievaria 1500-1600-luvuilla. Kievari muutti vuonna 1650 Laittisten kyl&auml;&auml;n. 

&lt;b&gt;Postitalo:&lt;/b&gt; Valtakunnanvouti Bernhardt Steen von Steenhousen perusti vuonna 1638 Vehmaan Vinkkil&auml;n kyl&auml;&auml;n postitalon."
"22013","18214","fin","settlement","&lt;b&gt;Postitalo:&lt;/b&gt; Valtakunnanvouti Bernhardt Steen von Steenhausen perusti vuonna 1638 postitalon Paimioon Rekottilan kyl&auml;&auml;n. Se toimi samalla nimismiestalona. "
"22015","18216","fin","settlement","&lt;b&gt;Postitalo:&lt;/b&gt; Paimion Oinilassa Pertuntalossa toimi l&auml;hteiden mukaan postitalo vuosina 1640-1644."
"22019","18218","fin","settlement","&lt;b&gt;Postitalo:&lt;/b&gt; Turusta H&auml;meenlinnaan kulkevalle postireitille perustettiin vuosina 1639-1640 kaksi postitaloa, joista toinen oli Marttilassa V&auml;ttil&auml;n kyl&auml;ss&auml;."
"13236","3209","nld","settlement","Vroegste vermelding in 1102."
"21869","18123","fin","settlement","Tammisaaren (r. Eken&auml;s) perusti 1528 Raaseporin voutikuntaa l&auml;&auml;nityksen&auml; 1528&ndash;40 pit&auml;nyt Erik Fleming, joka siirsi aiemmin Raaseporin linnan luona tai Snappertunassa oleskelleen kauppiasyhteis&ouml;n suotuisampaan paikkaan Pohjan pit&auml;j&auml;n lahteen ty&ouml;ntyv&auml;lle niemelle."
"22029","18226","fin","settlement","&lt;b&gt;Postitalo:&lt;/b&gt; Valtakunnanvouti Bernhardt Steen von Steenhausen perusti vuonna 1638 postitalon Siuntioon B&ouml;len kyl&auml;&auml;n, Heickan taloon. Rantatiell&auml; sijainneet postitalot toimivat teht&auml;v&auml;ss&auml;&auml;n tyypillisesti pitk&auml;&auml;n. B&ouml;len kyl&auml;ss&auml; oli postitalotoimintaa koko postitaloj&auml;rjestelm&auml;n ajan vuosina 1638-1816."
"22031","18227","fin","settlement","&lt;b&gt;Postitalo:&lt;/b&gt; Valtakunnanvouti Bernhardt Steen von Steenhousen perusti vuonna 1638 Kirkkonummelle Kvisin kyl&auml;&auml;n postitalon. Tutkimuskirjallisuuden mukaan Kvisin postitalonpoika kuljetti postia lis&auml;ksi my&ouml;s sivureitti&auml; pitkin Porkkalaan ja sai teht&auml;v&auml;st&auml;&auml;n 6 taalarin ylim&auml;&auml;r&auml;isen verohelpotuksen."
"22037","18240","fin","settlement","&lt;b&gt;Postitalo:&lt;/b&gt; Valtakunnanvouti Bernhardt Steen von Steenhousen perusti vuonna 1638 Espooseen Morbyn kyl&auml;&auml;n postitalon. Se sijaitsi Nybyn talossa."
