"description","id"
"When the town of Uusikaarlepyy (sw. Nykarleby) was established in 1620, its trading area was extended inland to the northern parts of the N&auml;sij&auml;rvi watershed. In the same year, a common road was ordered to be built from Lapuanjoki River to Ruovesi, but most of the different sections of the road running from Uusikaarlepyy via Lapua, Alavus, Virrat and Ruovesi to Orivesi were finished only in the 1680s and 1690s. A system of inns was, however, ordained alongside the road in 1639. Hevave frieghts between Uusikaarlepyy and Alah&auml;rm&auml; were in the 1640s transported with boats and a winterway following the river. The road was the most significant new connection from Inner Finland to Ostrobothnia after the medieval summer and winter ways through Kyr&ouml;nkangas region and the winter way and horse track between Ulvila and Korsholm. The summer road had a parallel winter road from Ruovesi via Virrat and Alavus to Ostrobothnia since the early 17th century. East of N&auml;sij&auml;rvi the road replaced an older local road from Messukyl&auml; to Ruovesi via Teisko built in the latter half of the 16th century. The road network in the area will be updated in the later versions of Viabundus.","450"
"The winter way from Oulu via Tyrn&auml;v&auml; to Haapaniemi in Temmes and from there apparently via Mankila, Rantsila, Piippola and Pyh&auml;nt&auml; to Nissil&auml; in Iisalmi (Vierem&auml;) was said to have been recently taken in use in the early 1630s. The road joined the winter road and portage trail between S&auml;r&auml;isniemi and Joroinen in Nissil&auml;. The route marked in Viabundus is indicative, not geographically precise.","487"
"Segment called &quot;Weinstra&szlig;e&quot; or &quot;Fuldaer road&quot; of the Via regia.","52"
"Segment of the &quot;Kinzigstra&szlig;e&quot;, a segment of the via regia between Frankfurt/M. and Eisenach.","54"
"The road between Hasel&uuml;nne and Wietmarschen via Teglingen, Geeste and Dalum is first attested in the 18th century. Its importance for earlier centuries is debatable; most of the traffic must have taken the route via the river crossing in Lingen.","56"
"The 17th century winter way from the mouth of Aurajoki river and Turku followed the course of the river and H&auml;me Oxen road to Tarvasjoki, where it branched off into routes leading to Loimaa and Marttila. The main direction led to Loimaa, from where the winter way continued via Mets&auml;maa, Humppila and Urjala to Akaa over Valkeakoski to P&auml;lk&auml;ne. In the 18th century the route was frequently used by peasants travelling with their goods to Turku from H&auml;me and Savo regions. The section from the mouth of the Aurajoki river to P&auml;lk&auml;ne dates to the 15th century. The Governor-General of Finland, Per Brahe, travelled along the P&auml;lk&auml;ne-Turku winter way in March 1640, when he stayed overnight on 25 March in P&auml;lk&auml;ne parish constable&rsquo;s farm, on 27. March in Kankaanp&auml;&auml; parish constable&rsquo;s farm in Urjala, and on 28 March in Marttila. The route marked in Viabundus is indicative, not geographically precise.","496"
"H&auml;me Oxen Road (fi. H&auml;meen H&auml;rkatie) connecting Tavastland (fi. H&auml;me) and the Aura River Valley first appeared as a land route as early as the Viking Age (800&ndash;1050 AD) and connected since the early 14th century H&auml;me and Turku Castles. The name is probably based on the cattle trade that flourished in the Baltic Sea region in the late Middle Ages. The road&rsquo;s earliest terminus in Turku was Hevostori (Horse market), and it must have been organized as a common road maintained by land-owning peasants no later than the mid-14th century. The road is included in Jakob Teitt&#039;s 1555&ndash;1556 list of the most important common roads in Finland. The original alignment of the road from H&auml;me Castle to Renko ran through Hattelmala and Alaj&auml;rvi, but was moved further north no later than the 17th century. An early branch of the road called Hiidentie (Devil&rsquo;s Road) lead from Somero to Uskela, Salo and Halikko in the early 13th century, and was organized as a public road possibly as early as the Middle Ages or the 16th century. H&auml;me Oxen Road made part of a pilgrimage route From Turku to Tavastland possibly already at the end of the 14th century and is documented as one in the late 15th century. The road also had several parallel winter ways connecting Tavastland and Southwest Finland at different times.","443"
"Two parallel routes were formed between the settlements of Upper Satakunta and the Kyr&ouml;njoki Valley by the 13th century at the latest, one of which was the summer road, which led from the H&auml;meenkyr&ouml; region to Kauhajoki along the ridges, and the other was the winter road that led from H&auml;meenkyr&ouml; to Kurikka via Ikaalinen, Parkano and Jalasj&auml;rvi. The summer road continued from Kauhajoki to the village of Talvitie (&ldquo;Winterway&rdquo;) in Ilmajoki, from where the summer and winter roads crossed the forests to Ylistaro and further via Isokyr&ouml; Church towards the mouths of the Kyr&ouml;njoki and Lapuanjoki rivers. The importance of the summer and winter roads grew in the late Middle Ages, when the routes became part of the strategic connection between Korsholma Castle, founded in the 1380s, and H&auml;me Castle. Both seasonal roads were in use in the 15th century, the winter way in 1459. The earliest information on the arrangements for maintaining the summer road dates back to 1610, when the section along the Kyr&ouml;njoki River was assigned to Kyr&ouml; and Ilmajoki parishes, and the section from Kauhajoki to Satakunta border to be maintained by the entire judicial distric (fi. kihlakunta). The earliest organisation of the route as a common road maintained by land-owning peasants date back to the 1550s or the end of the Middle Ages. A fort called the Kyr&ouml; Skants was built along the summer road on the border of Satakunta and Ostrobothnia in 1635, where an army unit was tasked with detaining men who had escaped military conscription into the forests of the area. The fort ceased operations in 1659. The road from Ilmajoki chapel to Lapv&auml;rtti via Kauhajoki and Karijoki to the Bothnian Coastal Road has traditionally been called &ldquo;Kalatie&rdquo;, the fish road. The road is believed to have originated in the 16th century, but it was not organized as a common road until after 1657. In the 18th century, the road was also called the King&#039;s Road (fi. Kuninkaantie, sw. Kongsv&auml;g) according to its road class.","449"
"The land route from Southwest Finland along the coast of the Gulf of Bothnia to Tornio (sw. Torne&aring;) only became a unified road in the early modern period. The road consisted of sections organised as common roads maintained by land-owning peasants at different times. The oldest of these connected the mouth of the Aurajoki River to Vakka-Suomi, Kalanti and Eurajoki region and further to the mouth of the Kokem&auml;enjoki River. Part of the section is based on roads in use already in the 11th and 12th centuries and organized as common roads no later than the latter half of the 14th century, the section from Kalanti to Rauma in the mid-15th century, and the branch from Kalanti to Uusikaupunki in the mid-17th century. Between Laitila and Ulvila, the alignment of the road may have been influenced by the short-lived Liinmaa Castle (Vreghdenborch) at the end of the 14th century. Part of this road that led from Unaja to Eurajoki and further via Panelia and Harola to Lammais was also called Huovintie, which refers to the organisation of the maintenance in the late 14th century or in the 15th century. The section from Irjanne via Luvia to Haistila ferry is younger and of local nature. The section of the Bothnian Coastal Road leading from Ulvila and the mouth of the Kokem&auml;enjoki River to Korsholm Castle remained a horse track well until the 17th century, but is included long in Jaakko Teittis 1555&ndash;56 list of the most important common roads in Finland as a 36 old Swedish miles (ca. 216 km) long route. Parallel to the summer horse track run a more significant winter way ran parallel to the summer road, which according to the 1557 itinerary of Ture Pedersson (Bielke) from Turku via Ulvila and Korsholm Castle around the Gulf of Bothnia was 31 miles (approx. 186 km) long. The winter way was also used by the regent Sten Sture the Elder in Merikarvia in 1491 when he was returning to Sweden. from Finland. The section of the Bothnian Costal Road from Korsholm to Karleby (fi. Kaarlela) Church had been taken in use as a land route already in the 15th century and was organised as a common road in the 1550s. When new towns were established in the Bothnic coast, the road between Vaasa and Oulu was built as a common road in 1618 and could be travelled with carts in 1668. The last section of the Bothnian Coastal Road from Oulu to Ii was in the mid-17th century in moderate condition, from Ii to Tornio little used. Of the large rivers, the Ojaniemi ferry at Kyr&ouml;njoki existed in 1610 and replaced by a bridge in the mid-1620s. The parish of Oulu committed to build a ferry on Oulujoki River in 1629. Ferries are also known to have existed on Siikajoki (1640), Ii (1640s) and Kemijoki (1650) before the 1650s, bridges in Kalajoki and Pyh&auml;joki in the early 1650s. Considering the overall structure of roads and traffic in late medieval and early modern Ostrobothnia, far more important than the summer road was the winter way following the Bothnic coast from Ulvila via Korsholm to the mouth of the Oulujoki River and further to the Tornionjoki River. According to Ture Bielke, the total length of the winter way from Ulvila to Ii was 83 old Swedish miles (ca. 498 km) in 1557, which he covered in a convoy of sledges with frequent change of horses in eight days. The winter way from Vaasa to Peders&ouml;re led via Ojaniemi to Oravainen and from there to the mouth of the Lapuanjoki River.","447"
"A bridge on the road between Raisio (sw. Reso) and Naantali (sw. N&aring;dendal) is mentioned in 1454. From the 1450s to the 1500s, the road was an important part of pilgrimage routes in Turku, Raisio, Masku and Nousiainen region.","451"
