"id","descriptionid","language","description"
"423","58","deu","Diese Stra&szlig;e war eine &uuml;berflutungsfreie Alternative zwischen Rudolstadt und Saalfeld."
"425","60","deu","Nach Bruns &amp; Weczerka (1967) handelte es sich bei der Route &uuml;ber Freyburg um die fr&uuml;here Strecke zwischen Merseburg und Naumburg, erst sp&auml;ter abgel&ouml;st von der Strecke &uuml;ber Markr&ouml;hlitz."
"431","66","deu","Seit 1515 vertraglich festgelegte Zwangsstra&szlig;e von L&uuml;beck, Hamburg und Eisleben &uuml;ber den Harz nach Th&uuml;ringen. In einen Bericht nach Guthmannshausen hei&szlig;t es, dass die Waren von L&uuml;beck, Braunschweig und Magdeburg nach Franken jeher die Stra&szlig;e &uuml;ber Nebra, Tauhardt und Guthmannshausen genommen h&auml;tten. Verlauf der mittelalterlichen Kupferstra&szlig;e."
"749","442","fin","Turusta Viipuriin rannikon suuntaisesti vienyt Suuri Rantatie (r. Stora Strandv&auml;gen) j&auml;rjestettiin Kymijoen suurten siltojen yll&auml;pidosta s&auml;ilyneiden tietojen perusteella yleiseksi maantieksi 1340- ja 1360-lukujen kuluessa. Tien merkitys oli jo varhain sotilaallinen. Tien ja sen suuntaisesti vieneiden talviteiden k&auml;yt&ouml;st&auml; on s&auml;ilynyt tietoja 1400-luvun alusta l&auml;htien. Toukokuun alussa 1511 Viipurista Turkuun ratsastanut l&auml;hetti k&auml;ytti matkaan kahdeksan vuorokautta. Tie ja sen etappipaikat on esitetty my&ouml;s Jakob Teitin 1555&ndash;56 luettelossa Suomen t&auml;rkeimmist&auml; yleisist&auml; teist&auml;, joka liittyi samanaikaisiin hallinnollisiin suunnitelmiin. Tien varhaisin linjaus Perni&ouml;ss&auml; kiersi Perni&ouml;n kuninkaankaranon kautta, mutta suoristettiin viimeist&auml;&auml;n 1600-luvun alussa ylemm&auml;s harjulle. Tie haarautui L&auml;nsi-Uudellamaalla Karjaalta ylemp&auml;&auml;n Lohjan ja Siuntion sek&auml; alempaan Raaseporin ja Inkoon kautta Siuntion Pikkalaan vieneisiin reitteihin. Espoosta Munkkiniemen ja edelleen Vironniemelle vieneen haaran merkitys kasvoi Helsingin siirron j&auml;lkeen 1640, mutta saattaa perustua vanhempaan paikalliseen tiehen. Helsingin Vanhastakaupungista ja Kuninkaankartanolta Suurelle Rantatielle vienyt haara muotoutui yleiseksi tieksi vuoden 1550 j&auml;lkeen. Suuri Rantatie esiintyy tien erisnimen&auml; useissa eri l&auml;hteiss&auml; 1700-luvulla. Tiest&auml; 1900-luvun loppupuolelta l&auml;htien matkailutien&auml; k&auml;ytetty nimitys Kuninkaantie perustuu vuoden 1735 kuninkaalliseen asetukseen yleisist&auml; teist&auml;, jonka mukaan Kuninkaantie (r. Kungsv&auml;gen) oli tien korkein yll&auml;pitoluokka. Termi&auml; tiedet&auml;&auml;n k&auml;ytetyn suurista yleisist&auml; maanteist&auml; ruotsinkielisiss&auml; rannikkopit&auml;jiss&auml; paitsi Uudellamaalla my&ouml;s Pohjanmaalla."
"751","445","fin","Yl&auml;-Satakunnan ja Kyr&ouml;njokilaakson asutuksen v&auml;lille muodostui viimeist&auml;&auml;n 1200-luvulla kaksi rinnakkaista reitti&auml;, joista toinen oli H&auml;meenkyr&ouml;n seudulta harjujen suuntaisesti Kauhajoelle vienyt Kyr&ouml;n- ja H&auml;meenkankaan tieksi kutsuttu kes&auml;tie ja toinen H&auml;meenkyr&ouml;st&auml; Ikaalisten, Parkanon ja Jalasj&auml;rven kautta Kurikkaan vienyt talvitie. Kes&auml;tie jatkui Kauhajoelta Ilmajoen Talvitien kyl&auml;&auml;n, josta kes&auml; ja talvitie oikaisivat metsien l&auml;pi Ylistaroon ja edelleen Kyr&ouml;n kirkon kautta kohti Kyr&ouml;- ja Lapuanjokien suuta. Kes&auml;- ja talvitien merkitys kasvoi my&ouml;h&auml;iskeskiajalla, jolloin reiteist&auml; tuli osa 1380-luvulla perustetun Korsholman linnan ja H&auml;meen linnan v&auml;list&auml; strategista yhteytt&auml;. Molempien k&auml;yt&ouml;st&auml; on viitteit&auml; 1400-luvulta, talvitien vuodelta 1459. &rdquo;Er&auml;maiden&rdquo; kautta vienyt tie mainitaan Jaakko Teitin 1555&ndash;56 luettelossa Suomen t&auml;rkeimmist&auml; yleisist&auml; teist&auml; osana Korsholman ja H&auml;meen linnojen v&auml;list&auml; reitti&auml;. Varhaisimmat tiedot kes&auml;tien yll&auml;pidon j&auml;rjestelyist&auml; ovat vuodelta 1610, jolloin sen osuus Kyr&ouml;njokivarressa m&auml;&auml;r&auml;ttiin Kyr&ouml;n ja Ilmajoen sek&auml; osuus Kauhajoelta Satakunnan rajalle koko kihlakunnan yll&auml;pidett&auml;v&auml;ksi. Tien varhaisimmat j&auml;rjestelyt ulottuvat 1550-luvulle tai keskiajan lopulle. Kes&auml;tien varteen Satakunnan ja Pohjanmaan rajalle rakennettiin 1635 Kyr&ouml;n skanssiksi kutsuttu linnake, jossa olleen armeijan yksik&ouml;n teht&auml;v&auml;n&auml; oli pid&auml;tt&auml;&auml; alueen metsiin sotav&auml;enottoja paenneita miehi&auml;. Linnakkeen toiminta p&auml;&auml;ttyi 1659."
"752","446","fin","Oulujoen suuhun tuli Kajaanin Vuohenginkosken, Paltamon, Manamansalon ja S&auml;r&auml;isniemen kautta vanha taivallus- ja talvitie, jota novgorodinkarjalaiset kauppiaat k&auml;yttiv&auml;t viel&auml; 1600-luvun alussa kauppamatkoillaan Pohjanlahdelle. Samaa reitti&auml; on todenn&auml;k&ouml;isesti k&auml;ytt&auml;nyt my&ouml;s Oulujoen suulle vuonna 1375 perustettua linnaa vastaan 1377 hy&ouml;k&auml;nnyt Novgorodin sotajoukko. Reitist&auml; on s&auml;ilynyt ven&auml;j&auml;nkarjalaisen kauppiaan Nousian selostus vuodelta 1556. Vanhan talvitien ja jokireitin rinnalle raivattiin Kajaanin linnan perustamisen j&auml;lkeen 1610-luvulla Oulusta S&auml;r&auml;isniemelle ulottunut yleinen maantie, joka jatkui vesireittin&auml; ja talvitien&auml; Paltamoon ja Kajaaniin. Maantie s&auml;ilyi ratsutien&auml; 1750-luvulle, jolloin se parannettiin k&auml;rryill&auml; ajettavaan kuntoon."
"754","448","fin","Lahdesta Savilahden eli Mikkelin kautta Olavinlinnaan johtanut Suureksi Savontieksi kutsuttu maantie mainitaan yleisen&auml; maantien&auml; Jakob Teitin 1555&ndash;1556 luettelossa Suomen t&auml;rkeimmist&auml; yleisist&auml; teist&auml;, jossa se on esitetty osana H&auml;meen linnasta Olavinlinnaan vienytt&auml; maantiet&auml;. Tien alkup&auml;&auml; H&auml;meen linnasta Tuuloksen kautta Hollolaan ja Lahden kyl&auml;&auml;n noudattaa Ylisen Viipurintien linjausta, Lahdesta H&auml;rk&auml;l&auml;n aluelle Ylisen Viipurintien ylemp&auml;&auml; linjausta. Tien linjaus Lahdesta Jyr&auml;ng&ouml;nvirran yli Savilahteen saattaa perustua vanhempiin kulkureitteihin, mutta muodostettiin yleiseksi tieksi vasta Olavinlinnan rakentamisen j&auml;lkeen 1400-luvun viimeisell&auml; nelj&auml;nneksell&auml; tai 1500-luvun alkupuolella. Kes&auml;tielle rinnakkaisesta ja sit&auml; vanhemmasta Sysm&auml;st&auml; Savitaipaleelle johtaneesta talvitiest&auml; on tieto jo vuodelta 1443, jolloin Turun piispa perusti Hirvensalmen Vahvaj&auml;rvelle lampuotitilan, ettei h&auml;nen tarkastusmatkoillaan tarvinnut y&ouml;py&auml; maastossa."
"755","449","fin","Yl&auml;-Satakunnan ja Kyr&ouml;njokilaakson asutuksen v&auml;lille muodostui viimeist&auml;&auml;n 1200-luvulla kaksi rinnakkaista reitti&auml;, joista toinen oli H&auml;meenkyr&ouml;n seudulta harjujen suuntaisesti Kauhajoelle vienyt Kyr&ouml;n- ja H&auml;meenkankaan tieksi kutsuttu kes&auml;tie ja toinen H&auml;meenkyr&ouml;st&auml; Ikaalisten, Parkanon ja Jalasj&auml;rven kautta Kurikkaan vienyt talvitie. Kes&auml;tie jatkui Kauhajoelta Ilmajoen Talvitien kyl&auml;&auml;n, josta kes&auml; ja talvitie oikaisivat metsien l&auml;pi Ylistaroon ja edelleen Kyr&ouml;n kirkon kautta kohti Kyr&ouml;- ja Lapuanjokien suuta. Kes&auml;- ja talvitien merkitys kasvoi my&ouml;h&auml;iskeskiajalla, jolloin reiteist&auml; tuli osa 1380-luvulla perustetun Korsholman linnan ja H&auml;meen linnan v&auml;list&auml; strategista yhteytt&auml;.&rdquo;Er&auml;maiden&rdquo; kautta vienyt tie mainitaan Jaakko Teitin 1555&ndash;56 luettelossa Suomen t&auml;rkeimmist&auml; yleisist&auml; teist&auml; osana Korsholman ja H&auml;meen linnojen v&auml;list&auml; reitti&auml;. Varhaisimmat tiedot kes&auml;tien yll&auml;pidon j&auml;rjestelyist&auml; ovat vuodelta 1610, jolloin sen osuus Kyr&ouml;njokivarressa m&auml;&auml;r&auml;ttiin Kyr&ouml;n ja Ilmajoen sek&auml; osuus Kauhajoelta Satakunnan rajalle koko kihlakunnan yll&auml;pidett&auml;v&auml;ksi. Tien varhaisimmat j&auml;rjestelyt ulottuvat 1550-luvulle tai keskiajan lopulle. Kes&auml;tien varteen Satakunnan ja Pohjanmaan rajalle rakennettiin 1635 Kyr&ouml;n skanssiksi kutsuttu linnake, jossa olleen armeijan yksik&ouml;n teht&auml;v&auml;n&auml; oli pid&auml;tt&auml;&auml; alueen metsiin sotav&auml;enottoja paenneita miehi&auml;. Linnakkeen toiminta p&auml;&auml;ttyi 1659. Ilmajoen kappelilta Kauhajoen ja Karijoen kautta Lapv&auml;rttiin Pohjanlahden rantatielle vienyt tiet&auml; on vanhastaan nimitetty kalatieksi. Tien katsotaan syntyneen 1500-luvulla, mutta j&auml;rjestettiin yleiseksi tieksi vasta vuoden 1657 j&auml;lkeen. Tiet&auml; kutsutiin 1700-luvulla my&ouml;s tieluokan mukaisesti Kuninkaantieksi (r. Kongsv&auml;g)."
"757","451","fin","Raision ja Naantalin v&auml;lisell&auml; tiell&auml; ollut silta mainitaan 1454. Tie oli 1450-luvulta 1500-luvulle saakka t&auml;rke&auml; osa pyhiinvaellusreittej&auml; Turun, Raision, Maskun ja Nousiaisten alueella."
"433","68","deu","Umgehung der Geleite in Erfurt und Gotha, beschrieben in einem Bericht an den Geleitsmann in Guthmannshausen von 1515. 1522 hei&szlig;t es bereits in der &quot;Acta die Landstra&szlig;e von Wei&szlig;ensee nach Erfurt und die Sachsenburgische Stra&szlig;e betr. von 1522 - 72&quot; (M. st. A. Hep. A 24 b Tit. XXIV, Nr 11.), dass die Stra&szlig;e aufgrund des Stra&szlig;enzwanges auf Erfurt brach lag."
