"id","parentid","name","latitude","longitude","links","zoomlevel","Is_Settlement","Settlement_From","Settlement_To","Settlement_Description","Is_Town","Town_From","Town_To","Town_Description","Is_Fair","Fair_From","Fair_To","Gregorian_Calendar","Fair_Description","Is_Toll","Toll_From","Toll_To","Toll_Primary_Owner","Toll_Description","Is_Bridge","Bridge_From","Bridge_To","Bridge_Description","Is_Staple","Staple_From","Staple_To","Staple_Duration_Of_Stay","Staple_Description","Is_Ferry","Ferry_From","Ferry_To","Ferry_Description","Is_Harbour","Harbour_From","Harbour_To","Harbour_Description","Is_Lock","Lock_From","Lock_To","Lock_Description","ready"
"5616",null,"Oker","51.911251","10.485597","gn:2857521;wd:Q2017173;wd:Q2017173;gnd:4102051-0;viaf:237275404","12","y","1527",null,"Already in the 10th century, mining activity took place on the Rammelsberg. The existing ironworks were united in 1527 by the Duke of Brunswick into the Frau Marien Saigerhütte, next to which a settlement of previously itinerant miners developed. A watchtower of Goslar, the Okerturm, is first mentioned in 1530.",null,null,null,null,null,null,null,null,null,"y","1530",null,null,"Toll was levied at the Okerturm watchtower.",null,null,null,null,null,null,null,null,null,null,null,null,null,"y","1577",null,"The Oker was made navigable up to the Okerturm in 1577.",null,null,null,null,"y"
"5618",null,"Okuniew","52.271433","21.306387","gn:763323;wd:Q5213320;wd:Q5213320","11",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"5619",null,"Olbersdorf","50.879153","14.775962","gn:2857481;wd:Q32206305;wd:Q32206305","12",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"5620",null,"Olbięcin","50.895746","22.125147","wd:Q774728;gn:763317","11",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"6295",null,"Reckendorf","50.02023","10.826918","gn:2849674;wd:Q524280;wd:Q524280;gnd:4116928-1","11",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"12841","2717",null,"52.380874","4.647114",null,"15",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"y","1631",null,"Harbour for the the barge services (&#039;trekschuit&#039;) to Amsterdam; the tow canal was dug in 1631.",null,null,null,null,null
"13403",null,null,"51.090579","3.652074",null,"12",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"y",null,null,null,null
"5621",null,"Oldebroek","52.446871","5.89688","wd:Q3237098;gn:2749668","11","y","1277",null,"Earliest mention in 1277, in a fifteenth century copy. ",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"y"
"5600",null,"Oettersdorf","50.599229","11.819079","gn:2857850;wd:Q32205298","12","y","1302",null,"First mention in 1302.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"y"
"11870",null,"Medemblik","52.773617","5.106325","gn:2751073;wd:Q3303930;wd:Q3303930;loc:nr93013157;viaf:157551005","10","y","918",null,"The earliest mention of Medemblik in writing occurs in the eleventh-century copy of a document dated 918-948. Cox states that Medemblik originated in the late seventh or early eighth century. It gained governmental and economic importance as it was located on the shipping route through the Vlie between Dorestad and Almere. Furthermore, there were royal and episcopal residences in the area. ","y","1289",null,"Medemblik was granted town rights on 25 March 1289 by Floris V, count of Holland. In 1402 a hospital is first mentioned.","y","1289",null,null,"The town-privilege of 1289 mentions a fair with St. Bonifatius (June 5 ) duration 14 days. The toll will be from the count and its successors. The comital account dated 1343/&#039;4 mentions a fair with St. Odulphus (June 12).","y","985","1323",null,"A toll for sailing transport in Medemblik at the Almere lake was partly given by king Otto III to count Ansfried, before 985 it was a fief. Possibly this was later relocated to Muiden. In 1311 however the bisshop of Utrecht made an agreement with Kampen about mutual toll-tariffs. In 1323 a toll on imported beer from the Baltic and the Sticht van Utrecht was installed in Medemblik by the count of Holland. But is since never found again.",null,null,null,null,null,null,null,null,null,null,null,null,null,"y",null,null,"On the map of Jacob van Deventer (mid 16th century) the harbour intersects the town as a small canal. Two heads of the harbour are situated in the sea but offer little mooring. Vitelli counted in his report for the duke of Alva in 1569 15 or 16 ships of 70-80 &#039;last&#039; named &#039;boeiers&#039; with destinations like Hamburg, Danzig and &#039;Oostland&#039; (Baltic) and 60 small fishboats including 5 or 6 bigger ones. In 1599 the &#039;Nieuwe haven&#039; (new harbour) south of the old town is finished together with defensive works. The start for this enlargement was already in 1577.",null,null,null,null,null
