"titel","registernr","volg1","rol1","scan1","volg2","rol2","scan2"
"Diverse dokumenter indtil 1660 1660","258451","48202617","1","2","48203142","1","527"
"Diverse år, regnskab 1497 - Diverse år, regnskab 1541","258452","48203143","1","528","48203301","1","686"
"Diverse år, regnskab 1497 - Diverse år, regnskab 1541","258453","48203302","2","2","48203454","2","154"
"Regnskab 1542 - Regnskab 1548","258454","48203455","2","155","48203741","2","441"
"Indtægt og udgift (Jens Mogensen Rosenvinge) 1557","258455","48203742","2","442","48203929","2","629"
"Indtægt og udgift (Jens Mogensen Rosenvinge) 1557","258456","48203930","3","2","48204043","3","115"
"Indtægt 1558","258457","48204046","3","119","48204202","3","276"
"Indtægt og udgift (David Hansen) 1560","258458","48204205","3","277","48204464","3","537"
"Indtægt og udgift (Jens Mogensen) 1562","258459","48204465","3","538","48204597","3","670"
"Indtægt og udgift (Jens Mogensen) 1562","258460","48204598","4","2","48204911","4","315"
"Indtægt og udgift (Jens Mogensen) 1563","258461","48204912","4","316","48205400","4","804"
"Indtægt og udgift (David Hansen) 1563","258462","48205401","5","2","48205896","5","497"
"Indtægt og udgift (David Hansen) 1564","258463","48205897","6","2","48206291","6","396"
"Indtægt og udgift (David Hansen) 1565","258464","48206292","6","397","48206709","6","814"
"Indtægt og udgift (David Hansen) 1566","258465","48206710","7","2","48207173","7","465"
"Indtægt og udgift (David Hansen) 1566","258466","48207174","8","2","48207198","7","26"
"Indtægt og udgift (David Hansen) 1567","258467","48207199","8","27","48207636","8","464"
"Lastepenge. Indtægt og udgift (David Hansen) 1567","258468","48207637","8","465","48207800","8","628"
"Indtægt og udgift. (Fred. Leyel) 1568","258469","48207801","9","2","48208205","9","406"
"Indtægt og udgift (David Hansen) 1568","258470","48208206","9","407","48208405","9","606"
"Indtægt og udgift (David Hansen) 1568","258471","48208406","10","2","48208697","10","293"
"Lastepenge. Indtægt og udgift (Fred. Leyel) 1568","258472","48208698","10","294","48208863","10","459"
"Lastepenge. Indtægt og udgift (David Hansen) 1568","258473","48208864","10","460","48209041","10","637"
"Indtægt og udgift (David Hansen) 1569","258474","48209042","11","2","48209403","11","363"
"Lastepenge. Indtægt og udgift (David Hansen) 1569","258475","48209404","11","364","48209504","11","464"
"Indtægt og udgift (David Hansen) 1574","258476","48209505","11","465","48209870","11","830"
"Indtægt og udgift (David Hansen) 1574","258477","48209871","12","2","48210043","12","174"
"Indtægt og udgift (Frederik Leyel) 1575","258479","48210116","12","175","48210603","12","662"
"Ekstrakt og bilag 1575","258478","48210044","12","664","48210115","12","735"
"Indtægt og udgift (Frederik Leyel) 1576","258480","48210604","13","2","48210886","13","284"
"Indtægt og udgift (Frederik Leyel) 1576","258481","48210887","14","2","48211334","14","449"
"Indtægt og udgift (David Hansen) 1577","258482","48211335","14","450","48211580","14","695"
"Indtægt og udgift (David Hansen) 1577","258483","48211581","15","2","48211998","15","419"
"Indtægt og udgift (Frederik Leyel) 1578","258484","48211999","15","420","48212266","15","687"
"Indtægt og udgift (Frederik Leyel) 1578","258485","48212267","16","2","48212767","16","502"
"Indtægt og udgift (David Hansen) 1579","258486","48212768","17","2","48213438","17","672"
"Indtægt og udgift (David Hansen) 1580","258487","48213439","18","2","48214057","18","620"
"Indtægt og udgift (Frederik Leyel) 1581","258488","48214058","19","2","48214683","19","627"
"Indtægt og udgift (Morten Jensen) 1582","20002","0","20","2","0","20","500"
"Indtægt og udgift (Morten Jensen) 1582","258489","48214684","21","2","48214914","21","232"
"Indtægt og udgift (Morten Jensen) 1583","258490","48214915","21","233","48215351","21","669"
"Indtægt og udgift (Morten Jensen) 1583","258491","48215352","22","2","48215693","22","343"
"Indtægt og udgift (Niels Henriksen) 1584","258492","48215694","22","344","48215968","22","620"
"Indtægt og udgift (Niels Henriksen) 1584","258493","48215969","23","2","48216501","23","534"
"Indtægt og udgift (Morten Jensen) 1585","258494","48216502","23","535","48216619","23","652"
"Indtægt og udgift (Morten Jensen) 1585","258495","48216620","24","2","48217249","24","631"
"Indtægt og udgift (Niels Henriksen) 1586","258496","48217250","25","2","48217909","25","661"
"Indtægt og udgift (Niels Henriksen) 1586","258497","48217910","26","2","48218084","26","176"
"Indtægt og udgift (Morten Jensen) 1587 1 1 - Indtægt og udgift (Morten Jensen) 1587 5 1","258498","48218085","26","177","48218297","26","389"
"Indtægt (Morten Jensen) 1587 5 1 - Indtægt (Morten Jensen) 1588 5 1","258499","48218298","26","390","48218580","26","672"
"Indtægt (Morten Jensen) 1587 5 1 - Indtægt (Morten Jensen) 1588 5 1","258500","48218581","27","2","48219001","27","422"
"Udgift (Morten Jensen) 1587 5 1 - Udgift (Morten Jensen) 1588 5 1","258502","48219060","27","423","48219230","27","593"
"Indtægt og udgift (Niels Henriksen) 1588 5 1 - Indtægt og udgift (Niels Henriksen) 1589 5 1","258501","48219002","27","594","48219058","27","650"
"Indtægt og udgift (Niels Henriksen) 1588 5 1 - Indtægt og udgift (Niels Henriksen) 1589 5 1","258503","48219231","28","2","48219816","28","587"
"Indtægt og udgift (Morten Jensen) 1589 5 1 - Indtægt og udgift (Morten Jensen) 1590 5 1","258504","48219817","29","1","48220476","29","660"
"Indtægt og udgift (Morten Jensen) 1590 5 1 - Indtægt og udgift (Morten Jensen) 1591 5 1","258505","48220477","30","2","48221102","30","627"
"Indtægt og udgift (Niels Henriksen) 1591 5 1 - Indtægt og udgift (Niels Henriksen) 1591 12 31","258506","48221103","31","2","48221643","31","542"
"Indtægt og udgift (Hans Meier) 1592","258507","48221644","31","543","48221756","31","655"
"Indtægt og udgift (Hans Meier) 1592","258508","48221757","32","1","48222273","32","517"
"Indtægt og udgift (Morten Jensen) 1593","258509","48222274","32","518","48222424","32","668"
"Indtægt og udgift (Morten Jensen) 1593","258510","48222425","33","2","48222945","33","522"
"Indtægt og udgift (Niels Henriksen) 1594","258511","48222946","33","523","48223085","33","662"
"Indtægt og udgift (Niels Henriksen) 1594","258512","48223086","34","2","48223665","34","581"
"Indtægt og udgift (Hans Meier) 1595","258513","48223666","35","2","48224447","35","783"
"Indtægt og udgift (Morten Jensen) 1596","258514","48224448","36","2","48225061","36","615"
"Indtægt og udgift (Morten Jensen) 1596","258515","48225062","37","2","48225170","37","110"
"Indtægt og udgift (Niels Henriksen) 1597","258516","48225171","37","111","48225730","37","670"
"Indtægt og udgift (Niels Henriksen) 1597","258517","48225731","38","2","48226016","38","287"
"Indtægt og udgift (Hans Meier) 1598","258518","48226017","38","288","48226393","38","664"
"Indtægt og udgift (Hans Meier) 1598","258519","48226394","39","2","48226826","39","434"
"Indtægt og udgift (Niels Henriksen) 1599","258520","48226827","39","435","48227044","39","652"
"Indtægt og udgift (Niels Henriksen) 1599","258521","48227045","40","2","48227641","40","598"
"Indtægt (Niels Henriksen) 1600","258522","48227642","41","2","48228300","41","660"
"Indtægt (Hans Meier) 1600","258523","48228301","42","2","48228966","42","667"
"Udgift (Morten Jensen) 1600","258524","48228967","43","2","48229044","43","79"
"Indtægt og udgift (Bernd Fake) 1601","258525","48229045","43","80","48229617","43","652"
"Indtægt og udgift (Bernd Fake) 1601","258526","48229618","44","2","48229844","44","228"
"Indtægt og udgift (David Lucht) 1602","258527","48229845","44","229","48230257","44","641"
"Indtægt og udgift (David Lucht) 1602","258528","48230258","45","2","48230573","45","317"
"Indtægt (Bernd Fake) 1603","258529","48230574","45","318","48230913","45","657"
"Indtægt (Bernd Fake) 1603","258530","48230914","46","2","48231133","46","221"
"Udgift (Bernd Fake) 1603","258532","48231463","46","222","48231561","46","320"
"Indtægt (David Lucht) 1604","258531","48231134","46","321","48231462","46","649"
"Indtægt (David Lucht) 1604","258533","48231562","47","2","48231709","47","149"
"Udgift (Bernd Fake) 1604","258535","48232111","47","150","48232210","47","249"
"Indtægt (Bernd Fake) 1605","258534","48231710","47","250","48232110","47","650"
"Indtægt (Bernd Fake) 1605","258536","48232211","48","2","48232314","48","105"
"Indtægt (Villum Mortensen) 1606","258537","48232315","48","106","48232843","48","634"
"Udgift (Villum Mortensen) 1606","258538","48232844","49","2","48232920","49","77"
"Indtægt (David Lucht) 1607","258539","48232921","49","78","48233496","49","653"
"Udgift (David Lucht) 1607","258540","48233497","50","2","48233585","50","90"
"Indtægt (Bernd Fake) 1608","258541","48233586","50","91","48234084","50","589"
"Indtægt (Bernd Fake) 1608","258542","48234085","51","2","48234259","51","176"
"Udgift (Bernd Fake) 1608","258544","48234684","51","177","48234776","51","269"
"Indtægt (Villum Mortensen) 1609","258543","48234260","51","270","48234683","51","693"
"Indtægt (Villum Mortensen) 1609","258545","48234777","52","2","48234881","52","106"
"Udgift (Villum Mortensen) 1609","258547","48235307","52","107","48235420","52","220"
"Indtægt (David Lucht) 1610","258546","48234882","52","221","48235306","52","645"
"Indtægt (David Lucht) 1610","258548","48235421","53","2","48235463","53","44"
"Udgift (David Lucht) 1610","258550","48235861","53","45","48235990","53","174"
"Indtægt (Bernd Fake) 1611","258549","48235464","53","175","48235860","53","571"
"Indtægt (Bernd Fake) 1611","258551","48235991","54","2","48236151","54","162"
"Udgift (Bernd Fake) 1611","258552","48236515","54","163","48236631","54","279"
"Indtægt (Villum Mortensen) 1612","258553","48236152","54","280","48236514","54","642"
"Indtægt (Villum Mortensen) 1612","258554","48236632","55","3","48236830","55","201"
"Udgift (Villum Mortensen) 1612","258556","48237129","55","202","48237270","55","343"
"Indtægt (Bernd Fake) 1613","258555","48236831","55","344","48237128","55","641"
"Indtægt (Bernd Fake) 1613","258557","48237271","56","2","48237453","56","184"
"Udgift (Bernd Fake) 1613","258559","48237807","56","185","48237903","56","281"
"Indtægt (Villum Mortensen) 1614","258558","48237454","56","282","48237806","56","634"
"Indtægt (Villum Mortensen) 1614","258560","48237904","57","2","48238112","57","210"
"Udgift (Villum Mortensen) 1614","258561","48238113","57","211","48238229","57","327"
"Indtægt (Bernd Fake) 1615","258562","48238230","57","328","48238532","57","630"
"Indtægt (Bernd Fake) 1615","258563","48238533","58","2","48238764","58","233"
"Udgift (Bernd Fake) 1615","258564","48238765","58","234","48238890","58","359"
"Indtægt (Villum Mortensen) 1616","258565","48238891","58","360","48239154","58","623"
"Indtægt (Villum Mortensen) 1616","258566","48239155","59","2","48239419","59","266"
"Udgift (Villum Mortensen) 1616","258567","48239420","59","267","48239535","59","382"
"Indtægt (David Lucht) 1617","258568","48239536","59","383","48239784","59","631"
"Indtægt (David Lucht) 1617","258569","48239785","60","2","48240035","60","252"
"Udgift (David Lucht) 1617","258570","48240036","60","253","48240152","60","369"
"Indtægt (Bernd Fake) 1618","258571","48240153","60","370","48240416","60","633"
"Indtægt (Bernd Fake) 1618","258572","48240417","61","2","48240842","61","427"
"Udgift (Bernd Fake) 1618","258573","48240843","61","428","48240957","61","542"
"Indtægt (Villum Mortensen) 1619","258574","48240958","61","543","48241065","61","650"
"Indtægt (Villum Mortensen) 1619","258575","48241066","62","2","48241566","62","502"
"Udgift (Villum Mortensen) 1619","258576","48241567","62","503","48241688","62","624"
"Indtægt (David Lucht) 1620","258577","48241689","63","2","48242248","63","561"
"Udgift (David Lucht) 1620","258578","48242249","64","3","48242353","64","107"
"Indtægt (Villum Mortensen) 1621","258579","48242354","64","108","48242906","64","660"
"Udgift (Villum Mortensen) 1621","258580","48242907","65","2","48242991","65","85"
"Indtægt (David Lucht) 1622","258581","48242992","65","86","48243568","65","662"
"Udgift (David Lucht) 1622","258582","48243569","66","2","48243671","66","104"
"Indtægt (Villum Mortensen) 1623","258583","48243672","66","105","48244245","66","678"
"Udgift (Villum Mortensen) 1623","258584","48244246","67","2","48244364","67","120"
"Indtægt (Christen Davidsen) 1624","258585","48244365","67","121","48244675","67","431"
"Indtægt (Christen Davidsen) 1624","258586","48244676","68","2","48244847","68","173"
"Udgift (Christen Davidsen) 1624","258587","48244848","68","174","48244987","68","313"
"Indtægt (Villum Mortensen) 1625","258588","48244989","68","314","48245307","68","632"
"Indtægt (Villum Mortensen) 1625","258589","48245308","69","2","48245393","69","87"
"Udgift (Villum Mortensen) 1625","258590","48245394","69","88","48245540","69","234"
"Indtægt (David Lucht) 1626","258591","48245541","69","235","48245772","69","466"
"Indtægt (David Lucht) 1626","258592","48245773","70","2","48246004","70","233"
"Udgift (David Lucht) 1626","258593","48246005","70","234","48246128","70","357"
"Indtægt (Jørgen Beier) 1627","258594","48246129","71","2","48246616","71","489"
"Indtægt (Christen Davidsen) 1628","258595","48246617","71","490","48246783","71","656"
"Indtægt (Christen Davidsen) 1628","258596","48246784","72","2","48247123","72","341"
"Udgift (David Lucht) 1628","258597","48247124","72","342","48247282","72","500"
"Indtægt (Villum Mortensen) 1629","258598","48247283","73","2","48247784","73","503"
"Udgift (David Lucht) 1629","258599","48247785","73","504","48247916","73","635"
"Udgift (David Lucht) 1629","258600","48247917","74","2","48247974","74","59"
"Indtægt (Jørgen Beier) 1630","258601","48247975","74","60","48248388","74","473"
"Udgift (Hans Pedersen) 1630","258602","48248389","74","474","48248531","74","616"
"Oppepenge (Jørgen Beier) 1630","258603","48248532","75","2","48248615","75","85"
"Indtægt (Christen Davidsen) 1631","258604","48248616","75","86","48249171","75","641"
"Udgift (Hans Pedersen) 1631","258605","48249172","76","2","48249326","76","156"
"Oppepenge (Hans Pedersen) 1631","258606","48249327","76","157","48249443","76","273"
"Indtægt (Villum Mortensen) 1632 1 1 - Indtægt (Villum Mortensen) 1632 7 12","258607","48249444","77","2","48249676","77","234"
"Indtægt (Villum Mortensen) 1632 7 12 - Indtægt (Villum Mortensen) 1632 11 2","258608","48249677","78","2","48249865","78","190"
"Oppenge, register (Villum Mortensen) 1632","258611","48250167","78","192","48250239","78","264"
"Lægtepenge og Oppepenge (Villum Mortensen) 1632","258612","48250240","78","265","48250326","78","351"
"Ballaster (Jørgen Beier) 1632","258610","48249965","78","352","48250166","78","553"
"Ladte skibe (Jørgen Beier) 1632","258609","48249866","78","554","48249964","78","652"
"Ladte skibe (Jørgen Beier) 1632","258613","48250327","79","2","48250397","79","72"
"Østerske (Skibe fra Østersøen) (Jørgen Beier) 1632","258618","48250839","79","73","48250890","79","124"
"Skotter, Engelske og Frantser (Jørgen Beier) 1632","258616","48250684","79","125","48250725","79","166"
"Oppenge (Jørgen Beier) 1632","258615","48250545","79","167","48250683","79","305"
"Udgift (Hans Pedersen) 1632","258617","48250726","79","306","48250838","79","418"
"Indtægt (Villum Mortensen) 1633 1 1 - Indtægt (Villum Mortensen) 1633 6 13","258614","48250398","79","419","48250544","79","565"
"Indtægt (Jørgen Beier) 1633 1 1 - Indtægt (Jørgen Beier) 1633 4 25","258619","48250891","80","2","48250951","80","62"
"Oppenge, register (Christen Davidsen) 1633","258621","48251032","80","63","48251105","80","136"
"Indtægt. B. (Sigfrid Fris) 1633","258620","48250952","80","137","48251031","80","216"
"Indtægt. C. (Peder Nielsen) 1633","258622","48251106","81","2","48251138","81","34"
"Indtægt (Christen Davidsen) 1633 1 1 - Indtægt (Christen Davidsen) 1633 8 16","258623","48251139","81","35","48251260","81","156"
"Indtægt (Christen Davidsen) 1633 8 17 - Indtægt (Christen Davidsen) 1634 1 1","258624","48251261","81","157","48251350","81","246"
"Indtægt (Laurids Mikkelsen) 1633 6 14 - Indtægt (Laurids Mikkelsen) 1634 1 1","258625","48251351","81","247","48251467","81","363"
"Oppenge, register (Laurids Mikkelsen) 1633","258626","48251468","81","364","48251507","81","403"
"Oppenge, register (Laurids Mikkelsen) 1633","258627","48251508","82","2","48251522","82","16"
"Indtægt (Mikkel Berendsen) 1633 7 15 - Indtægt (Mikkel Berendsen) 1634 1 1","258632","48251942","82","17","48252044","82","119"
"Oppenge, register (Mikkel Berendsen) 1633","258628","48251523","82","120","48251565","82","162"
"Udgift (Hans Pedersen og Vill. Mortensen) 1633 4 24 - Udgift (Hans Pedersen og Vill. Mortensen) 1633","258629","48251566","82","163","48251607","82","204"
"Udgift (David Lucht og Vill. Mortensen) 1633 6 13 - Udgift (David Lucht og Vill. Mortensen) 1634 1 1","258631","48251862","82","206","48251941","82","285"
"Indtægt (Abraham Meklenburg) 1634","258630","48251608","82","286","48251861","82","539"
"A. Indtægt (Christen Davidsen) 1635","258633","48252045","83","2","48252292","83","249"
"B. Indtægt (Christian Sørensen) 1635","258634","48252293","83","250","48252514","83","471"
"C. Indtægt (Niels Knudsen og Poul Sørensen) 1635","258635","48252515","83","472","48252671","83","628"
"C. Indtægt (Niels Knudsen og Poul Sørensen) 1635","258636","48252672","84","2","48252791","84","121"
"A. Indtægt (Jørgen Beier) 1636","258637","48252792","84","122","48253063","84","393"
"B. Indtægt (Mikkel Bernsen) 1636","258638","48253064","85","2","48253313","85","251"
"C. Indtægt (Poul Sørensen) 1636","258639","48253314","85","252","48253587","85","525"
"Udgift (Villum Mortensen) 1636 5 6 - Udgift (Villum Mortensen) 1737 1 1","258640","48253588","85","526","48253641","85","579"
"Indtægt og udgift (Villum Mortensen) 1636 1 1 - Indtægt og udgift (Villum Mortensen) 1636 5 6","258641","48253642","85","580","48253666","85","604"
"A. Indtægt (Christen Davidsen) 1637","258642","48253667","86","2","48253909","86","244"
"B. Indtægt (Poul Sørensen) 1637","258643","48253910","86","245","48254137","86","472"
"C. Indtægt (Dirik Christoffersen) 1637","258644","48254138","86","473","48254282","86","617"
"C. Indtægt (Dirik Christoffersen) 1637","258645","48254283","87","2","48254358","87","77"
"A. Indtægt (Christen Davidsen) 1638","258646","48254359","87","78","48254631","87","350"
"B. Indtægt (Mikkel Berendsen) 1638","258647","48254632","88","2","48254888","88","258"
"C. Indtægt (Poul Sørensen) 1638","258648","48254889","88","259","48255145","88","515"
"Udgift (Herman Holstein) 1638","258649","48255146","89","2","48255201","89","57"
"A. Indtægt (Christen Davidsen) 1639","258650","48255202","89","58","48255510","89","366"
"B. Indtægt (Dirik Christoffersen) 1639","258651","48255511","89","367","48255768","89","624"
"B. Indtægt (Dirik Christoffersen) 1639","258652","48255769","90","2","48255834","90","67"
"C. Indtægt (Poul Sørensen) 1639","258653","48255835","90","68","48256114","90","347"
"Indtægt og udgift (Herman Holstein) 1639 1 1 - Indtægt og udgift (Herman Holstein) 1639 3 21","258654","48256115","90","348","48256137","90","370"
"Indtægt og udgift (Herman Holstein) 1639 3 21 - Indtægt og udgift (Herman Holstein) 1639","258655","48256138","90","371","48256197","90","430"
"Bodmeribogen 1639","258656","48256198","90","431","48256206","90","439"
"A. Indtægt (Christen Davidsen) 1640","258657","48256207","90","440","48256405","90","638"
"A. Indtægt (Christen Davidsen) 1640","258658","48256406","91","2","48256491","91","87"
"B. Indtægt (Dirik Christoffersen) 1640","258659","48256492","91","88","48256747","91","343"
"C. Indtægt (Poul Sørensen) 1640","258660","48256748","91","344","48256993","91","589"
"Indtægt og udgift (Tolderne) 1640","258661","48256994","92","2","48257053","92","61"
"A. Indtægt (Christen Davidsen) 1641","258662","48257055","92","62","48257355","92","362"
"B. Indtægt (Dirik Christoffersen) 1641","258663","48257356","92","365","48257549","92","558"
"B. Indtægt (Dirik Christoffersen) 1641","258664","48257550","93","2","48257700","93","152"
"C. Indtægt (Laurids Madsen) 1641","258665","48257701","93","153","48257964","93","416"
"Tillæg CC 1641","258666","48257965","93","417","48257991","93","443"
"Indtægt og udgift (Tolderne) 1641","258667","48257992","93","444","48258057","93","509"
"Udgiftsbilag 1641","258668","48258058","93","510","48258153","93","605"
"Udgiftsbilag 1641","258669","48258154","94","2","48258569","94","417"
"A. Indtægt (Jørgen Beier) 1642","258670","48258570","94","418","48258785","94","633"
"A. Indtægt (Jørgen Beier) 1642","258671","48258786","95","2","48258889","95","105"
"B. Indtægt (Dirik Christoffersen) 1642","258672","48258890","95","106","48259184","95","400"
"C. Indtægt (Laurids Madsen) 1642","258673","48259185","95","401","48259390","95","606"
"Indtægt og udgift (Tolderne) 1642","258674","48259391","95","607","48259473","95","689"
"Udgiftsbilag nr. 1-358 1642","258675","48259474","96","2","48259971","96","499"
"A. Indtægt (Christen Davidsen) 1643","258676","48259972","97","2","48260265","97","295"
"B. Indtægt (Mikkel Berendsen) 1643","258677","48260266","97","296","48260501","97","531"
"C. Indtægt (Laurids Madsen) 1643","258678","48260502","97","532","48260653","97","683"
"C. Indtægt (Laurids Madsen) 1643","258679","48260654","98","2","48260725","98","73"
"Indtægt og udgift (Tolderne) 1643","258680","48260726","98","74","48260797","98","145"
"Udgiftsbilag nr. 1-345 1643","258681","48260798","98","146","48261316","98","664"
"C. Indtægt (Jørgen Beier) 1644","258682","48261317","99","2","48261524","99","209"
"D. Indtægt (Mikkel Berendsen) 1644","258683","48261525","99","210","48261705","99","390"
"E. Indtægt (Christian Pryts) 1644","258684","48261706","99","391","48261881","99","566"
"Indtægt og udgift (Tolderne) 1644","258685","48261882","99","567","48261929","99","614"
"Udgiftsbilag nr. 1-254 1644","258686","48261930","100","2","48262271","100","343"
"D. Indtægt (Christen Davidsen) 1645","258687","48262272","100","344","48262358","100","430"
"E. Indtægt (Dirik Christoffersen) 1645","258688","48262359","100","431","48262452","100","524"
"F. Indtægt (Christian Pryts) 1645","258689","48262453","100","525","48262526","100","598"
"Indtægt og udgift (Tolderne) 1645","258690","48262527","101","2","48262567","101","42"
"A. Indtægt (Jørgen Beier) 1646","258691","48262568","101","43","48262711","101","186"
"B. Indtægt (Mikkel Berendsen) 1646","258692","48262712","101","187","48262850","101","325"
"C. Indtægt (Laurids Madsen) 1646","258693","48262851","101","326","48262984","101","459"
"Indtægt og udgift 1646","258694","48262985","101","460","48263054","101","529"
"Udgiftsbilag nr. 1-224 1646","258695","48263055","102","2","48263331","102","278"
"A. Indtægt (Jørgen Beier) 1647","258696","48263332","102","279","48263497","102","444"
"B. Indtægt (Dirik Christoffersen) 1647","258697","48263498","103","2","48263695","103","199"
"C. Indtægt (Laurids Madsen Limé) 1647","258698","48263696","103","200","48263808","103","312"
"Indtægt og udgift 1647","258699","48263809","103","313","48263851","103","355"
"Udgiftsbilag nr. 1-211 1647","258700","48263852","103","356","48264120","103","624"
"A. Indtægt (Jørgen Beier) 1648","258701","48264121","104","2","48264317","104","198"
"B. Indtægt (Dirik Christoffersen) 1648","258702","48264318","104","199","48264514","104","395"
"C. Indtægt (Laurids Madsen Limé) 1648","258703","48264515","105","3","48264605","105","93"
"Indtægt og udgift 1648","258706","48265045","105","94","48265085","105","134"
"Udgiftsbilag nr. 1-174 1648","258704","48264606","105","135","48264840","105","369"
"A. Indtægt (Christen Davidsen) 1649","258705","48264841","105","370","48265044","105","573"
"B. Indtægt (Dirik Christoffersen) 1649","258707","48265086","106","3","48265305","106","222"
"C. Indtægt (Laurids Madsen) 1649","258708","48265306","106","223","48265450","106","367"
"Indtægt og udgift 1649","258709","48265451","106","368","48265503","106","420"
"Udgiftsbilag nr. 1-148 1650","258711","48265736","107","2","48265932","107","198"
"Udgiftsbilag nr. 71-268 1649","258710","48265504","107","199","48265735","107","430"
"A. Indtægt (Jørgen Beier) 1650","258712","48265933","107","431","48266065","107","563"
"B. Indtægt ( Dirik Christoffersen) 1650","258713","48266066","107","564","48266156","107","654"
"B. Indtægt ( Dirik Christoffersen) 1650","258714","48266157","108","2","48266226","108","71"
"C. Indtægt (Laurids Madsen Limé) 1650","258715","48266227","108","72","48266337","108","182"
"Indtægt og udgift (Tolderne) 1650","258716","48266338","108","183","48266376","108","221"
"A. Indtægt ( Christen Davidsen og Jørgen Beier) 1651","258717","48266377","108","222","48266480","108","325"
"B. Indtægt (Dirik Christoffersen) 1651","258718","48266481","108","326","48266629","108","474"
"C. Indtægt (Laurids Madsen Limé og Johan Thomsen) 1651","258719","48266630","108","475","48266732","108","577"
"Indtægt og udgift (Tolderne) 1651","258720","48266733","108","578","48266772","108","617"
"Udgiftsbilag 1651 - Udgiftsbilag 1652","258721","48266773","109","2","48267153","109","382"
"A. Indtægt (Jørgen Beier og Christen Davidsen) 1652","258722","48267154","109","383","48267271","109","500"
"B. Indtægt (Dirik Christoffersen) 1652","258723","48267272","109","501","48267336","109","565"
"C. Indtægt (Laurids Madsen Lime og Johan Thomsen) 1652","258724","48267337","110","2","48267463","110","128"
"Indtægt og udgift (Tolderne) 1652","258726","48267568","110","129","48267607","110","168"
"A. Indtægt ( Jørgen Beier og Christen Davidsen) 1653","258727","48267608","110","169","48267708","110","269"
"B. Indtægt ( Dirik Christoffersen og Lambert Ebbes 1653","258728","48267709","110","270","48267863","110","424"
"C. Indtægt (Johan Thomsen og Laurids Madsen) 1653","258725","48267464","110","425","48267567","110","528"
"Indtægt og udgift (Tolderne) 1653","258729","48267864","110","529","48267903","110","568"
"Udgiftsbilag 1653 - Udgiftsbilag 1654","258730","48267904","111","2","48268316","111","414"
"A. Indtægt (Jørgen Beier) 1654","258731","48268317","111","415","48268373","111","471"
"B. Indtægt (Dirik Christoffersen) 1654","258732","48268374","111","472","48268541","111","639"
"C. Indtægt (Johan Thomsen og Lambert Ebbesen) 1654","258733","48268542","112","2","48268693","112","153"
"A. Indtægt (Laurids Madsen Lime og Dirik Christoff 1655","258734","48268694","112","154","48268833","112","293"
"B. Indtægt (Lambert Ebbesen og Johan Thomsen) 1655","258735","48268834","112","294","48268996","112","456"
"C. Indtægt ( Christen Davidsen og Villem Villemsen 1655","258736","48269000","112","460","48269041","112","501"
"Indtægt og udgift (Tolderne) 1655","258737","48269042","112","502","48269078","112","538"
"Udgiftsbilag 1655 - Udgiftsbilag 1656","258738","48269079","113","2","48269403","113","326"
"A. Indtægt (Christen Davidsen og Dirik Christoffer 1656","258739","48269404","113","327","48269468","113","391"
"B. Indtægt (Johan Thomsen ogm Laurids Madsen) 1656","258740","48269469","113","392","48269585","113","508"
"C. Indtægt (Villem Villemsen og Lambert Ebbesen) 1656","258741","48269586","113","509","48269727","113","650"
"Indtægt og udgift (Tolderne) 1656","258742","48269728","114","2","48269763","114","37"
"A. Indtægt ( Christen Davidsen og Laurids Madsen L 1657","258743","48269764","114","38","48269822","114","96"
"B. Indtægt (Lambert Ebbesen og Johan Thomsen) 1657","258744","48269823","114","97","48269939","114","213"
"C. Indtægt ( Anders Nielsen og Villem Villemsen) 1657","258745","48269940","114","214","48270051","114","325"
"Indtægt og udgift (Tolderne) 1657","258746","48270052","114","326","48270085","114","359"
"A. Indtægt (Lennert Lauridsen og Laurids Madsen) 1658","258747","48270086","114","360","48270139","114","413"
"B. Indtægt (Senica Carstensen og Lambert Ebbesen) 1658","258748","48270140","114","414","48270210","114","484"
"C. Indtægt (Villem Villemsen og Anders Nielsen) 1658","258749","48270211","114","485","48270310","114","584"
"Indtægt og udgift (Tolderne) 1658","258750","48270311","114","585","48270342","114","616"
"Udgiftsbilag 1657 - Udgiftsbilag 1659","258751","48270343","115","3","48270664","115","324"
"Sundtold, hævet i København. Indtægt 1658 - Sundtold, hævet i København. Indtægt 1659","258752","48270665","115","325","48270696","115","356"
"Bilag 1563 - Bilag 1640","258753","48270697","115","357","48270978","115","638"
"Bilag 1563 - Bilag 1640","258754","48270979","116","2","48271258","116","281"
"Visitørregnskaber 1630 - Visitørregnskaber 1642","258755","48271259","116","282","48271477","116","500"
"Visitørregnskaber 1630 - Visitørregnskaber 1642","258756","48271478","117","2","48271542","117","66"
"Fyrene ved Øresund (pakke 1). Bilag 1624 - Fyrene ved Øresund (pakke 1). Bilag 1631","258757","48271543","117","67","48271669","117","193"
"Fyrene ved Øresund (pakke 2). Bilag 1624 - Fyrene ved Øresund (pakke 2). Bilag 1631","258759","48271808","117","194","48272133","117","519"
"Antegnelser 1629 - Antegnelser 1681","258758","48271670","117","520","48271807","117","657"
"Antegnelser 1629 - Antegnelser 1681","258760","48272134","118","2","48272169","118","37"
"Regnskaber for Øresunds- og norsk told af hollands 1658 - Regnskaber for Øresunds- og norsk told af ","258761","48272170","118","38","48272569","118","437"
