"titel","registernr","volg1","rol1","scan1","volg2","rol2","scan2"
"Nr. 2, 1. bind 1818","258949","48318535","296","141","48319016","296","622"
"Nr. 2, 2. bind 1818","258950","48319017","297","2","48319551","297","546"
"Nr. 2, 1. bind 1819","258951","48319552","297","547","48319653","297","647"
"Nr. 2, 1. bind 1819","258952","48319654","298","2","48319971","298","319"
"Nr. 2, 2. bind 1819","258953","48319972","298","320","48320300","298","648"
"Nr. 2, 2. bind 1819","258954","48320301","299","2","48320498","299","203"
"Nr. 2, 1. bind 1820","258955","48320499","299","204","48320946","299","651"
"Nr. 2, 1. bind 1820","258956","48320947","300","2","48321042","300","99"
"Nr. 2, 2. bind 1820","258957","48321043","300","100","48321531","300","614"
"Nr. 2, 2. bind 1820","258958","48321532","301","2","48321558","301","30"
"Nr. 2, 1. bind 1821","258959","48321559","301","31","48322041","301","524"
"Nr. 2, 2. bind 1821","258960","48322042","301","525","48322181","301","667"
"Nr. 2, 2. bind 1821","258961","48322182","302","2","48322401","302","225"
"Nr. 2, 2. bind 1821","258962","48322402","302","226","48322501","302","329"
"Nr. 2, 1. bind 1822","258962","48322502","302","330","48322818","302","652"
"Nr. 2, 1. bind 1822","258963","48322819","303","2","48322937","303","126"
"Nr. 2, 2. bind 1822","258964","48322938","303","127","48323362","303","563"
"Nr. 2, 1. bind 1823","258965","48323363","304","2","48323836","304","475"
"Nr. 2, 2. bind 1823","258966","48323837","304","476","48323996","304","635"
"Nr. 2, 2. bind 1823","258967","48323997","305","2","48324273","305","278"
"Nr. 2, 1. bind 1824","258968","48324274","305","279","48324648","305","653"
"Nr. 2, 1. bind 1824","258969","48324649","306","2","48324785","306","141"
"Nr. 2, 2. bind 1824","258970","48324786","306","142","48325258","306","623"
"Nr. 2, 1. bind 1825","258971","48325259","307","2","48325799","307","542"
"Nr. 2, 2. bind 1825","258972","48325800","307","543","48325903","307","646"
"Nr. 2, 2. bind 1825","258973","48325904","308","2","48326345","308","443"
"Anhang nr. 2, 1. bind 1825","258974","48326346","309","2","48326393","309","49"
"Anhang nr. 2, 2. bind 1825","258975","48326394","309","50","48326427","309","83"
"Nr. 2, 1. bind 1826","258976","48326428","309","84","48326958","309","615"
"Nr. 2, 2. bind 1826","258977","48326959","310","2","48327420","310","464"
"Nr. 2, 1. bind 1827","258978","48327421","310","465","48327590","310","634"
"Nr. 2, 1. bind 1827","258979","48327591","311","2","48327941","311","352"
"Nr. 2, 2. bind 1827","258980","48327942","311","353","48328229","311","640"
"Nr. 2, 2. bind 1827","258981","48328230","312","2","48328489","312","261"
"Anhang 1827","258982","48328490","312","262","48328520","312","292"
"Nr. 2, 1. bind 1828","258983","48328521","312","293","48328856","312","628"
"Nr. 2, 1. bind 1828","258984","48328867","313","2","48329086","313","220"
"Anhang 1828","258985","48329087","313","221","48329119","313","253"
"Nr. 2, 2. bind 1828","258986","48329120","313","254","48329468","313","602"
"Nr. 2, 2. bind 1828","258987","48329469","314","2","48329660","314","193"
