polity_name,source,layer_year,entity_area_name,truhart_id,SUM_IAC_all,SUM_Inter_state,SUM_Intra_state,SUM_HYDE_pop,mean_elevation,mean_open_terrain,inner_asia_border_dist,landform,warm_water_coast
Kiev,Euratlas 1200,1200,Kiev,16.123,,,,400542.387,172.2802269,0.207362535,0,Continent,1
(Kiev),Euratlas 1300,1300,Kiev,16.123,,,,180386.887,172.2802269,0,0,Continent,0
,,1400,Kiev,16.123,1,1,0,99426.9075,172.2802269,0.003773585,0,Continent,0
,,1500,Kiev,16.123,,,,146629.5183,172.2802269,0.003134796,0,Continent,0
,,1000,Turov,16.131,,,,612.0979042,148.353605,0,228.0341426,Continent,0
,,1100,Turov,16.131,,,,1157.045311,148.353605,0,228.0341426,Continent,0
Pinsk,Euratlas 1200,1200,Turov,16.131,,,,89587.23452,148.353605,0,65.4937517,Continent,0
Pinsk,Euratlas 1300,1300,Turov,16.131,,,,113882.5967,148.353605,0,100.4756084,Continent,0
,,1400,Turov,16.131,,,,43116.48433,148.353605,0,150.1246152,Continent,0
,,1500,Turov,16.131,,,,57488.65099,148.353605,0,150.1246152,Continent,0
,,1000,Galle,16.132,,,,47615.28122,398.2528852,0,208.6209352,Continent,0
Galicja,Euratlas 1100,1100,Peremysl-Galic,16.134,,,,211235.8655,323.851936,0,0,Continent,0
,,1200,Peremysl-Galic,16.134,,,,215432.5917,323.851936,0,15.03318409,Continent,0
Galicja-Volhynia,Euratlas 1200,1200,Gali?,16.137,,,,305972.7531,257.0052605,0,0,Continent,0
Galicja-Volhynia,Euratlas 1300,1300,Galicia,16.143,,,,465320.6038,374.9947785,0,29.69525505,Continent,0
Smolensk,Euratlas 1100,1000,Smolensk,16.148,,,,77520.4038,202.0649904,0,0,Continent,0
Smolensk,Euratlas 1100,1100,Smolensk,16.148,,,,116280.604,202.0649904,0,0,Continent,0
Smolensk,Euratlas 1200,1200,Smolensk,16.148,,,,105396.206,202.0649904,0,12.02891824,Continent,0
(Smolensk),Euratlas 1300,1300,Smolensk,16.148,,,,51868.90899,202.0649904,0,21.62990606,Continent,0
Chernigov,Euratlas 1100,1100,Cernigov,16.149,,,,251619.9738,171.6797824,0.060107455,0,Continent,1
Chernigov,Euratlas 1200,1200,Cernigov,16.149,1,1,0,283429.5352,171.6797824,0.000822707,0,Continent,0
(Chernigov),Euratlas 1300,1300,Cernigov,16.149,1,1,0,163726.156,171.6797824,0.001492537,0,Continent,0
,,1400,Cernigov,16.149,,,,28644.29505,171.6797824,0,0,Continent,0
,,1500,Cernigov,16.149,,,,67886.26121,171.6797824,0,0,Continent,0
