terr_name,terr_id
Montfort(-Tettnang)-Bregenz,0M0051
Matuschka,0M0052
Joachim Murat (Großherzogtum Berg),1M0001
Jürgen von Meltzahn,1M0008
Grafen von Neuenahr-Saffenburg,0N0001
Grafen von Neuenahr-Saffenburg-Virneburg,0N0002
Grafen von Neuenahr,0N0003
Nassau-Stauf-Kirchheim,0N0004
Niederstedigen,0N0005
Markgraf Ernst von Nordgau,0N0006
Kloster Niedernburg,0N0007
Grafen von Neiffen,0N0008
Neustrien,0N0009
Kloster Niederaltaich,0N0010
Neuenahr-Alpen,0N0011
Nassau-Sonnenberg,0N0012
Nassau-Saarbrücken (mittlere Linie),0N0013
Nassau(-Usingen)-Saarbrücken (ältere Linie),0N0014
Nassau-Beilstein (jüngere Linie) (1620-1739 Nassau-Dillenburg genannt),0N0015
Nassau-Hadamar (jüngere Linie),0N0016
Niederbayern (jüngere Linie) (Bayern-Landshut ab 1353),0N0017
Napoleon (Frankreich),1N0001
Herren von Orley,0O0001
Ortsadel von Ottobeuren,0O0002
Drost von Ovelgönne,0O0003
Stift Oberhofen zu Göppingen,0O0004
Ostfränkisches Reich,0O0005
Kloster Obra,0O0006
von Ögnitz,0O0007
von Olzan,0O0008
von Oinitz,0O0009
Ostmark,0O0010
von Oberg,0O0011
v. d. Osten,0O0012
Ossika; Herzog in,0O0013
Nonnenkloster Ovinsk bei Posen,0O0014
Kloster Obernkirchen,0O0015
Bartholomäus von Oderfeld,1O0001
Kloster Prüm,0P0001
Pflug von Rabenstein (Herren von Pflug),0P0002
Puchberger,0P0003
Herren von Parsberg,0P0004
Grafen von Pettendorf-Lengenfeld-Hopfenohe,0P0005
Plochingen,0P0006
Grafen von Peilstein,0P0007
Pfuser,0P0008
Vögte von Plauen und Weida,0P0009
Herren von Poppenburg,0P0010
Pfullingen-Achalm,0P0011
Edle von Planitz,0P0012
von Promnitz; Grf.,0P0013
von Pulsnitz,0P0014
von Pondichau,0P0015
Pflug zu Rötha,0P0016
Pfalzeck,0P0017
böhmischer adliger von Leipa,0P0018
Fam. Polentz-Progen,0P0019
Andreas von Padmohr,0P0020
von Polentz (Polenz),0P0021
von Paradis,0P0022
Peterskirche in Aschaffenburg,0P0023
Bischof von Posen,0P0024
Pfuel,0P0025
von Plote,0P0026
Kloster Paradies,0P0027
Ritter von Padberg,0P0028
von Pack,0P0029
Plotzick oder Plötzke,0P0030
Portales; Gr.,0P0031
Peterskloster auf dem Lauteberg bei Halle,0P0032
von Pleiße,0P0033
von Plessen,0P0034
von Petersdorf,0P0035
Pluge; Ritter Otto,0P0036
von Polzin,0P0037
von Ponitz,0P0038
von Papstein,0P0039
Ritter de Polyz,0P0040
Poniatowskis,0P0041
Potulicki,0P0042
Plotow,0P0043
Plötze,0P0044
von Prignitz,0P0045
Podiebrad,0P0046
Pfalz(-Zweibrücken)-Kleeburg,0P0047
Pannwitz,0P0048
Stadtrat Quedlinburg,0Q0001
von Quitzlow,0Q0002
von Quast,0Q0003
Popp Rüd,1R0001
Reichsbesitz/Kaiserlicher Besitz,0R0001
Herren von Riet-Rietberg,0R0002
Russland,0R0003
Domkapitel Regensburg,0R0004
Kloster Rinchnach,0R0005
Marquardt von Randeck,0R0006
Herren von Riexingen,0R0007
Römisches Reich (Imperium Romanum),0R0008
Hallgrafen von Reichenhall,0R0009
Reichsstädte(Württemberg),0R0010
Ritter Lappe,0R0011
von Rindsmaul,0R0012
Landgrafen Heinrich von Raspe,0R0013
von Rispern,0R0014
Remp,0R0015
Grafen von Ronsberg,0R0016
Herren von Reuberg ,0R0017
Burgwarde Rochlitz,0R0018
von Ratsamhausen,0R0019
Albrecht Kese von Rotenfels,0R0020
von Reudnitz,0R0021
Grafen von Rohrdorf,0R0022
Reichsstadt Radolfzell,0R0023
von Rabenswald,0R0024
Plauen-Greiz/Reuß von Plauen,0R0025
Reuß mittlere Linie/Reuß-Obergreiz,0R0026
Reuß-Hirschberg,0R0027
Herren von Remda,0R0028
Familie von Rinkerode,0R0029
von Ramin,0R0030
von Rißling,0R0031
von Röckeritz,0R0032
von Rohr,0R0033
von Redern,0R0034
von Richow,0R0035
Herren von Randerath,0R0036
Herzog von Rohan-chevreuse,0R0037
von Ronow; Freiherren ,0R0038
Reinstein-Blankenburg,0R0039
Grafen von Rabenswalde,0R0040
Grafen von Rikdag,0R0041
Ribes,0R0042
Kloster Reinfeld,0R0043
von Rüthnick,0R0044
von Rodstock,0R0045
Woiewoden von Rawa,0R0046
Radolinski,0R0047
von Rochow,0R0048
Romanov (Russland),0R0049
Raugrafen von Neuenbaumburg,0R0050
Raugrafen von Altenbaumburg,0R0051
Rheydt,0R0052
Rosdorf (Grafen),0R0053
Stephan Schmid von Freihofen,1S0009
der Münzmeister Senftleben,1S0010
Friedrich von Schwaben,0S0001
Salier,0S0002
Sickinger,0S0003
Grafen von Salm-Leuze-Kirburg,0S0004
Herren von Siersberg,0S0006
unteres Saargau,0S0007
Herren von Schwarzenburg,0S0008
die von Spörken,0S0009
Herren von Schöneberg (ehem. Grafen von Eberschütz),0S0010
von Schlutwinsdorf,0S0011
Herren von Salza,0S0012
Albrecht von Schenkenberg,0S0013
Herren von Sternfels,0S0014
Grafen von Schweinfurt,0S0015
schwäbischer Bund,0S0016
Scherer (Nebenlinie der Pfalzgrf. Von Tübingen),0S0017
Ortsadel von Stein,0S0018
Reichsministerialenfamilie Schüpfe,0S0019
Ritter von Spaneck,0S0020
Stader Grafen,0S0021
Hans von Schwarzenberg-Kastelberg,0S0022
Grafen von Sempt-Ebersberg,0S0023
Brüder von Salder,0S0024
Segeband von dem Berge,0S0025
Graf Schlick,0S0026
von Sloterheim,0S0027
Herren von Stöffeln,0S0028
Freiherren von Späth-Gammertingen,0S0029
Herren von Schilteck,0S0030
von Saalhausen,0S0031
Kurz von Senftenau,0S0032
Christoph von Sternsee,0S0033
Obervogt am Schwarzwald,0S0034
