city_id,region_id,name,name_alt,name_foreign,nat,latitude,longitude,author
2001,2,Anklam,Anklam,,,53.855278,13.692778,Otto Bollnow
2002,2,Barth,Barth,,,54.36861,12.726389,Dr. Erich Gülzow
2003,2,Bergen,Bergen,,,54.418335,13.432777,Dr. Alfred Haas
2004,2,Damgarten,Damgarten,,,54.255001,12.473333,Kurt Hoffmeister
2005,2,Demmin,Demmin,,,53.905277,13.038055,Dr. Hans Bellee
2006,2,Franzburg,Franzburg,,,54.186943,12.8775,Kurt Hoffmeister
2007,2,Gartz (Oder),Gartz (Oder),,,53.208611,14.388611,Dr. Hans Branig
2008,2,Garz (Ruegen),Garz/Ruegen,,,54.316387,13.352222,Ernst Wiedermann
2009,2,Greifswald,Greifswald,,,54.095554,13.379444,Richard  Schmidt
2010,2,Grimmen,Grimmen,,,54.113056,13.043056,Walter Koß
2011,2,Guetzkow,Guetzkow,,,53.9375,13.409445,Walter Ewert
2012,2,Jarmen,Jarmen,,,53.923889,13.34,Bernhard Kasten
2013,2,Lassan,Lassan,,,53.945557,13.845,Dr. Fritz Kasten
2014,2,Loitz,Loitz,,,53.97361,13.129444,Otto Schuhmacher
2015,2,Pasewalk,Pasewalk,,,53.503887,13.997222,Dr. Hans du Vinage
2016,2,Penkun,Penkun,,,53.297779,14.235556,Dr. Gertrud Steckhan
2017,2,Richtenberg,Richtenberg,,,54.200554,12.89,Kurt Hoffmeister
2018,2,Stralsund,Stralsund,,,54.313889,13.089723,Dr. Fritz Adler
2019,2,Treptow (Tollense),Treptow (Tollense),,,53.69278,13.250834,Dr. Franz Engel
2020,2,Tribsees,Tribsees,,,54.094444,12.757778,Dr. Katharina Weber
2021,2,Ueckermuende,Ueckermuende,,,53.736389,14.046389,Otto Bruchwitz
2022,2,Usedom,Usedom,,,53.87389,13.920278,Dr. Oskar Eggert
2023,2,Wolgast,Wolgast,,,54.052776,13.774445,Albert Altermann
3001,3,Arnhausen,Arnhausen,Lipie,PO,53.8325,15.939167,
3002,3,Arnswalde,Arnswalde,Choszczno,PO,53.166668,15.4,Dr. Hugo Rachel
3003,3,Baerwalde,Baerwalde,Baerwalde,PO,53.745277,16.35111,Walter Witt
3004,3,Bahn,Bahn,Banie,PO,53.099998,14.65,Dr. Hans Branig
3005,3,Baldenburg,Baldenburg,Bialy Bor,PO,53.897499,16.834444,Dr. Hans Schmitz
3006,3,Belgard,Belgard,Bialogard,PO,54,15.983334,Dr. Hermann Claus
