city_id,comment,time_point,building,buildgen,newbuild,uncertainty,range
1021,"Rathaus 1703 abgebrannt; Am Markt gelegenes Haus wurde 1712 dafür als Rathaus verwendet; kath. St.-Nikolaus-Pfarrkirche im 14.Jh erbaut, Erneuerungen an der Kirche im 18.Jh.; Hospital zum Hl.Geist im 14.Jh. Gestiftet, Neubaut des Hospitals 1686",1300,1,1,1,0,4
1021,"Rathaus 1703 abgebrannt; Am Markt gelegenes Haus wurde 1712 dafür als Rathaus verwendet; kath. St.-Nikolaus-Pfarrkirche im 14.Jh erbaut, Erneuerungen an der Kirche im 18.Jh.; Hospital zum Hl.Geist im 14.Jh. Gestiftet, Neubaut des Hospitals 1686",1300,13,6,1,0,4
1021,"Rathaus 1703 abgebrannt; Am Markt gelegenes Haus wurde 1712 dafür als Rathaus verwendet; kath. St.-Nikolaus-Pfarrkirche im 14.Jh erbaut, Erneuerungen an der Kirche im 18.Jh.; Hospital zum Hl.Geist im 14.Jh. Gestiftet, Neubaut des Hospitals 1686",1300,13,6,1,0,4
1021,"Rathaus 1703 abgebrannt; Am Markt gelegenes Haus wurde 1712 dafür als Rathaus verwendet; kath. St.-Nikolaus-Pfarrkirche im 14.Jh erbaut, Erneuerungen an der Kirche im 18.Jh.; Hospital zum Hl.Geist im 14.Jh. Gestiftet, Neubaut des Hospitals 1686",1300,1,1,1,0,4
1021,"Rathaus 1703 abgebrannt; Am Markt gelegenes Haus wurde 1712 dafür als Rathaus verwendet; kath. St.-Nikolaus-Pfarrkirche im 14.Jh erbaut, Erneuerungen an der Kirche im 18.Jh.; Hospital zum Hl.Geist im 14.Jh. Gestiftet, Neubaut des Hospitals 1686",1375,1,1,0,0,2
1021,"Rathaus 1703 abgebrannt; Am Markt gelegenes Haus wurde 1712 dafür als Rathaus verwendet; kath. St.-Nikolaus-Pfarrkirche im 14.Jh erbaut, Erneuerungen an der Kirche im 18.Jh.; Hospital zum Hl.Geist im 14.Jh. Gestiftet, Neubaut des Hospitals 1686",1551,3,1,0,0,0
1021,"Rathaus 1703 abgebrannt; Am Markt gelegenes Haus wurde 1712 dafür als Rathaus verwendet; kath. St.-Nikolaus-Pfarrkirche im 14.Jh erbaut, Erneuerungen an der Kirche im 18.Jh.; Hospital zum Hl.Geist im 14.Jh. Gestiftet, Neubaut des Hospitals 1686",1575,13,6,0,0,1
1021,"Rathaus 1703 abgebrannt; Am Markt gelegenes Haus wurde 1712 dafür als Rathaus verwendet; kath. St.-Nikolaus-Pfarrkirche im 14.Jh erbaut, Erneuerungen an der Kirche im 18.Jh.; Hospital zum Hl.Geist im 14.Jh. Gestiftet, Neubaut des Hospitals 1686",1686,13,6,1,0,0
1021,"Rathaus 1703 abgebrannt; Am Markt gelegenes Haus wurde 1712 dafür als Rathaus verwendet; kath. St.-Nikolaus-Pfarrkirche im 14.Jh erbaut, Erneuerungen an der Kirche im 18.Jh.; Hospital zum Hl.Geist im 14.Jh. Gestiftet, Neubaut des Hospitals 1686",1700,5,2,1,2,2
1021,"Rathaus 1703 abgebrannt; Am Markt gelegenes Haus wurde 1712 dafür als Rathaus verwendet; kath. St.-Nikolaus-Pfarrkirche im 14.Jh erbaut, Erneuerungen an der Kirche im 18.Jh.; Hospital zum Hl.Geist im 14.Jh. Gestiftet, Neubaut des Hospitals 1686",1700,1,1,0,0,4
