cid,city,country,lat,lon,elev,transport,in_hre,in_cne,pop1100,pop1200,pop1300,pop1400,pop1500,on_river,on_coast,inland,atlantic,baltic,northsea,medit,staple_year,fair_year
65,Amalfi,Italy,40.63,14.6,10,med,False,True,6000.0,4000.0,3000.0,2000.0,2000.0,0,1,0,0,0,0,1,,
66,Amberg,Germany,49.45,11.87,373,river north sea,True,True,1000.0,1000.0,3000.0,3000.0,4000.0,1,0,0,0,0,1,0,,
67,Ambert,France,45.55,3.75,514,land north sea,False,True,0.0,0.0,1000.0,1000.0,2000.0,0,0,1,0,0,1,0,,
68,Amboise,France,47.42,0.98,52,river north sea,False,True,1000.0,2000.0,3000.0,5000.0,5000.0,1,0,0,0,0,1,0,,
69,Amersfoort,Netherlands,52.15,5.4,3,river north sea,True,True,1000.0,2000.0,3000.0,2000.0,7000.0,1,0,0,0,0,1,0,,1331.0
70,Amiens,France,49.9,2.3,25,river north sea,False,True,5000.0,7000.0,9000.0,6000.0,20000.0,1,0,0,0,0,1,0,,
71,Amsterdam,Netherlands,52.37,4.9,2,north sea,True,True,0.0,1000.0,1000.0,3000.0,12000.0,0,1,0,0,0,1,0,1323.0,1400.0
72,Anagni,Italy,41.73,13.17,475,land mediterranean,False,True,2000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
73,Ancona,Italy,43.63,13.5,1,med,False,True,3000.0,4000.0,5000.0,3000.0,5000.0,0,1,0,0,0,0,1,,
74,Andernach,Germany,50.43,7.4,60,river north sea,True,True,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,1,0,,
76,Andria,Italy,41.22,16.3,152,land mediterranean,False,True,1000.0,2000.0,3000.0,2000.0,5000.0,0,0,1,0,0,0,1,,
78,Anduze,France,44.05,3.98,117,river mediterranean,False,True,2000.0,3000.0,4000.0,3000.0,6000.0,1,0,0,0,0,0,1,,
79,Angers,France,47.47,-0.55,39,river north sea,False,True,6000.0,7000.0,10000.0,6000.0,13000.0,1,0,0,0,0,1,0,,
80,Angouleme,France,45.65,0.15,65,river north sea,False,True,3000.0,4000.0,5000.0,3000.0,4000.0,1,0,0,0,0,1,0,,
81,Angri,Italy,40.73,14.57,25,land mediterranean,False,True,0.0,1000.0,1000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
82,Anklam,Germany,53.85,13.68,6,river baltic,True,True,0.0,1000.0,2000.0,1000.0,2000.0,1,0,0,0,1,0,0,1579.0,
83,Annaberg,Germany,50579.0,13.0,300,land north sea,True,True,0.0,0.0,1000.0,2000.0,4000.0,0,0,1,0,0,1,0,,
84,Annecy,France,45.9,6.12,418,river mediterranean,False,True,1000.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,0,1,,
85,Annonay,France,45.23,4.67,270,land mediterranean,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
86,Ansbach,Germany,49.28,10.6,406,river north sea,True,True,0.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,,
88,Antibes,France,43.58,7.1,9,med,False,True,2000.0,2000.0,2000.0,1000.0,1000.0,0,1,0,0,0,0,1,,
89,Antwerpen,Belgium,51.22,4.42,3,north sea + river,True,True,2000.0,3000.0,7000.0,15000.0,30000.0,1,1,0,0,0,1,0,1259.0,1298.0
90,Aosta,Italy,45.73,7.32,583,river mediterranean,False,True,2000.0,3000.0,3000.0,2000.0,2000.0,1,0,0,0,0,0,1,,
91,Apeldoorn,Netherlands,52.22,5.97,16,land north sea,True,True,1000.0,2000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,,
92,Apt,France,43.88,5.4,170,land mediterranean,False,True,2000.0,2000.0,2000.0,1000.0,3000.0,0,0,1,0,0,0,1,,
93,Aquila,Italy,42.35,13.37,756,land mediterranean,False,True,0.0,0.0,20000.0,13000.0,10000.0,0,0,1,0,0,0,1,,
96,Aragona,Italy,37.4,13.62,400,land mediterranean,False,True,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,,
98,Arbois,France,46.9,5.77,246,land mediterranean,False,True,0.0,1000.0,1000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
101,Ardooie,Belgium,50.98,3.2,21,land north sea,True,True,1000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,1,0,,
102,Arezzo,Italy,43.42,11.88,415,land mediterranean,False,True,6000.0,8000.0,10000.0,4000.0,6000.0,0,0,1,0,0,0,1,,
103,Argentan,France,48.75,-0.02,152,land north sea,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,1,0,,
104,Argenteuil,France,48.95,2.25,25,river north sea,False,True,2000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,,
107,Ariano Irpino,Italy,41.15,15.08,627,land mediterranean,False,True,2000.0,2000.0,3000.0,2000.0,4000.0,0,0,1,0,0,0,1,,
109,Arles,France,43.67,4.63,8,river mediterranean,False,True,7000.0,7000.0,8000.0,5000.0,10000.0,1,0,0,0,0,0,1,,
110,Arlon,Belgium,49.68,5.82,421,river north sea,True,True,1000.0,2000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,,
113,Armentieres (Armenti̬res),France,50.68,2.88,11,river north sea,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,,
114,Arnhem,Netherlands,51.98,5.92,13,river north sea,True,True,2000.0,2000.0,2000.0,3000.0,6000.0,1,0,0,0,0,1,0,1437.0,1240.0
116,Arpino,Italy,41.63,13.62,390,land mediterranean,False,True,3000.0,3000.0,4000.0,3000.0,4000.0,0,0,1,0,0,0,1,,
117,Arras,France,50.28,2.78,86,river north sea,False,True,13000.0,20000.0,30000.0,10000.0,11000.0,1,0,0,0,0,1,0,,
120,Aschaffenburg,Germany,49.98,9.15,138,river north sea,True,True,1000.0,1000.0,2000.0,1000.0,1000.0,1,0,0,0,0,1,0,,
121,Aschersleben,Germany,51.75,11.45,114,land north sea,True,True,1000.0,2000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,,
122,Ascoli Piceno,Italy,42.87,13.58,233,river mediterranean,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,0,1,,
123,Ascoli Satriano,Italy,41.2,15.57,376,land mediterranean,False,True,2000.0,3000.0,3000.0,2000.0,2000.0,0,0,1,0,0,0,1,,
126,Assisi,Italy,43.07,12.62,424,land mediterranean,False,True,3000.0,4000.0,5000.0,6000.0,4000.0,0,0,1,0,0,0,1,,
127,Asti,Italy,44.9,8.2,117,river mediterranean,False,True,3000.0,4000.0,5000.0,3000.0,8000.0,1,0,0,0,0,0,1,,
130,Atessa,Italy,44.07,14.45,435,land mediterranean,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
131,Ath,Belgium,50.63,3.78,32,river north sea,True,True,1000.0,2000.0,4000.0,3000.0,5000.0,1,0,0,0,0,1,0,1458.0,
134,Atri,Italy,42.58,13.97,442,land mediterranean,False,True,2000.0,2000.0,1000.0,1000.0,4000.0,0,0,1,0,0,0,1,,
135,Aubagne,France,43.28,5.57,74,land mediterranean,False,True,0.0,1000.0,1000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
136,Auch,France,43.67,0.6,133,river north sea,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,1,0,,
137,Augsburg,Germany,48.35,10.88,474,river black sea,True,True,9000.0,13000.0,19000.0,12000.0,30000.0,1,0,0,0,0,0,0,,
138,Augusta,Italy,37.22,15.23,6,med,False,True,0.0,1000.0,2000.0,1000.0,2000.0,0,1,0,0,0,0,1,,
139,Aurillac,France,44.93,2.43,573,land north sea,False,True,2000.0,2000.0,3000.0,2000.0,3000.0,0,0,1,0,0,1,0,,
140,Autun,France,46.95,4.3,280,river north sea,False,True,4000.0,5000.0,7000.0,4000.0,5000.0,1,0,0,0,0,1,0,,
141,Auxerre,France,47.8,3.57,100,river north sea,False,True,7000.0,10000.0,10000.0,6000.0,2000.0,1,0,0,0,0,1,0,,
142,Avallon,France,47.48,3.9,163,land north sea,False,True,2000.0,2000.0,3000.0,2000.0,2000.0,0,0,1,0,0,1,0,,
144,Avellino,Italy,40.82,14.78,201,land mediterranean,False,True,2000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
145,Aversa,Italy,40.97,14.2,38,land mediterranean,False,True,2000.0,4000.0,4000.0,3000.0,5000.0,0,0,1,0,0,0,1,,
146,Avigliano,Italy,40.73,15.73,827,land mediterranean,False,True,1000.0,1000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,
147,Avignon,France,43.95,4.82,21,river mediterranean,False,True,4000.0,5000.0,6000.0,15000.0,18000.0,1,0,0,0,0,0,1,,
149,Avola,Italy,36.9,15.15,40,med,False,True,2000.0,2000.0,1000.0,2000.0,2000.0,0,1,0,0,0,0,1,,
150,Avranches,France,48.68,-1.37,7,river north sea,False,True,2000.0,2000.0,3000.0,2000.0,2000.0,1,0,0,0,0,1,0,,
154,Bad Hersfeld,Germany,50.87,9.7,212,river north sea,True,True,1000.0,1000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,,
155,Bad Ischl,Austria,47.72,13.63,468,river black sea,True,True,0.0,0.0,1000.0,1000.0,0.0,1,0,0,0,0,0,0,,
156,Bad Kreuznach,Germany,49.87,7.85,104,river north sea,True,True,2000.0,2000.0,3000.0,2000.0,3000.0,1,0,0,0,0,1,0,,
159,Baden-Baden,Germany,48.77,8.23,161,river north sea,True,True,1000.0,1000.0,2000.0,1000.0,1000.0,1,0,0,0,0,1,0,,
162,Bagnara Calabria,Italy,38.3,15.82,50,med,False,True,1000.0,1000.0,2000.0,1000.0,2000.0,0,1,0,0,0,0,1,,
163,Bagneres de bigorre,France,43.07,0.15,440,land north sea,False,True,3000.0,4000.0,5000.0,1000.0,2000.0,0,0,1,0,0,1,0,,
164,Bagnols,France,45.5,2.62,679,land north sea,False,True,0.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,,
167,Bailleul,France,50.73,2.73,14,land north sea,False,True,2000.0,2000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,,
168,Baja,Hungary,46.18,18.95,95,river black sea,False,True,0.0,0.0,1000.0,1000.0,1000.0,1,0,0,0,0,0,0,,
173,Bamberg,Germany,49.88,10.88,293,river north sea,True,True,4000.0,8000.0,8000.0,5000.0,7000.0,1,0,0,0,0,1,0,,
