cid,city,country,lat,lon,elev,transport,in_hre,in_cne,pop1200,pop1300,pop1400,pop1500,pop1600,on_river,on_coast,inland,atlantic,baltic,northsea,medit,l1200,l1300,l1400,l1500,l1600,g_crash,g_recov
200,Beckum,Germany,51.75,8.03,100,land north sea,True,True,1000.0,2000.0,1000.0,1000.0,2000.0,0,0,1,0,0,1,0,6.907755278982137,7.600902459542082,6.907755278982137,6.907755278982137,7.600902459542082,-0.6931471805599454,0.0
225,Bergen op Zoom,Netherlands,51.5,4.28,10,north sea,True,True,1000.0,1000.0,1000.0,1000.0,2000.0,0,1,0,0,0,1,0,6.907755278982137,6.907755278982137,6.907755278982137,6.907755278982137,7.600902459542082,0.0,0.0
229,Berlin,Germany,52.52,13.4,35,river north sea,True,True,3000.0,4000.0,5000.0,9000.0,10000.0,1,0,0,0,0,1,0,8.006367567650246,8.294049640102028,8.517193191416238,9.104979856318357,9.210340371976184,0.2231435513142106,0.5877866649021186
230,Bern,Switzerland,46.95,7.43,536,river north sea,True,True,3000.0,3000.0,2000.0,3000.0,5000.0,1,0,0,0,0,1,0,8.006367567650246,8.006367567650246,7.600902459542082,8.006367567650246,8.517193191416238,-0.4054651081081637,0.4054651081081637
232,Bernburg,Germany,51.8,11.73,85,river north sea,True,True,2000.0,2000.0,1000.0,3000.0,4000.0,1,0,0,0,0,1,0,7.600902459542082,7.600902459542082,6.907755278982137,8.006367567650246,8.294049640102028,-0.6931471805599454,1.0986122886681091
236,Beveren,Belgium,51.22,4.25,12,land north sea,True,True,1000.0,2000.0,1000.0,2000.0,2000.0,0,0,1,0,0,1,0,6.907755278982137,7.600902459542082,6.907755278982137,7.600902459542082,7.600902459542082,-0.6931471805599454,0.6931471805599454
241,Biberach,Germany,48.1,9.97,238,river black sea,True,True,2000.0,2000.0,1000.0,3000.0,3000.0,1,0,0,0,0,0,0,7.600902459542082,7.600902459542082,6.907755278982137,8.006367567650246,8.006367567650246,-0.6931471805599454,1.0986122886681091
242,Bielefeld,Germany,52.02,8.52,118,land north sea,True,True,1000.0,1000.0,1000.0,2000.0,3000.0,0,0,1,0,0,1,0,6.907755278982137,6.907755278982137,6.907755278982137,7.600902459542082,8.006367567650246,0.0,0.6931471805599454
248,Binche,Belgium,50.4,4.17,92,land north sea,True,True,1000.0,1000.0,1000.0,1000.0,2000.0,0,0,1,0,0,1,0,6.907755278982137,6.907755278982137,6.907755278982137,6.907755278982137,7.600902459542082,0.0,0.0
249,Bingen,Germany,49.97,7.9,89,river north sea,True,True,2000.0,2000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,7.600902459542082,7.600902459542082,6.907755278982137,6.907755278982137,7.600902459542082,-0.6931471805599454,0.0
261,Bochum,Germany,51.47,7.08,100,land north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,6.907755278982137,6.907755278982137,6.907755278982137,6.907755278982137,6.907755278982137,0.0,0.0
269,Bonn,Germany,50.73,7.08,54,river north sea,True,True,4000.0,5000.0,3000.0,3000.0,4000.0,1,0,0,0,0,1,0,8.294049640102028,8.517193191416238,8.006367567650246,8.006367567650246,8.294049640102028,-0.5108256237659923,0.0
293,Brandenburg,Germany,52.4,12.53,29,river north sea,True,True,2000.0,1000.0,2000.0,5000.0,7000.0,1,0,0,0,0,1,0,7.600902459542082,6.907755278982137,7.600902459542082,8.517193191416238,8.85366542803745,0.6931471805599454,0.916290731874156
297,Braunschweig,Germany,52.25,10.5,71,river north sea,True,True,11000.0,12000.0,18000.0,18000.0,16000.0,1,0,0,0,0,1,0,9.305650551780507,9.392661928770137,9.798127036878302,9.798127036878302,9.680344001221918,0.4054651081081655,0.0
298,Breda,Netherlands,51.58,4.77,3,river north sea,True,True,1000.0,2000.0,1000.0,6000.0,7000.0,1,0,0,0,0,1,0,6.907755278982137,7.600902459542082,6.907755278982137,8.699514748210191,8.85366542803745,-0.6931471805599454,1.7917594692280545
299,Breisach am Rhein,Germany,48.02,7.6,225,river north sea,True,True,2000.0,3000.0,2000.0,3000.0,4000.0,1,0,0,0,0,1,0,7.600902459542082,8.006367567650246,7.600902459542082,8.006367567650246,8.294049640102028,-0.4054651081081637,0.4054651081081637
300,Bremen,Germany,53.08,8.8,3,river north sea,True,True,8000.0,13000.0,7000.0,18000.0,21000.0,1,0,0,0,0,1,0,8.987196820661973,9.472704636443673,8.85366542803745,9.798127036878302,9.95227771670556,-0.6190392084062228,0.944461608840852
318,Bruchsal,Germany,49.12,8.58,114,land north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,6.907755278982137,6.907755278982137,6.907755278982137,6.907755278982137,6.907755278982137,0.0,0.0
319,Brugge,Belgium,51.22,3.23,2,north sea,True,True,10000.0,40000.0,37000.0,35000.0,27000.0,0,1,0,0,0,1,0,9.210340371976184,10.596634733096073,10.51867319162636,10.46310334047155,10.203592144986466,-0.0779615414697119,-0.055569851154810834
320,Bruxelles,Belgium,50.83,4.33,62,river north sea,True,True,8000.0,18000.0,26000.0,33000.0,50000.0,1,0,0,0,0,1,0,8.987196820661973,9.798127036878302,10.165851817003619,10.404262840448617,10.819778284410283,0.3677247801253163,0.2384110234449981
325,Burg,Germany,52.28,11.85,54,river north sea,True,True,2000.0,2000.0,1000.0,2000.0,3000.0,1,0,0,0,0,1,0,7.600902459542082,7.600902459542082,6.907755278982137,7.600902459542082,8.006367567650246,-0.6931471805599454,0.6931471805599454
331,Burscheid,Germany,50.78,6.08,195,land north sea,True,True,1000.0,1000.0,1000.0,1000.0,2000.0,0,0,1,0,0,1,0,6.907755278982137,6.907755278982137,6.907755278982137,6.907755278982137,7.600902459542082,0.0,0.0
417,Celle,Germany,52.62,10.08,40,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,3000.0,1,0,0,0,0,1,0,6.907755278982137,6.907755278982137,6.907755278982137,6.907755278982137,8.006367567650246,0.0,0.0
432,Charleroi,Belgium,50.42,4.43,136,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,6.907755278982137,6.907755278982137,6.907755278982137,6.907755278982137,6.907755278982137,0.0,0.0
447,Chemnitz,Germany,50.83,12.92,297,river north sea,True,True,1000.0,2000.0,1000.0,3000.0,5000.0,1,0,0,0,0,1,0,6.907755278982137,7.600902459542082,6.907755278982137,8.006367567650246,8.517193191416238,-0.6931471805599454,1.0986122886681091
467,Chur,Switzerland,46.83,9.51,593,river north sea,True,True,2000.0,2000.0,1000.0,2000.0,2000.0,1,0,0,0,0,1,0,7.600902459542082,7.600902459542082,6.907755278982137,7.600902459542082,7.600902459542082,-0.6931471805599454,0.6931471805599454
482,Coburg,Germany,50.25,10.97,292,river north sea,True,True,2000.0,3000.0,4000.0,3000.0,2000.0,1,0,0,0,0,1,0,7.600902459542082,8.006367567650246,8.294049640102028,8.006367567650246,7.600902459542082,0.2876820724517817,-0.2876820724517817
483,Coesfeld,Germany,51.93,7.17,89,river north sea,True,True,1000.0,2000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,6.907755278982137,7.600902459542082,6.907755278982137,6.907755278982137,7.600902459542082,-0.6931471805599454,0.0
513,Cottbus,Germany,51.72,14.35,75,river north sea,True,True,1000.0,1000.0,2000.0,3000.0,4000.0,1,0,0,0,0,1,0,6.907755278982137,6.907755278982137,7.600902459542082,8.006367567650246,8.294049640102028,0.6931471805599454,0.4054651081081637
522,Cronenberg,Germany,51.2,7.13,100,river north sea,True,True,1000.0,2000.0,1000.0,2000.0,2000.0,1,0,0,0,0,1,0,6.907755278982137,7.600902459542082,6.907755278982137,7.600902459542082,7.600902459542082,-0.6931471805599454,0.6931471805599454
535,Darmstadt,Germany,49.88,8.67,144,land north sea,True,True,1000.0,2000.0,1000.0,1000.0,2000.0,0,0,1,0,0,1,0,6.907755278982137,7.600902459542082,6.907755278982137,6.907755278982137,7.600902459542082,-0.6931471805599454,0.0
