id,cid,lat,lon,match_dist_km,city,country,closeness,betw_topo,node_idx
2705,776.0,53.793417,12.176656,0.8525961113353805,Guestrow,Germany,0.002887950165432059,6.0,179
8345,2172.0,51.656806,6.611749,1.9331341840104332,Wesel,Germany,0.00335011845842861,0.0,180
8505,2189.0,53.891371,11.466215,1.2885031016582942,Wismar,Germany,0.0032430636119986944,18.0,181
8580,2192.0,52.162024,10.53611,0.9799184091082164,Wolfenbuettel,Germany,0.0036273616575470354,2280.0,182
8597,2194.0,53.843763,14.615364,0.5172914601757141,Wolin,Poland,0.0030701670823012656,0.0,183
8763,2229.0,51.966935,12.084514,1.114294588170872,Zerbst,Germany,0.003412816645474608,0.0,184
8807,2235.0,50.896066,14.805737,1.7569174793424518,Zittau,Germany,0.002460904003889667,0.0,185
8853,2246.0,52.141452,6.195327,1.3127387626491362,Zutphen,Netherlands,0.0034656974162974616,0.0,186
8862,2248.0,50.717666,12.497177,1.8283818439848,Zwickau,Germany,0.002672864186805067,246.0,187
8901,2139.0,51.442123,3.572776,1.438020707031687,Vlissingen,Netherlands,0.0030844830575508992,0.0,188
9608,1595.0,56.460725,10.036703,1.3156145847832148,Randers,Denmark,0.001628645777729113,0.0,189
258,82.0,53.855504,13.687515,0.7858265475395948,Anklam,Germany,0.002998703547084438,96.0,190
1537,1934.0,58.38012,26.72255,5.590019107107951,Tartu,Estonia,0.0008547052045579945,2820.0,191
10539,1390.0,55.39671761,10.38945241,0.6996145419345271,Odense,Denmark,0.002012582646579333,10.0,192
5889,1519.0,58.385892,24.49835,0.6621840246799254,Pjarnu,Estonia,0.0009209097500635053,468.0,193
1190,447.0,50.832427,12.919155,0.2763186147880209,Chemnitz,Germany,0.0026640290037467846,344.0,194
10688,1108.0,55.703052,13.193,0.8824324482509533,Lund,Sweden,0.0014660745646287528,0.0,195
10690,1964.0,54.316276,8.940776,0.8123734986770996,Toenning,Germany,0.003007805174534513,0.0,196
10691,733.0,53.788096,9.423902,0.9360233619921035,Glueckstadt,Germany,0.0038700819239855335,0.0,197
10692,979.0,53.836629,9.489845,0.9801484691459604,Krempe,Germany,0.003841052915829653,0.0,198
8379,2176.0,50.554355,8.501117,3.487398429442801,Wetzlar,Germany,0.0027916557711456444,6.0,199
1988,681.0,52.344244,14.553598,1.6026163421905029,Frankfurt am Oder,Germany,0.0031792280589490805,0.0,200
12427,848.0,50.892455,11.60712,4.5874274446627785,Iena,Germany,0.002986849699917548,0.0,201
14545,945.0,55.672475,12.591232,5.33121701839223,Kobenhaven,Denmark,0.0015251156101827844,0.0,202
72,3.0,56.157091,10.209522,1.5752169622534251,Aarhus,Denmark,0.0017331801026568897,0.0,203
11913,739.0,51.504595,3.890265,0.8456391595234387,Goes,Netherlands,0.0031409687240439637,0.0,204
11915,2233.0,51.649648,3.921261,2.1864932354417297,Zierikzee,Netherlands,0.0031592574688558647,0.0,205
11918,815.0,51.478951,5.655727,0.9952886959199394,Helmond,Netherlands,0.002899846804788995,0.0,206
2409,762.0,54.09608,13.380983,1.789165928223992,Greifswald,Germany,0.002710810404485334,0.0,207
7714,1952.0,51.887521,5.437217,1.822431669376158,Tiel,Netherlands,0.003372925668810352,0.0,208
11654,817.0,56.035001,12.613781,1.9484407240345212,Helsingor,Denmark,0.001445366274648416,0.0,209
6104,1561.0,53.313374,13.858617,1.055740656380369,Prenzlau,Germany,0.002919147993449569,0.0,210
973,300.0,53.075887,8.807392,0.6730337351328549,Bremen,Germany,0.003852216260560468,0.0,211
186,61.0,50.985257,12.433309,0.6287762190467358,Altenburg,Germany,0.0028867104838381148,1000.0,212
18125,1548.0,61.488816,21.793522,1.2150000668530327,Pori,Finland,0.0005129527089133179,0.0,213
3280,843.0,54.476851,9.051543,0.7682936780064942,Husum,Germany,0.0028812325460781476,456.0,214
11709,1646.0,55.64106,12.080362,0.9943435043897296,Roskilde,Denmark,0.0016205314179779694,1900.0,215
4604,1103.0,53.865911,10.685259,1.0989419948583898,Luebeck,Germany,0.0036691632806618367,0.0,216
10698,1135.0,55.606106,13.00055,0.6798356196411135,Malmoe,Sweden,0.0015113605877839584,480.0,217
8902,1621.0,55.328145,8.762129,2.480620058116162,Ribe,Denmark,0.0021422677382612818,0.0,218
1813,626.0,52.220592,6.895297,1.04412592348457,Enschede,Netherlands,0.003220439950263339,0.0,219
8752,2225.0,51.050307,12.134652,0.3269694264333549,Zeitz,Germany,0.002992843634484847,892.0,220
19786,818.0,60.167539,24.952033,4.946892254657348,Helsinki,Finland,0.0005720149076288487,0.0,221
10547,2167.0,50.980945,11.329398,0.6662621690444112,Weimar,Germany,0.0031103025297017956,862.0,222
18126,1440.0,65.015355,25.472386,0.5285157745030714,Oulu,Finland,0.00047988555989480277,0.0,223
8009,2153.0,60.713025,28.732889,1.456819868182002,Vyborg,Russia,0.0006777355462739808,1428.0,224
6477,1637.0,51.195619,5.985689,1.1098013478410125,Roermond,Netherlands,0.0030825534312944763,0.0,225
17574,1433.0,51.232106,2.917664,1.3559206988647732,Ostende,Belgium,0.002978602880810464,0.0,226
2313,738.0,51.15621,14.990651,0.6920126170346902,Goerlitz,Germany,0.0025165579114370755,190.0,227
7461,1886.0,54.316002,13.090474,2.6018588199976254,Stralsund,Germany,0.0025599277323312647,0.0,228
5165,1310.0,51.152263,11.809909,0.7355272669196778,Naumburg,Germany,0.003139150141002864,1008.0,229
18118,2019.0,60.450667,22.275951,1.4250568852970904,Turku,Finland,0.0005213181995999487,0.0,230
4850,1181.0,50.567664,10.415375,0.41733318214237736,Meiningen,Germany,0.002846875186674986,330.0,231
7529,1895.0,50.610377,10.693252,2.1694750560913887,Suhl,Germany,0.0028194108149684283,30.0,232
4329,1035.0,52.158439,4.490032,1.1588805708045327,Leiden,Netherlands,0.0032109702575560763,216.0,233
4698,1118.0,50.85125,5.690547,2.936029573194947,Maastricht,Netherlands,0.00295657248319253,6.0,234
4653,1104.0,53.24995,10.40887,0.7405085729864247,Lueneburg,Germany,0.003761069183951157,462.0,235
14202,261.0,51.481156,7.133099,3.8810971495299236,Bochum,Germany,0.003057445057401214,8.0,236
17570,1336.0,51.129463,2.751689,0.13212378170272762,Nieuwpoort,Belgium,0.002954059397952571,0.0,237
17573,1546.0,50.855548,2.727131,0.7944613321879391,Poperinge,Belgium,0.002878347405310241,0.0,238
17578,714.0,50.771503,3.882894,0.9220120370786868,Geraardsbergen,Belgium,0.0027627873573202308,0.0,239
17612,2086.0,51.072294,2.662111,0.6073653412158846,Veurne,Belgium,0.0029391911348867236,0.0,240
17622,588.0,51.037632,2.377102,1.4621435792054944,Dunkerque,France,0.002899013772415101,0.0,241
17630,489.0,50.765278,3.006602,1.0786634940891684,Comines,France,0.0028383718310051225,0.0,242
