city_id,year,old_terr,new_terr,old_type,new_type,type_change,foreign_rule
7032,1350,1F0001,W400,noble,noble,0,
7032,1351,W400,0B0082,noble,noble,0,
7032,1370,0B0082,L339,noble,noble,9,B316
7032,1437,L339,H010,noble,noble,3,B316
7032,1457,H010,0P0046,noble,noble,3,B316
7032,1471,0P0046,0J0012,noble,noble,3,U034
7032,1479,0J0012,0H0071,noble,noble,3,B316
7032,1490,0H0071,W2890,noble,unknown,3,
7032,1521,W2890,0J0012,unknown,noble,0,B316
7032,1525,0J0012,H0101,noble,noble,0,B316
7032,1558,H0101,0P0013,noble,noble,5,
7032,1765,0P0013,A060,noble,noble,0,
7033,1445,C113,B3741,noble,noble,5,
7033,1471,B3741,A1620,noble,unknown,3,
7033,1486,A1620,B3742,unknown,noble,11,
7033,1535,B3742,0K0033,noble,noble,11,
7033,1571,0K0033,B3742,noble,noble,3,
7034,1319,B374,P0871,noble,noble,0,P121
7034,1367,P0871,L339,noble,noble,0,B316
7034,1437,L339,H010,noble,noble,3,B316
7034,1457,H010,0P0046,noble,noble,3,B316
7034,1471,0P0046,0J0012,noble,noble,0,B316
7034,1525,0J0012,H0101,noble,noble,0,B316
7034,1619,H0101,H0103,noble,noble,0,B316
7034,1742,H0103,B3742,noble,noble,0,
7035,1635,M010,A060,church,noble,7,
7035,1657,A060,S047,noble,noble,11,
7035,1746,S047,A060,noble,noble,3,
7036,1304,W2890,B374,unknown,noble,5,
7036,1320,B374,W400,noble,noble,3,
7036,1348,W400,1F0001,noble,noble,0,
7036,1350,1F0001,W400,noble,noble,0,
7036,1351,W400,0B0082,noble,noble,0,
7036,1370,0B0082,L339,noble,noble,9,B316
7036,1437,L339,H010,noble,noble,3,B316
7036,1457,H010,0P0046,noble,noble,3,B316
7036,1471,0P0046,0J0012,noble,noble,3,U034
7036,1479,0J0012,0H0071,noble,noble,3,B316
7036,1490,0H0071,0J0012,noble,noble,3,B316
7036,1525,0J0012,H0101,noble,noble,0,B316
7036,1619,H0101,H0103,noble,noble,0,B316
