terr_id,terr_name,ruler_type,subtype
L184,Lichtenberg(Württemberg) (Herrschaft),noble,lordship
L185,Lichtenberg(Oberfranken) (Herrschaft),noble,lordship
L186,Lichtenberg(Elsass) (Herrschaft; Grafschaft),noble,county
L187,Lichtenberg (Reichsritter),noble,knight_lord
L188,Lichteneck,noble,family_line
L189,Lichtenstein(Sachsen) (Herrschaft),noble,lordship
L190,Lichtenstein(Franken) (Reichsritter),noble,knight_lord
L191,Lichtenstein zu Geiersberg,noble,family_line
L192,Lichtental,noble,family_line
L193,Lidbekega,noble,family_line
L194,Liebburg,noble,family_line
L195,Liebenfels,noble,family_line
L196,Liebenscheid,noble,family_line
L197,Liebenstein(Württemberg) (Freiherren; Reichsritter),noble,knight_lord
L198,Liebenstein(Hessen) (Ganerbschaft),noble,family_line
L199,Lieberose,noble,family_line
L200,Liechteneck; Lichteneck,noble,family_line
L201,Liechtenstein (Fürstentum),noble,principality
L202,Liechtenstein (Reichsritter),noble,knight_lord
L203,Liegnitz,noble,family_line
L204,Liemerska,noble,family_line
L205,Liental,noble,family_line
L206,Lienzina,noble,family_line
L207,Lierheim,noble,family_line
L208,Liesch von Hornau,noble,family_line
L209,Liesgau,noble,family_line
L210,Liezizi,noble,family_line
L211,Ligne,noble,family_line
L212,Lijmers,noble,family_line
L213,Limburg(Westfalen) (Grafschaft),noble,county
L214,Limburg(Belgien) (Herzogtum; Provinz),noble,duchy
L215,Limburg(Niederlande) (Provinz) (=L214 Limburg (Herzogtum; Provinz)),noble,duchy
L216,Limburg an der Lahn,noble,family_line
L217,Limburg-Gemen,noble,family_line
L218,Limburg-Styrum,noble,family_line
L219,Limga,noble,family_line
L220,Limpurg,noble,family_line
L221,Limpurg-Gaildorf,noble,family_line
L222,Limpurg-Gaildorf-Schmiedelfeld,noble,family_line
L223,Limpurg-Sontheim,noble,family_line
L224,Limpurg-Speckfeld,noble,family_line
L225,Linagga,noble,family_line
L226,Linck von Kirchheim,noble,family_line
L227,Lindach,noble,family_line
L228,Lindau (Fürstentum),noble,principality
L229,Lindau(Anhalt) (Grafschaft),noble,county
L230,Lindau (Reichskloster; Reichsstift),church,monastery_chapter
L231,Lindau (Reichsstadt),self,imperial_city
L232,Lindelbach,noble,family_line
L233,Linden,noble,family_line
L234,Lindenfels (Reichsritter),noble,knight_lord
L235,Lindenfels (=M727 Mosbach von Lindenfels)),noble,family_line
L236,Lindenhorst,noble,family_line
L237,Lindheim,noble,family_line
L239,Lingen,noble,family_line
L240,Linz,noble,family_line
L241,Linzgau,noble,family_line
L242,Lipani,noble,family_line
L243,Lippe(-Detmold; Hauptlinie),noble,family_line
L244,Lippe-Alverdissen,noble,family_line
L245,Lippe-Biesterfeld,noble,family_line
L246,Lippe-Brake,noble,family_line
L247,Lippe-Bückeburg,noble,family_line
L248,Lippe-Detmold,noble,family_line
L249,Lippehne,noble,family_line
L250,Lippe-Schaumburg,noble,family_line
L251,Lisberg,noble,family_line
L252,Liska,noble,family_line
L253,Lissberg (Herrschaft),noble,lordship
L254,Lissberg (Reichsritter),noble,knight_lord
L255,Listrogouwe Lysgau,noble,family_line
L256,Litauen,noble,family_line
L257,Litorale,noble,family_line
L258,Litschau,noble,family_line
L259,Littwag; Ledwacher,noble,family_line
L260,Liubana,noble,family_line
L261,Liudolfinger,noble,family_line
