cid,city,country,lat,lon,in_hre,in_cne,city_id,name_loc
847,Ibbenbueren,Germany,52.27,7.72,True,True,13082,Ibbenbueren
848,Iena,Germany,50.93,11.58,True,True,10039,Jena
857,Ingolstadt,Germany,48.77,11.45,True,True,23063,Ingolstadt
863,Iserlohn,Germany,51.37,7.68,True,True,13083,Iserlohn
884,Jelenia Gora,Poland,50.92,15.75,False,True,8051,Hirschberg im Riesengebirge
893,Kaiserslautern,Germany,49.43,7.77,True,True,18039,Kaiserslautern
895,Kaliningrad,Russia,54.72,20.5,False,False,1036,Koenigsberg Pr.
908,Karlsruhe,Germany,49.0,8.4,True,True,20017,Karlsruhe
910,Kassel,Germany,51.32,9.48,True,True,15075,Kassel
912,Kaufbeuren,Germany,47.88,10.62,True,True,23064,Kaufbeuren
917,Kempten,Germany,47.72,10.32,True,True,23067,Kempten (Allgaeu)
927,Kiel,Germany,54.33,10.13,True,True,5023,Kiel
942,Kleve,Germany,51.8,6.18,True,True,14059,Kleve
943,Klodzko,Poland,50.45,16.65,False,True,8031,Glatz
946,Koblenz,Germany,50.35,7.58,True,True,18045,Koblenz
947,Koeln,Germany,50.92,6.95,True,True,14060,Koeln
948,Koenigswinter,Germany,50.67,7.18,True,True,14064,Koenigswinter
950,Koethen,Germany,51.75,11.97,True,True,11081,Koethen
952,Kolobrzeg,Poland,54.2,15.55,False,True,3030,Kolberg
957,Konstanz,Germany,47.67,9.17,True,True,21037,Konstanz
967,Koszalin,Poland,54.18,16.18,False,True,3029,Koeslin
979,Krempe,Germany,53.83,9.48,True,True,5024,Krempe
993,Kwidzyn,Poland,53.75,18.93,False,True,1045,Marienwerder
1000,Lahr,Germany,48.4,7.87,True,True,21039,Lahr
1005,Landau,Germany,49.2,8.12,True,True,18051,Landau
1006,Landshut,Germany,48.52,12.17,True,True,23074,Landshut
1007,Langensalza,Germany,51.12,10.67,True,True,11084,Langensalza
1014,Lauingen,Germany,48.57,10.42,True,True,23076,Lauingen (Donau)
1030,Leer,Germany,53.23,7.43,True,True,12071,Leer
1033,Legnica,Poland,51.22,16.15,False,True,8082,Liegnitz
1036,Leipzig,Germany,51.32,12.37,True,True,9070,Leipzig
1047,Leverkusen,Germany,51.03,6.98,True,True,14070,Leverkusen
1069,Lippstadt,Germany,51.67,8.32,True,True,13094,Lippstadt
1096,Luban,Poland,51.13,15.3,False,True,8075,Lauban
1101,Ludwigsburg,Germany,48.88,9.18,True,True,16053,Ludwigsburg
1102,Ludwigshafen,Germany,49.48,8.45,True,True,18055,Ludwigshafen
1103,Luebeck,Germany,53.87,10.67,True,True,5026,Luebeck
1104,Lueneburg,Germany,53.25,10.42,True,True,12076,Lueneburg
1124,Magdeburg,Germany,52.12,11.63,True,True,11094,Magdeburg
1129,Mainz,Germany,50.02,8.27,True,True,18058,Mainz
