city_id,name,lat,lon,legal_capacity_score_1250,legal_capacity_score_1300,legal_capacity_score_1350,legal_capacity_score_1400,legal_capacity_score_1450,legal_capacity_score_1500,merchant_capital_score_1250,merchant_capital_score_1300,merchant_capital_score_1350,merchant_capital_score_1400,merchant_capital_score_1450,merchant_capital_score_1500,noble_extraction_score_1250,noble_extraction_score_1300,noble_extraction_score_1350,noble_extraction_score_1400,noble_extraction_score_1450,noble_extraction_score_1500,imputed_1250,imputed_1300,imputed_1350,imputed_1400,imputed_1450,imputed_1500,peasant_mobility_score_1250,peasant_mobility_score_1300,peasant_mobility_score_1350,peasant_mobility_score_1400,peasant_mobility_score_1450,peasant_mobility_score_1500
22001,Abenberg,49.24139,10.963333,1,1,2,2,2,2,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,1,1,2,2,2,2
22002,Allersberg,49.251389,11.236389,1,1,2,2,2,2,0,0,1,1,1,1,1,1,1,1,1,2,True,True,True,True,True,True,1,1,2,2,2,1
22003,Altdorf,49.385834,11.355278,1,1,1,2,3,3,0,0,0,1,1,1,1,1,1,3,2,2,True,True,True,True,True,True,1,1,1,1,1,1
22004,Alzenau,50.086666,9.0716667,1,1,1,1,2,2,0,0,0,0,1,1,1,1,1,2,1,1,True,True,True,True,True,True,1,1,1,1,2,2
22005,Amorbach,49.644444,9.2180557,3,2,2,2,2,3,1,1,1,1,1,1,0,1,1,1,1,1,True,True,True,True,True,True,2,2,2,2,2,2
22006,Ansbach,49.302502,10.571667,1,1,1,1,2,2,0,0,0,0,1,1,1,1,2,2,1,2,True,True,True,True,True,True,1,1,1,1,2,1
22007,Arnstein,49.978611,9.9666662,1,2,2,2,2,2,0,0,1,1,1,1,1,1,1,1,1,1,True,True,True,True,True,True,1,2,2,2,2,2
22008,Arzberg,50.056946,12.185278,0,1,1,1,2,2,0,0,0,0,0,0,1,1,1,1,2,2,True,True,True,True,True,True,0,1,1,1,1,1
22009,Aschaffenburg,49.973331,9.1477776,2,2,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,True,True,True,True,True,True,2,2,2,2,2,2
22010,Aub,49.551666,10.064167,1,1,1,1,2,2,0,0,0,0,1,1,1,1,1,2,1,1,True,True,True,True,True,True,1,1,1,1,2,2
22011,Bad Berneck i. Fichtelgeb.,50.04361,11.666945,1,1,2,3,3,3,1,1,1,1,1,1,1,1,2,1,2,2,True,True,True,True,True,True,1,1,1,2,1,1
22012,Bad Kissingen,50.199722,10.078889,2,2,2,2,2,2,0,0,1,1,1,1,1,1,2,2,1,1,True,True,True,True,True,True,2,2,1,1,2,2
22013,Bad Neustadt a. d. Saale,50.322777,10.215555,2,2,2,2,2,2,0,0,0,0,1,1,1,1,1,1,1,1,True,True,True,True,True,True,2,2,2,2,2,2
22014,Bad Windsheim,49.502499,10.416945,1,1,2,3,3,3,0,0,0,1,1,1,1,1,1,0,0,0,True,True,True,True,True,True,1,1,2,2,2,2
22015,Baiersdorf,49.656944,11.031111,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,2,2,True,True,True,True,True,True,1,1,1,1,1,1
22016,Bamberg,49.893612,10.886111,1,1,2,3,3,3,1,1,2,2,2,2,2,2,2,2,2,2,True,True,True,True,True,True,1,1,1,1,1,1
22017,Baunach,49.988056,10.85,1,1,2,2,2,2,0,0,1,1,1,1,1,1,1,2,1,1,True,True,True,True,True,True,1,1,2,1,2,2
22018,Bayreuth,49.943333,11.577778,2,2,2,3,3,3,0,0,0,1,1,1,1,1,1,1,2,2,True,True,True,True,True,True,2,2,2,2,1,1
22019,Betzenstein,49.68222,11.418056,1,1,1,2,2,2,0,0,0,0,0,0,1,1,1,1,2,2,True,True,True,True,True,True,1,1,1,2,1,1
22020,Bischofsheim a. d. Rhoen,50.400833,10.009167,0,1,1,1,1,2,0,0,0,0,0,1,1,1,1,2,1,1,True,True,True,True,True,True,0,1,1,1,1,2
22021,Brueckenau,50.310276,9.790556,0,1,2,2,2,2,0,0,0,0,0,1,1,1,1,1,1,1,True,True,True,True,True,True,0,1,2,2,2,2
22022,Burgbernheim,49.450279,10.324445,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,2,2,True,True,True,True,True,True,1,1,1,1,1,1
22023,Burgkunstadt,50.141109,11.251667,1,1,2,2,2,2,0,0,0,0,1,1,1,1,1,1,1,1,True,True,True,True,True,True,1,1,2,2,2,2
22024,Coburg,50.259167,10.96,1,1,2,2,3,3,0,0,0,0,1,1,1,1,2,1,1,1,True,True,True,True,True,True,1,1,1,2,2,2
22025,Creussen,49.844166,11.624444,1,1,1,2,2,3,0,0,0,0,0,0,1,1,1,1,2,2,True,True,True,True,True,True,1,1,1,2,1,1
22026,Dettelbach,49.801388,10.160277,1,1,1,1,1,2,0,0,0,0,0,1,1,1,1,1,1,1,True,True,True,True,True,True,1,1,1,1,1,2
22027,Dinkelsbuehl,49.068611,10.32,1,3,3,3,3,3,0,1,1,2,2,2,1,0,0,0,0,0,True,True,True,True,True,True,1,2,2,3,3,3
22028,Ebermannstadt,49.779167,11.184722,1,1,2,2,2,2,0,0,0,0,0,0,1,1,2,1,1,1,True,True,True,True,True,True,1,1,1,2,2,2
22029,Ebern,50.098331,10.794723,1,1,2,2,2,2,0,0,0,1,1,1,1,1,1,1,1,1,True,True,True,True,True,True,1,1,2,2,2,2
22030,Ebrach,49.847778,10.497222,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,True,True,True,True,True,True,1,1,1,1,1,1
