city_id,name,lat,lon,nodesid,lat_band_1250,lat_band_1300,lat_band_1350,lat_band_1400,lat_band_1450,lat_band_1500,dist_river_km_1250,dist_river_km_1300,dist_river_km_1350,dist_river_km_1400,dist_river_km_1450,dist_river_km_1500,elev_m_1250,elev_m_1300,elev_m_1350,elev_m_1400,elev_m_1450,elev_m_1500,population_1250,population_1300,population_1350,population_1400,population_1450,population_1500,pop_growth_50yr_1250,pop_growth_50yr_1300,pop_growth_50yr_1350,pop_growth_50yr_1400,pop_growth_50yr_1450,pop_growth_50yr_1500,agricultural_surplus_score_1250,agricultural_surplus_score_1300,agricultural_surplus_score_1350,agricultural_surplus_score_1400,agricultural_surplus_score_1450,agricultural_surplus_score_1500
14037,Bad Godesberg,50.685555,7.1527777,,middle,middle,middle,middle,middle,middle,2.1,2.1,2.1,2.1,2.1,2.1,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
14038,Grevenbroich,51.09111,6.5830555,2420.0,middle,middle,middle,middle,middle,middle,14.4,14.4,14.4,14.4,14.4,14.4,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
14039,Gummersbach,51.026943,7.5677776,,middle,middle,middle,middle,middle,middle,40.4,40.4,40.4,40.4,40.4,40.4,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14040,Haan,51.192223,7.0105557,,middle,middle,middle,middle,middle,middle,15.8,15.8,15.8,15.8,15.8,15.8,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14041,Heiligenhaus,51.325832,6.9663887,,middle,middle,middle,middle,middle,middle,9.2,9.2,9.2,9.2,9.2,9.2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
14042,Heinsberg,51.038612,8.1502781,,middle,middle,middle,middle,middle,middle,75.7,75.7,75.7,75.7,75.7,75.7,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14043,Herzogenrath,50.865555,6.0891666,3018.0,middle,middle,middle,middle,middle,middle,27.0,27.0,27.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14044,Hilden,51.168056,6.9336109,,middle,middle,middle,middle,middle,middle,10.1,10.1,10.1,10.1,10.1,10.1,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
14045,Hitdorf,51.060555,6.9183335,,middle,middle,middle,middle,middle,middle,3.5,3.5,3.5,3.5,3.5,3.5,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
14046,Homberg,51.450554,6.7091665,,middle,middle,middle,middle,middle,middle,2.8,2.8,2.8,2.8,2.8,2.8,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
14047,Bad Honnef,50.643333,7.228889,,middle,middle,middle,middle,middle,middle,2.2,2.2,2.2,2.2,2.2,2.2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
14048,Hueckeswagen,51.148335,7.334722,,middle,middle,middle,middle,middle,middle,32.6,32.6,32.6,32.6,32.6,32.6,308.0,308.0,308.0,308.0,308.0,308.0,1500.0,2000.0,1500.0,1000.0,1500.0,2000.0,1.5,1.333,0.75,0.667,1.5,1.333,0,0,0,0,0,0
14049,Isselburg,51.830833,6.4655557,,north,north,north,north,north,north,4.6,4.6,4.6,4.6,4.6,4.6,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
14050,Juelich,50.922501,6.3575001,,middle,middle,middle,middle,middle,middle,38.8,38.8,38.8,38.8,38.8,38.8,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14051,Kaldenkirchen,51.319721,6.1980557,10587.0,middle,middle,middle,middle,middle,middle,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
14052,Kalkar,51.737221,6.2874999,,north,north,north,north,north,north,2.7,2.7,2.7,2.7,2.7,2.7,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
14053,Kamp-Lintfort,51.503056,6.5447221,,north,north,north,north,north,north,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
14054,Kaster,51.005833,6.5505557,,middle,middle,middle,middle,middle,middle,23.9,23.9,23.9,23.9,23.9,23.9,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14055,Kempen,51.364445,6.418611,,middle,middle,middle,middle,middle,middle,18.3,18.3,18.3,18.3,18.3,18.3,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14056,Kerpen,50.86972,6.6947222,,middle,middle,middle,middle,middle,middle,23.2,23.2,23.2,23.2,23.2,23.2,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14057,Kettwig,51.365276,6.9436111,,middle,middle,middle,middle,middle,middle,4.6,4.6,4.6,4.6,4.6,4.6,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
14058,Kevelaer,51.581665,6.2469444,,north,north,north,north,north,north,12.4,12.4,12.4,12.4,12.4,12.4,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
14059,Kleve,51.787777,6.1386113,,north,north,north,north,north,north,4.7,4.7,4.7,4.7,4.7,4.7,12.0,12.0,12.0,12.0,12.0,12.0,2000.0,2000.0,1500.0,1000.0,2500.0,4000.0,1.0,1.0,0.75,0.667,2.5,1.6,1,1,1,1,1,2
14060,Koeln,50.938057,6.9569445,3888.0,middle,middle,middle,middle,middle,middle,10.8,10.8,10.8,10.8,10.8,10.8,46.0,46.0,46.0,46.0,46.0,46.0,42000.0,44000.0,42000.0,40000.0,42500.0,45000.0,1.05,1.048,0.955,0.952,1.062,1.059,3,3,3,3,3,3
14061,Koeln-Deutz,50.934723,6.9877777,,middle,middle,middle,middle,middle,middle,9.9,9.9,9.9,9.9,9.9,9.9,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
14062,Koeln-Kalk,50.94278,7.0063887,,middle,middle,middle,middle,middle,middle,10.6,10.6,10.6,10.6,10.6,10.6,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
14063,Koeln-Muelheim,50.961113,6.9994445,,middle,middle,middle,middle,middle,middle,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
14064,Koenigswinter,50.676666,7.1913891,,middle,middle,middle,middle,middle,middle,4.2,4.2,4.2,4.2,4.2,4.2,80.0,80.0,80.0,80.0,80.0,80.0,2500.0,3000.0,3000.0,3000.0,2500.0,2000.0,1.25,1.2,1.0,1.0,0.833,0.8,2,2,2,2,2,2
14065,Krefeld,51.3325,6.5608335,,middle,middle,middle,middle,middle,middle,9.2,9.2,9.2,9.2,9.2,9.2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
14066,Langenberg (Rheinland),51.351112,7.1197224,,middle,middle,middle,middle,middle,middle,14.0,14.0,14.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
14067,Langenfeld,51.110001,6.9488888,,middle,middle,middle,middle,middle,middle,9.4,9.4,9.4,9.4,9.4,9.4,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
14068,Lechenich,50.799999,6.7647223,,middle,middle,middle,middle,middle,middle,19.2,19.2,19.2,19.2,19.2,19.2,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
14069,Leichlingen,51.105835,7.0141668,,middle,middle,middle,middle,middle,middle,11.3,11.3,11.3,11.3,11.3,11.3,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
