city_id,name,lat,lon,year,trade_access_continuous,trade_access_score,distance_river_km,distance_road_km,distance_fair_km,num_fairs_50km,has_own_staple,on_trade_route,trade_access_source
11156,Treffurt,51.136944,10.23,1500,4.3569,2,10.442,2.482,17.421,16,0,1,viabundus
10012,Buttelstedt,51.075554,11.344722,1500,4.3563,2,66.268,0.026,7.084,28,0,1,viabundus
10052,Magdala,50.906666,11.447778,1600,4.3563,2,76.93,0.735,10.083,29,0,1,viabundus
10052,Magdala,50.906666,11.447778,1650,4.3563,2,76.93,0.735,10.083,29,0,1,viabundus
10039,Jena,50.93,11.591666,1500,4.3555,3,67.445,0.049,0.0,28,0,1,viabundus
12062,Hildesheim,52.152779,9.9513893,1450,4.3555,2,32.109,0.048,0.0,28,0,1,viabundus
13012,Bevergern,52.272499,7.5819445,1450,4.3554,2,9.601,4.314,9.708,17,0,1,viabundus
11074,Kelbra,51.435555,11.041389,1550,4.3554,2,53.296,0.051,0.0,28,0,1,viabundus
10017,Dornburg,51.00639,11.665277,1500,4.3549,2,57.607,0.067,5.727,28,0,1,viabundus
10014,Camburg,51.053612,11.711389,1500,4.3546,2,52.953,0.075,0.15,28,0,1,viabundus
15114,Rotenburg a. d. Fulda,50.996387,9.7244444,1550,4.354,2,3.505,0.108,35.858,11,0,1,viabundus
15114,Rotenburg a. d. Fulda,50.996387,9.7244444,1600,4.354,2,3.505,0.108,35.858,11,0,1,viabundus
10079,Sondershausen,51.370277,10.869722,1600,4.3539,2,56.803,0.098,8.449,28,0,1,viabundus
13008,Barntrup,51.990002,9.1158333,1400,4.3537,2,20.241,0.154,14.933,20,0,1,viabundus
10038,Ilmenau,50.685833,10.915556,1600,4.3534,2,79.118,0.11,17.777,28,0,1,viabundus
10028,Gotha,50.948612,10.703333,1550,4.353,2,48.984,0.122,21.167,28,0,1,viabundus
11123,Sandersleben,51.676388,11.5675,1450,4.3526,2,8.401,1.41,16.572,14,0,1,viabundus
10098,Weimar,50.980556,11.329722,1600,4.3525,2,76.128,0.138,0.0,28,0,1,viabundus
10098,Weimar,50.980556,11.329722,1650,4.3525,2,76.128,0.138,0.0,28,0,1,viabundus
10064,Plaue,50.778889,10.898056,1600,4.3522,2,71.391,3.489,23.615,33,0,1,viabundus
11037,Ellrich,51.587502,10.665556,1550,4.3513,2,43.403,0.174,13.065,28,0,1,viabundus
13002,Ahlen,51.762779,7.8897223,1650,4.3512,2,19.793,4.204,20.797,24,0,1,viabundus
11006,Arneburg,52.675278,12.002222,1500,4.351,2,6.038,0.106,15.111,12,0,1,viabundus
11039,Erfurt,50.976944,11.027223,1550,4.3508,2,69.548,0.188,1.326,28,0,1,viabundus
10022,Bad Frankenhausen,51.354443,11.104722,1500,4.3503,2,55.587,0.204,9.531,28,0,1,viabundus
10003,Apolda,51.025276,11.517222,1500,4.3503,2,66.573,0.916,11.468,29,0,1,viabundus
10011,Buergel,50.942223,11.759167,1550,4.3501,2,57.259,0.209,11.756,28,0,1,viabundus
10089,Teichel,50.786667,11.311944,1600,4.3498,2,92.382,0.218,21.688,28,0,1,viabundus
10089,Teichel,50.786667,11.311944,1650,4.3498,2,92.382,0.218,21.688,28,0,1,viabundus
12037,Emden,53.370556,7.2058334,1500,4.3496,3,18.98,0.137,0.0,19,1,1,viabundus
14060,Koeln,50.938057,6.9569445,1500,4.3484,3,10.394,0.142,23.879,14,1,1,viabundus
14060,Koeln,50.938057,6.9569445,1550,4.3484,3,10.394,0.142,23.879,14,1,1,viabundus
11172,Zeitz,51.050278,12.134444,1650,4.3479,3,30.14,0.277,0.0,28,1,1,viabundus
