city_id,name,lat,lon,year,legal_capacity,merchant_capital,agricultural_surplus,peasant_mobility,noble_extraction,conflict_risk,trade_access,composite_raw,composite_0_3,nodesid
1069,Seeburg,53.976665,20.762501,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,
1070,Sensburg,53.866665,21.299999,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,
1071,Stuhm,53.921665,19.033611,1250,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.10000000000000009,0,7509.0
1072,Tapiau,54.650002,21.066668,1250,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.10000000000000009,0,
1073,Tiegenhof,54.216667,19.116667,1250,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.10000000000000009,0,
1074,Tilsit,55.083332,21.883333,1250,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.10000000000000009,0,7722.0
1075,Tolkemit,54.320278,19.514999,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,7739.0
1076,Treuburg,54.033333,22.5,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,
1077,Wartenburg,53.833332,20.683332,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,
1078,Wehlau,54.616665,21.216667,1250,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.10000000000000009,0,8253.0
1079,Willenberg,53.383335,20.950001,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,
1080,Wormditt,54.099998,20.133333,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,8615.0
1081,Zinten,54.450001,20.299999,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,
1082,Zoppot,54.433334,18.549999,1250,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4999999999999998,0,
2001,Anklam,53.855278,13.692778,1250,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4999999999999998,0,258.0
2002,Barth,54.36861,12.726389,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,448.0
2003,Bergen,54.418335,13.432777,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,14429.0
2004,Damgarten,54.255001,12.473333,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,1321.0
2005,Demmin,53.905277,13.038055,1250,3.0,0.0,1.0,2.0,1.0,0.0,0.0,4.1000000000000005,2,1385.0
2006,Franzburg,54.186943,12.8775,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,13942.0
2007,Gartz (Oder),53.208611,14.388611,1250,3.0,0.0,1.0,2.0,1.0,0.0,0.0,4.1000000000000005,2,2106.0
2008,Garz (Ruegen),54.316387,13.352222,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,14394.0
2009,Greifswald,54.095554,13.379444,1250,3.0,1.0,2.0,2.0,1.0,0.0,0.0,5.800000000000001,3,2409.0
2010,Grimmen,54.113056,13.043056,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,2431.0
2011,Guetzkow,53.9375,13.409445,1250,3.0,0.0,1.0,2.0,1.0,0.0,0.0,4.1000000000000005,2,13943.0
2012,Jarmen,53.923889,13.34,1250,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.10000000000000009,0,13944.0
2013,Lassan,53.945557,13.845,1250,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4999999999999998,0,13945.0
2014,Loitz,53.97361,13.129444,1250,3.0,0.0,1.0,2.0,1.0,0.0,0.0,4.1000000000000005,2,4558.0
2015,Pasewalk,53.503887,13.997222,1250,3.0,0.0,1.0,2.0,1.0,0.0,0.0,4.1000000000000005,2,5844.0
2016,Penkun,53.297779,14.235556,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,13946.0
2017,Richtenberg,54.200554,12.89,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,6407.0
2018,Stralsund,54.313889,13.089723,1250,3.0,0.0,2.0,2.0,1.0,0.0,0.0,4.800000000000001,2,7461.0
2019,Treptow (Tollense),53.69278,13.250834,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,
2020,Tribsees,54.094444,12.757778,1250,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.4000000000000004,1,7810.0
2021,Ueckermuende,53.736389,14.046389,1250,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.4999999999999998,0,7885.0
2022,Usedom,53.87389,13.920278,1250,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.5,1,13947.0
2023,Wolgast,54.052776,13.774445,1250,3.0,1.0,0.0,2.0,1.0,0.0,0.0,4.4,2,8590.0
3001,Arnhausen,53.8325,15.939167,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,
3002,Arnswalde,53.166668,15.4,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,303.0
3003,Baerwalde,53.745277,16.35111,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,
3004,Bahn,53.099998,14.65,1250,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.8,0,16379.0
3005,Baldenburg,53.897499,16.834444,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,16395.0
3006,Belgard,54.0,15.983334,1250,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8,0,517.0
3007,Bublitz,53.950001,16.583334,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,16380.0
3008,Buetow,54.16861,17.491667,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,16381.0
3009,Daber,53.586666,15.309167,1250,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,0,16382.0
