city_id,name,lat,lon,town_from,town_to,ready,year,population,distance_river_km,distance_road_km,distance_fair_km,num_fairs_50km,num_fairs_100km,has_own_fair,own_fair_category,has_own_toll,has_own_staple,has_own_bridge,has_own_ferry,has_own_harbour,on_trade_route,trade_access_score,pop_rank_key,sort_key
296,Arnhem,51.978705,5.910977,1233,1650,,1300,2000.0,0.37,0.14,0.0,14,37,1,regional,0,0,0,0,0,1,3,2000.0,"(-2000.0, -37)"
2807,Harderwijk,52.350136,5.618408,1231,1650,,1300,2000.0,19.975,0.118,0.0,14,28,1,regional,0,0,0,0,0,1,3,2000.0,"(-2000.0, -28)"
8005,Verden,52.919986,9.22902,1259,1650,y,1300,2000.0,2.193,0.097,0.0,3,23,1,regional,1,0,0,0,0,1,3,2000.0,"(-2000.0, -23)"
7321,Stade,53.603069,9.476003,1209,1650,y,1300,2000.0,1.87,0.016,0.0,5,12,1,regional,1,1,0,0,1,1,3,2000.0,"(-2000.0, -12)"
8272,Weißenfels,51.201045,11.972454,1280,1650,y,1300,2000.0,29.727,0.072,20.225,5,10,0,,0,1,0,0,0,1,3,2000.0,"(-2000.0, -10)"
8752,Zeitz,51.050307,12.134652,1147,1650,y,1300,2000.0,30.14,0.277,0.0,5,7,1,local,0,1,0,0,0,1,3,2000.0,"(-2000.0, -7)"
1611,Duisburg,51.435337,6.760599,1145,1650,,1300,1000.0,0.646,0.081,17.632,14,39,0,,1,1,0,0,0,1,3,1000.0,"(-1000.0, -39)"
1865,Essen,51.456963,7.012649,1244,1650,,1300,1000.0,7.625,0.101,0.0,12,36,1,regional,0,0,0,0,0,1,3,1000.0,"(-1000.0, -36)"
5949,Pirna,50.962273,13.941934,1240,1650,,1300,1000.0,7.68,0.109,117.113,0,0,0,,1,1,0,0,0,1,3,1000.0,"(-1000.0, 0)"
839,Borken,51.844299,6.859231,1222,1650,,1300,,19.877,0.138,0.0,10,43,1,regional,0,0,0,0,0,1,3,-1.0,"(1.0, -43)"
1484,Doesburg,52.01499,6.134222,1237,1650,,1300,,0.089,0.129,0.0,13,40,1,regional,0,0,0,0,0,1,3,-1.0,"(1.0, -40)"
