city_id,name,lat,lon,year,lat_band,dist_river_km,elev_m,voronoi_area_km2,centuries_since_first_mention,population,pop_growth_50yr,agricultural_surplus_score,agricultural_surplus_continuous,nodesid
3072,Tempelburg,53.549999,16.233334,1250,north,93.5,,529.3,0.0,,,0,2.3094,7643.0
3073,Treptow (Rega),54.063889,15.266666,1250,north,86.6,,3763.0,0.7,,,0,3.3033,7806.0
3074,Tuetz,53.183334,16.15,1250,north,55.7,,349.1,0.0,,,0,2.1433,7858.0
3075,Wangerin,53.536945,15.5575,1250,north,70.2,,192.5,0.0,,,0,1.906,16392.0
3076,Werben (Pommern),53.233055,14.9125,1250,north,26.3,,299.8,0.3,,,0,2.3441,
3077,Woldenberg (Neumark),52.966667,15.75,1250,north,21.2,,339.2,0.0,,,0,2.367,8576.0
3078,Wollin,53.843334,14.615556,1250,north,38.0,10.0,594.8,1.1,1000.0,1.0,0,2.7104,8597.0
3079,Zachan,53.279446,15.318055,1250,north,51.1,,294.8,0.0,,,0,2.0759,
3080,Zanow,54.227779,16.291666,1250,north,151.4,,519.6,0.0,,,0,2.302,8709.0
4001,Boizenburg,53.374168,10.7225,1250,north,1.1,,329.3,0.8,,,1,2.8469,792.0
4002,Brueel,53.736946,11.713056,1250,north,23.5,,149.9,0.28,,,0,2.0968,1035.0
4003,Buetzow,53.8475,11.984445,1250,north,6.6,,332.1,0.79,,,1,2.7778,11825.0
4004,Crivitz,53.577778,11.648056,1250,north,10.0,,329.8,0.0,,,1,2.495,1258.0
4005,Bad Doberan,54.106667,11.899167,1250,north,18.4,,1741.2,0.79,,,0,3.2925,
4006,Doemitz,53.141666,11.248889,1250,north,0.2,,384.6,0.2,,,1,2.7396,12212.0
4007,Feldberg,53.335556,13.439722,1250,north,29.8,,262.8,0.0,,,0,2.1574,
4008,Friedland (Mecklenburg),53.669167,13.55,1250,north,25.1,,446.3,0.06,,,0,2.4458,2024.0
4009,Fuerstenberg/Havel,53.185276,13.144722,1250,north,38.9,,246.6,0.0,,,0,2.018,2051.0
4010,Gadebusch,53.701668,11.118333,1250,north,17.0,,282.4,0.96,,,0,2.6347,2065.0
4011,Gnoien,53.968887,12.71,1250,north,24.5,,249.0,0.12,,,0,2.2386,2248.0
4012,Goldberg (Mecklenburg),53.590832,12.088889,1250,north,33.8,,292.8,0.23,,,0,2.2202,13718.0
4013,Grabow,53.27861,11.564445,1250,north,5.5,,266.7,0.64,,,1,2.6597,2362.0
4014,Grevesmuehlen,53.864445,11.184722,1250,north,31.0,,672.9,0.2,,,0,2.5775,2423.0
4015,Guestrow,53.794445,12.175555,1250,north,13.8,13.0,250.9,0.24,1000.0,1.0,1,2.4109,2705.0
4016,Hagenow,53.431667,11.191667,1250,north,18.4,,462.2,0.6,,,0,2.7053,2743.0
4017,Krakow,53.652222,12.267777,1250,north,30.5,,333.1,0.0,,,0,2.2439,4017.0
4018,Kroepelin,54.070835,11.795834,1250,north,22.8,,503.8,0.64,,,0,2.6968,4079.0
4019,Laage,53.927223,12.346111,1250,north,17.0,,351.6,0.34,,,0,2.5358,4181.0
4020,Ludwigslust,53.325279,11.496944,1250,north,5.1,,301.0,0.0,,,1,2.5209,
4021,Luebz,53.462776,12.026389,1250,north,31.5,,276.0,0.0,,,0,2.1562,11483.0
4022,Malchin,53.739166,12.761945,1250,north,30.4,,200.8,0.14,,,0,2.0846,4723.0
4023,Malchow,53.474998,12.423333,1250,north,52.7,,338.7,1.03,,,0,2.4402,13719.0
4024,Marlow,54.154167,12.571111,1250,north,32.8,,173.8,0.4,,,0,2.0753,13720.0
4025,Mirow,53.274445,12.815278,1250,north,59.3,,387.2,0.24,,,0,2.2566,
4026,Neubrandenburg,53.55722,13.259722,1250,north,40.9,18.0,163.9,0.06,1500.0,1.5,0,1.86,5224.0
4027,Neubukow,54.031387,11.671389,1250,north,29.0,,713.1,0.0,,,0,2.5654,5227.0
4028,Neukalen,53.823055,12.790833,1250,north,22.9,,217.7,0.76,,,0,2.3969,5280.0
4029,Neustadt-Gleve,53.383057,11.585278,1250,north,5.8,,256.2,0.02,,,1,2.4533,5314.0
4030,Neustrelitz,53.362221,13.063334,1250,north,54.4,73.0,132.7,0.5,0.0,,0,1.9082,
4031,Parchim,53.425556,11.8475,1250,north,19.9,,445.9,0.25,,,0,2.5677,5831.0
4032,Penzlin,53.50528,13.088889,1250,north,48.1,,346.4,0.8,,,0,2.3802,13721.0
4033,Plau,53.459167,12.264444,1250,north,47.2,,226.4,0.25,,,0,2.0457,5968.0
4034,Rehna,53.779724,11.049444,1250,north,20.8,,197.7,0.2,,,0,2.2164,
4035,Ribnitz,54.242779,12.431666,1250,north,32.3,,2335.0,0.4,,,0,3.1188,6404.0
4036,Roebel,53.37611,12.605833,1250,north,65.5,,323.8,0.23,,,0,2.1823,6457.0
4037,Rostock,54.088333,12.135834,1250,north,8.5,14.0,706.1,0.9,6500.0,2.167,2,3.0886,6545.0
4038,Schoenberg (Mecklenburg),53.846943,10.934444,1250,north,15.0,,372.8,0.31,,,0,2.5747,
4039,Schwaan,53.939445,12.1125,1250,north,6.6,,223.2,0.8,,,1,2.6223,6989.0
4040,Schwerin,53.628334,11.414166,1250,north,5.7,38.0,520.9,2.32,2000.0,1.0,1,3.4277,7018.0
4041,Stargard in Mecklenburg,53.495277,13.31,1250,north,40.2,,281.1,0.14,,,0,2.0988,7342.0
4042,Stavenhagen,53.698891,12.908055,1250,north,28.9,,393.4,0.0,,,0,2.3297,13722.0
4043,Sternberg,53.711113,11.828055,1250,north,24.9,,308.6,0.12,,,0,2.3187,7411.0
4044,Strelitz,53.3325,13.092778,1250,north,52.7,,165.9,0.0,,,0,1.8469,7485.0
4045,Bad Suelze,54.109722,12.658889,1250,north,33.5,,150.6,0.21,,,0,1.9526,7543.0
4046,Tessin,54.02861,12.463056,1250,north,21.8,,295.8,0.0,,,0,2.3046,7669.0
4047,Teterow,53.773335,12.575833,1250,north,37.1,,444.8,0.79,,,0,2.5132,7671.0
4048,Waren,53.513054,12.686111,1250,north,53.9,,422.8,0.32,,,0,2.3157,8191.0
4049,Warin,53.800278,11.704445,1250,north,24.8,,262.0,0.21,,,0,2.2815,8193.0
4050,Wesenberg,53.281387,12.970278,1250,north,53.9,,227.5,0.0,,,0,1.9727,8347.0
4051,Wismar,53.891388,11.465834,1250,north,34.0,13.0,668.0,0.83,5500.0,1.833,2,2.7268,8505.0
4052,Wittenburg,53.511391,11.074166,1250,north,9.3,,465.4,0.96,,,1,2.9302,8516.0
4053,Woldegk,53.458889,13.583055,1250,north,21.9,,201.9,0.0,,,0,2.1511,8575.0
5001,Altona,53.549999,9.9333334,1250,north,1.4,,172.9,0.04,,,1,2.3574,9687.0
5002,Barmstedt,53.790279,9.7683334,1250,north,14.8,,176.2,1.1,,,1,2.5152,
5003,Bergedorf,53.487499,10.209723,1250,north,5.0,,278.8,0.88,,,1,2.7546,561.0
5004,Bad Bramstedt,53.91861,9.8819447,1250,north,10.4,,404.9,0.0,,,1,2.572,
5005,Bredstedt,54.619999,8.9608335,1250,north,27.7,,1685.4,0.19,,,0,2.983,
5006,Burg auf Fehmarn,54.43861,11.1975,1250,north,71.9,,332.4,0.0,,,0,2.1238,10676.0
5007,Cuxhaven,53.864445,8.6972218,1250,north,0.4,,1611.8,0.0,,,1,3.2494,
5008,Eckernfoerde,54.472778,9.8369446,1250,north,17.6,,492.1,0.53,,,0,2.7196,1676.0
5009,Elmshorn,53.754723,9.6549997,1250,north,6.4,,146.2,1.09,,,1,2.5433,
5010,Eutin,54.138611,10.614445,1250,north,30.5,,302.8,1.07,,,0,2.5264,10668.0
5011,Flensburg,54.782501,9.4375,1250,north,33.9,26.0,2144.5,1.5,1500.0,1.5,0,3.3951,1962.0
5012,Friedrichstadt (Eider),54.373333,9.0877781,1250,north,0.2,,406.6,0.0,,,1,2.7022,11585.0
5013,Garding,54.329445,8.7788887,1250,north,2.6,,1233.7,0.63,,,1,3.3034,10689.0
5014,Geesthacht,53.433334,10.371388,1250,north,0.8,,360.7,0.34,,,1,2.7488,
5015,Gluecksburg,54.836666,9.5508337,1250,north,41.7,,332.4,0.4,,,0,2.2438,
5016,Glueckstadt,53.787777,9.4236107,1250,north,0.6,2.0,323.1,0.0,0.0,,1,2.6049,10691.0
5017,Heide,54.195835,9.0952778,1250,north,16.3,,406.2,0.0,,,0,2.4995,
5018,Heiligenhafen,54.372776,10.974444,1250,north,59.4,,2067.8,0.5,,,0,3.0039,2911.0
5019,Husum,54.476387,9.0500002,1250,north,11.2,14.0,399.5,0.0,500.0,,1,2.5575,3280.0
5020,Itzehoe,53.924999,9.5163889,1250,north,3.7,,319.3,4.4,,,1,3.8815,3344.0
5021,Kappeln,54.661667,9.9324999,1250,north,39.2,,6039.8,0.0,,,0,3.292,
5022,Kellinghusen,53.949444,9.7138891,1250,north,6.7,,327.7,1.01,,,1,2.8373,
5023,Kiel,54.321667,10.137222,1250,north,20.7,5.0,814.5,0.5,1500.0,1.5,0,2.8722,3646.0
5024,Krempe,53.837776,9.4872227,1250,north,1.6,6.0,117.0,0.16,1000.0,1.0,1,2.2357,10692.0
5025,Lauenburg (Elbe),53.374168,10.554167,1250,north,0.7,,323.4,0.68,,,1,2.8085,9181.0
5026,Luebeck,53.866112,10.683888,1250,north,0.2,15.0,189.1,2.5,13000.0,1.182,3,3.1461,12046.0
