city_id,name,lat,lon,town_from,town_to,ready,year,population,distance_river_km,distance_road_km,distance_fair_km,num_fairs_50km,num_fairs_100km,has_own_fair,own_fair_category,has_own_toll,has_own_staple,has_own_bridge,has_own_ferry,has_own_harbour,on_trade_route,trade_access_score
11701,,51.760701,5.741658,1279,1650,,1300,,3.684,0.061,12.827,12,40,0,,0,0,0,0,0,1,2
11702,,50.974384,11.046882,1167,1650,,1300,,69.548,0.188,47.283,1,15,0,,0,1,0,0,0,1,3
15925,,54.830924,11.143366,1240,1650,,1300,,102.918,0.179,52.838,0,1,0,,0,0,0,0,0,1,2
11788,,53.247458,10.413513,1247,1650,,1300,,10.189,0.041,0.415,6,11,0,,0,0,0,0,0,1,2
12028,Bolbrücke,53.629061,11.412005,1160,1650,y,1300,,5.854,0.039,0.194,2,8,0,,0,0,0,0,0,1,2
68,Aalborg,57.048152,9.920454,1000,1650,,1300,2000.0,41.615,0.057,36.566,1,1,0,,0,0,0,0,0,1,2
10536,Middelfart,55.506567,9.727154,1300,1650,,1300,,116.454,0.043,64.056,0,2,0,,1,0,0,1,0,1,2
12072,,50.64984,11.366864,1208,1650,y,1300,,99.282,0.273,51.014,0,12,0,,0,0,1,0,0,1,2
19397,,54.889595,12.044299,1240,1650,,1300,,97.716,0.041,15.71,1,2,0,,0,0,0,0,0,1,2
19522,Kongebro,55.5121,9.710939,1300,1650,,1300,,116.83,0.596,63.275,0,2,0,,0,0,0,1,0,1,2
12041,,53.383544,11.583179,1248,1650,,1300,,5.851,0.046,29.453,3,5,0,,0,0,0,0,0,1,2
12173,,52.3801,4.63971,1245,1650,,1300,,2.335,0.07,45.74,4,19,0,,0,0,0,0,0,1,2
12046,,53.864913,10.693473,1143,1650,y,1300,,0.876,0.275,54.22,0,10,0,,0,0,0,0,1,1,2
10395,Skælskør,55.2539129,11.28803946,1240,1650,,1300,,140.664,0.108,48.089,1,2,0,,0,0,0,0,0,1,2
16131,,55.701593468464345,13.192614303182522,1000,1650,,1300,,179.047,0.082,38.096,2,3,0,,0,0,0,0,0,1,2
11006,Cölln (Berlin),52.513976,13.405676,1237,1650,y,1300,,0.121,0.072,127.375,0,0,0,,0,0,0,0,0,1,2
0,Göttingen,51.532781,9.935188,1230,1650,y,1300,8000.0,21.013,0.053,46.69,3,18,0,,1,0,0,0,0,1,2
12056,,51.284795,11.572691,1259,1650,y,1300,,38.317,0.197,27.414,3,15,0,,0,0,1,0,0,1,2
12212,,53.137525,11.246522,1259,1650,,1300,,0.63,0.551,10.983,1,8,0,,1,0,0,0,0,1,2
12213,,53.375986,10.718836,1267,1650,,1300,,0.856,0.055,24.909,3,10,0,,0,0,0,0,1,1,2
12223,,51.273666,3.440791,1187,1650,,1300,,2.535,0.241,0.6,2,2,0,,0,0,0,0,1,1,2
14938,,54.938006,10.706187,1241,1650,,1300,,89.829,0.168,77.256,0,1,0,,0,0,0,0,0,1,2
11019,,52.608789,11.856682,1160,1650,,1300,,9.149,0.197,55.082,0,5,0,,0,0,0,0,0,1,2
11021,,52.603648,11.863692,1160,1650,,1300,,8.675,0.163,54.663,0,5,0,,0,0,0,0,0,1,2
11026,Freiburg (Elbe),53.82571,9.288543,1271,1650,y,1300,,7.825,0.102,27.66,2,9,0,,0,0,0,0,0,1,2
19424,,57.047916,9.91861,1000,1650,,1300,,41.5,0.042,36.57,1,1,0,,0,0,0,0,0,1,2
12235,,50.996671,9.72853,1200,1650,,1300,,3.621,0.099,41.447,3,19,0,,0,0,0,0,0,1,2
12058,,51.198457,6.695451,1200,1650,,1300,,0.242,0.1,0.199,11,25,0,,0,0,0,0,0,1,2
19441,Mindrebro,56.154412,10.211317,1300,1650,,1300,,108.489,0.014,0.318,1,1,0,,0,0,0,0,0,1,2
19443,,56.154544,10.21169,1300,1650,,1300,,108.489,0.014,0.313,1,1,0,,0,0,0,0,0,1,2
19449,,55.620892,8.482963,1150,1650,,1300,,137.108,0.009,37.002,1,2,0,,0,0,0,0,0,1,2
5224,Neubrandenburg,53.557107,13.261152,1248,1650,y,1300,2000.0,40.913,0.64,60.445,0,1,0,,1,0,0,0,0,1,2
11135,,52.252267,6.152102,1123,1650,,1300,,0.327,0.06,12.669,17,31,0,,1,0,0,0,1,1,2
11094,,52.415057,12.555364,1170,1650,,1300,,0.805,0.08,69.865,0,1,0,,0,0,0,0,0,1,2
11120,,51.945017,7.166781,1197,1650,,1300,,24.884,0.043,23.891,8,45,0,,0,0,0,0,0,1,2
11125,,52.114968,6.521241,1190,1650,,1300,,0.037,0.038,13.669,11,43,0,,0,0,0,0,0,1,2
11130,,52.142186,6.190038,1191,1650,,1300,,0.118,0.031,0.37,17,35,0,,1,0,0,0,0,1,2
12059,,51.202487,6.692795,1200,1650,,1300,,0.242,0.254,0.507,11,25,0,,0,0,0,0,0,1,2
12060,,51.199086,6.728289,1200,1650,,1300,,1.145,0.651,2.482,10,24,0,,0,0,0,1,0,1,2
11149,,51.980727,5.899969,1233,1650,,1300,,0.383,0.055,0.787,14,37,0,,0,0,0,0,0,1,2
11151,Neustadt,52.408777,12.563131,1170,1650,,1300,,0.104,0.187,70.031,0,1,0,,0,0,0,0,0,1,2
11159,,52.014599,6.130509,1237,1650,,1300,,0.097,0.129,0.258,13,40,0,,0,0,0,0,0,1,2
12644,,50.896479,12.348515,1238,1650,,1300,,41.783,0.141,22.733,4,5,0,,0,0,0,0,0,1,2
11160,,51.964332,6.286168,1229,1650,,1300,,2.424,0.121,0.243,15,45,0,,0,0,0,0,0,1,2
11170,,51.838479,6.610741,1222,1650,,1300,,8.283,0.066,17.084,8,41,0,,0,0,0,0,0,1,2
11227,,52.815923,12.765155,1294,1650,,1300,,37.173,0.137,107.742,0,0,0,,0,0,0,0,0,1,2
12074,,51.054136,11.708711,1149,1650,,1300,,52.953,0.075,0.15,2,12,0,,0,0,0,0,0,1,2
12073,,50.800615,11.590624,1290,1650,y,1300,,76.303,0.159,29.405,2,17,0,,0,0,0,0,0,1,2
11206,,51.663964,6.965388,1251,1650,,1300,,4.495,0.025,21.342,9,37,0,,0,0,0,0,0,1,2
11207,,51.615064,7.52376,1265,1650,,1300,,6.91,0.102,11.88,12,30,0,,0,0,0,0,0,1,2
11208,,51.683584,7.814357,1279,1650,,1300,,10.721,0.172,23.63,9,26,0,,0,0,0,0,0,1,2
19608,,55.918162,11.672769,1250,1650,,1300,,189.656,0.11,33.774,1,3,0,,0,0,0,0,1,1,2
19613,,54.982751,12.282779,1250,1650,,1300,,108.365,0.029,23.913,1,2,0,,0,0,0,0,0,1,2
11238,,51.838557,6.612647,1222,1650,,1300,,8.402,0.066,16.953,8,41,0,,0,0,0,0,0,1,2
19610,,55.920134,11.672512,1250,1650,,1300,,189.505,0.11,33.77,1,3,0,,0,0,0,0,0,1,2
11272,,52.234595,9.856595,1296,1650,,1300,,20.938,0.112,11.172,6,16,0,,0,0,0,0,0,1,2
11290,Rötha,51.197979,12.41003,1291,1650,,1300,,8.376,0.299,15.975,4,5,0,,0,0,0,0,0,1,2
11291,,51.198984,12.398793,1291,1650,y,1300,,8.133,0.395,15.762,4,5,0,,0,0,0,0,0,1,2
11296,,51.344147,12.369851,1170,1650,y,1300,,8.133,0.285,0.57,4,6,0,,0,0,0,0,0,1,2
11314,,53.258564,15.541577,1284,1650,,1300,,52.579,0.164,170.059,0,0,0,,0,0,0,0,0,1,2
9237,,51.961521,7.632301,1170,1650,,1300,,26.111,0.162,0.323,8,33,0,,0,0,0,0,0,1,2
11328,,51.202681,11.966501,1280,1650,,1300,,30.08,0.226,20.61,5,11,0,,0,1,0,0,0,1,3
11329,,51.357415,12.002692,981,1650,,1300,,28.19,0.19,14.112,5,12,0,,0,0,0,0,0,1,2
11351,,58.36313,25.584763,1224,1650,,1300,,77.629,0.052,784.047,0,0,0,,0,0,0,0,0,1,2
19525,,52.36923,4.891019,1300,1650,,1300,,0.841,0.043,34.529,5,23,0,,0,0,0,0,0,1,2
10795,Gendt,51.874321,5.973201,1233,1650,,1300,,2.038,2.314,8.021,11,41,0,,0,0,0,0,0,1,2
11374,,51.484473,13.131655,1300,1650,,1300,,4.106,0.261,54.918,0,4,0,,0,0,0,0,0,1,2
11379,,54.005669,15.984292,1107,1650,,1300,,120.296,0.2,170.229,0,0,0,,0,0,0,0,0,1,2
11380,,54.003887,15.993314,1107,1650,,1300,,120.641,0.111,170.832,0,0,0,,0,0,0,0,0,1,2
19668,,51.232738,2.916333,1267,1650,,1300,,3.224,0.046,21.615,2,2,0,,0,0,0,0,0,1,2
11435,,51.558728,13.010101,1255,1650,,1300,,5.892,0.127,50.32,0,4,0,,0,0,0,0,0,1,2
11439,,51.879848,12.452752,1215,1650,y,1300,,6.749,0.109,55.31,0,7,0,,0,0,0,0,0,1,2
11443,,51.858351,12.044306,1271,1650,y,1300,,5.272,0.171,41.15,2,13,0,,1,0,0,0,0,1,2
12413,Eisenberg (Thüringen),50.968101,11.905274,1219,1650,y,1300,,47.503,2.638,16.619,2,9,0,,0,0,0,0,0,1,2
11446,,52.541114,11.975653,1200,1650,y,1300,,3.097,0.104,50.96,0,5,0,,1,0,0,0,0,1,2
11447,,52.785983,12.034698,1272,1650,y,1300,,5.093,0.389,71.908,0,2,0,,0,0,0,1,0,1,2
12446,Weida,50.773175,12.061207,1209,1650,y,1300,,59.849,0.366,31.243,2,5,0,,0,0,0,0,0,1,2
11493,Oschersleben,52.026643,11.226761,1235,1650,y,1300,,31.006,0.266,11.011,4,14,0,,0,0,0,0,0,1,2
11964,Hughevliet,51.35382,3.657722,1200,1404,y,1300,,11.103,3.189,17.013,2,5,0,,0,0,0,0,1,0,2
11547,,52.55894,5.917383,1230,1650,,1300,,0.312,0.028,12.947,5,31,0,,1,0,0,0,1,1,2
11558,,51.238313,12.733397,1220,1650,,1300,,24.573,0.147,27.397,3,5,0,,0,0,0,0,0,1,2
11588,,51.983416,9.822826,1220,1650,,1300,,24.216,0.216,0.444,8,19,0,,0,0,0,0,0,1,2
11594,,51.377411,10.137693,1227,1650,,1300,,16.377,0.058,46.549,5,21,0,,0,0,0,0,0,1,2
11597,,51.380496,11.597668,1198,1650,,1300,,28.208,0.109,28.189,2,15,0,,0,0,0,0,0,1,2
19942,,52.131943,11.63686,1188,1650,,1300,,3.091,0.074,0.149,3,9,0,,0,0,0,0,0,1,2
11613,,58.380678,26.725453,1248,1650,,1300,,11.087,0.09,847.79,0,0,0,,0,0,0,0,0,1,2
11770,,54.158661,19.399598,1246,1650,,1300,,1.393,0.116,384.45,0,0,0,,0,0,0,0,0,1,2
11636,,51.316143,9.508501,1180,1650,,1300,,0.051,0.155,51.666,0,17,0,,0,0,0,0,0,1,2
11637,Schlagd,51.316049,9.507041,1180,1650,,1300,,0.051,0.061,51.66,0,17,0,,0,0,0,0,0,1,2
11640,,51.344366,9.856945,1225,1650,,1300,,5.648,0.026,52.262,0,21,0,,0,0,1,0,0,1,2
11641,,51.27079,9.973638,1212,1650,,1300,,0.193,0.111,40.836,3,21,0,,0,0,0,0,0,1,2
11643,,52.539648,11.967641,1200,1650,,1300,,3.282,0.132,50.572,0,5,0,,0,0,0,0,0,1,2
