city_id,name,lat,lon,period,pop_T_minus,pop_T,log_pop_T_minus,d_log_pop,predicted_ols,predicted_ar1,predicted_rf,residual_ols
5041,Rendsburg,54.306389,9.6630554,1400-1500,1000.0,1000.0,6.907755278982137,0.0,-0.08927316899722815,-0.11614815781829646,0.1964223385772175,0.08927316899722815
5042,Schleswig,54.514721,9.5663891,1400-1500,2000.0,2000.0,7.600902459542082,0.0,1.5593630723361123,-0.19205294451690558,-0.6716615382242188,-1.5593630723361123
5045,Toenning,54.319721,8.9433336,1400-1500,1000.0,2000.0,6.907755278982137,0.6931471805599454,1.618921888132849,-0.11614815781829646,0.00984004120681285,-0.9257747075729037
6001,Hamburg,53.550556,9.9941664,1400-1500,8000.0,30000.0,8.987196820661973,1.3217558399823197,-0.39296882684574697,-0.34386251791412403,-0.4144653758036157,1.7147246668280667
7010,Berlin,52.517502,13.405278,1400-1500,5000.0,9000.0,8.517193191416238,0.5877866649021186,-0.07773637957107726,-0.2923936145902297,-0.2620215241240883,0.6655230444731959
7016,Berlin-Spandau,52.538334,13.205277,1400-1500,1000.0,1000.0,6.907755278982137,0.0,0.12346772392788619,-0.11614815781829646,0.3872068890794614,-0.12346772392788619
7027,Brandenburg,52.408611,12.563334,1400-1500,2000.0,5000.0,7.600902459542082,0.916290731874156,-0.08569576852605487,-0.19205294451690558,-0.60041260620651,1.0019865004002109
7033,Cottbus,51.759167,14.335,1400-1500,2000.0,3000.0,7.600902459542082,0.4054651081081637,-0.22693490566719654,-0.19205294451690558,-0.6066170913727995,0.6324000137753603
7045,Frankfurt (Oder),52.341667,14.550834,1400-1500,3000.0,11000.0,8.006367567650246,1.2992829841302616,-0.1174007007652329,-0.23645439836082993,-0.12212418766665084,1.4166836848954945
7059,Guben,51.953888,14.711945,1400-1500,1000.0,2000.0,6.907755278982137,0.6931471805599454,0.5134133327016902,-0.11614815781829646,0.17279773614950258,0.1797338478582552
7071,Landsberg (Warthe),52.733334,15.233334,1400-1500,1000.0,2000.0,6.907755278982137,0.6931471805599454,0.16210236564220648,-0.11614815781829646,0.1843558933585898,0.5310448149177389
7091,Nauen,52.606945,12.876111,1400-1500,1000.0,1000.0,6.907755278982137,0.0,-0.004483114421382939,-0.11614815781829646,0.11309358311428294,0.004483114421382939
