display_name,city_id,year,legal_capacity_score,merchant_capital_score,agricultural_surplus_score,peasant_mobility_score,noble_extraction_score,conflict_risk_score,trade_access,composite_raw,composite_0_3,notes,has_formal_charter_by_y,charter_withdrawn_by_y,has_townhall_by_y,legal_family,city_status,is_hanseatic,best_fair_category,has_messe_by_y,has_staple,population,pop_growth_50yr,dist_river_km,n_polity_changes_50yr,is_prince_bishop_seat,n_conflicts_50yr,n_major_conflicts_50yr,imputed
Rothenburg ob der Tauber,22109,1450,3,2,1,3,0,3,0.0,6.0,3,free imperial city; annual fair (Messe); major conflict in window,1,0,1,R05,3,0,0,1,0,6000.0,1.0,81.5,0,0,2,1,True
Rothenburg ob der Tauber,22109,1500,3,2,1,3,0,0,0.0,7.5,3,free imperial city; annual fair (Messe),1,0,1,R05,3,0,0,1,0,6000.0,1.0,81.5,0,0,0,0,True
Speyer,18087,1250,3,2,2,3,0,3,0.0,6.699999999999999,3,imperial city; annual fair (Messe); major conflict in window,1,0,0,S04,2,0,0,1,0,8000.0,1.143,9.0,0,0,1,1,True
Speyer,18087,1300,3,2,2,3,0,2,0.0,7.199999999999999,3,imperial city; annual fair (Messe),1,0,0,S04,2,0,0,1,0,9000.0,1.125,9.0,0,0,0,0,True
Speyer,18087,1350,3,2,2,3,0,1,0.0,7.699999999999999,3,imperial city; annual fair (Messe),1,0,1,S04,2,0,0,1,0,7000.0,0.778,9.0,0,0,0,0,True
Speyer,18087,1400,3,2,2,3,0,1,0.0,7.699999999999999,3,imperial city; annual fair (Messe),1,0,1,S04,2,0,0,1,0,5000.0,0.714,9.0,0,0,0,0,True
Speyer,18087,1450,3,2,2,3,0,3,0.0,6.699999999999999,3,imperial city; annual fair (Messe); major conflict in window,1,0,1,S04,2,0,0,1,0,9000.0,1.8,9.0,0,0,1,1,True
Speyer,18087,1500,3,2,3,3,0,2,0.0,7.899999999999999,3,imperial city; annual fair (Messe),1,0,1,S04,2,0,0,1,0,13000.0,1.444,9.0,0,0,0,0,True
Ulm,16085,1250,3,0,2,2,0,1,0.0,5.1000000000000005,2,free imperial city,0,0,0,U01,3,0,0,0,0,4500.0,2.25,151.6,0,0,0,0,True
Ulm,16085,1300,3,1,2,2,0,2,0.0,5.6000000000000005,3,free imperial city,1,0,0,U01,3,0,0,0,0,7000.0,1.556,151.6,0,0,0,0,True
Ulm,16085,1350,3,1,2,2,0,2,0.0,5.6000000000000005,3,free imperial city,1,0,1,U01,3,0,0,0,0,8000.0,1.143,151.6,0,0,0,0,True
Ulm,16085,1400,3,1,2,2,0,2,0.0,5.6000000000000005,3,free imperial city,1,0,1,U01,3,0,0,0,0,9000.0,1.125,151.6,0,0,0,0,True
Ulm,16085,1450,3,2,3,3,0,1,0.0,8.399999999999999,3,free imperial city; annual fair (Messe),1,0,1,U01,3,0,0,1,0,12500.0,1.389,151.6,0,0,0,0,True
Ulm,16085,1500,3,2,3,3,0,1,0.0,8.399999999999999,3,free imperial city; annual fair (Messe),1,0,1,U01,3,0,0,1,0,16000.0,1.28,151.6,0,0,0,0,True
Würzburg,22145,1250,2,2,2,1,2,1,0.0,3.9,2,annual fair (Messe); prince-bishop seat,0,0,1,W04,0,0,0,1,0,6000.0,1.2,52.3,0,1,0,0,True
Würzburg,22145,1300,3,2,2,1,2,3,0.0,3.9,2,annual fair (Messe); prince-bishop seat; major conflict in window,1,0,1,W04,0,0,0,1,0,7000.0,1.167,52.3,0,1,2,1,True
Würzburg,22145,1350,3,2,1,1,2,0,0.0,4.699999999999999,2,annual fair (Messe); prince-bishop seat,1,0,1,W04,0,0,0,1,0,6500.0,0.929,52.3,0,1,0,0,True
Würzburg,22145,1400,3,2,1,1,2,3,0.0,3.1999999999999993,1,annual fair (Messe); prince-bishop seat; major conflict in window,1,0,1,W04,0,0,0,1,0,6000.0,0.923,52.3,0,1,2,1,True
Würzburg,22145,1450,3,2,2,1,2,2,0.0,4.4,2,annual fair (Messe); prince-bishop seat,1,0,1,W04,0,0,0,1,0,6500.0,1.083,52.3,0,1,0,0,True
Würzburg,22145,1500,3,2,2,1,2,1,0.0,4.9,2,annual fair (Messe); prince-bishop seat,1,0,1,W04,0,0,0,1,0,7000.0,1.077,52.3,0,1,0,0,True
