nodesid,city_id,viabundus_name,bairoch_name,lat_v,lon_v,lat_b,lon_b,dist_km,match_method,confidence
1236,12026.0,Cloppenburg,Cloppenburg,52.84825,8.04252,52.846111,8.0433331,0.24403373180411922,exact,0.95
1238,22024.0,Coburg,Coburg,50.258278,10.964611,50.259167,10.96,0.34237460030025124,exact,0.95
1250,11024.0,Coswig (Anhalt),Coswig (Anahlt),51.882229,12.456696,51.885555,12.4575,0.37392914260627325,exact,0.95
1251,7033.0,Cottbus,Cottbus,51.760836,14.335247,51.759167,14.335,0.18636156157152817,exact,0.95
1301,9021.0,Dahlen,Dahlen,51.365998,12.997199,51.365833,12.996388,0.05921684032759623,exact,0.95
1306,7035.0,Dahme,Dahme,51.869474,13.428032,51.869167,13.424723,0.22974031691758526,exact,0.95
2202,1027.0,Dąbrówno,Gilgenburg,53.43408,20.03529,53.433334,20.033333,0.15390820649605877,exact,0.95
1321,2004.0,Damgarten,Damgarten,54.252219,12.473376,54.255001,12.473333,0.30935732414900374,exact,0.95
1330,12027.0,Dannenberg,Dannenberg,53.098588,11.095268,53.098888,11.096389,0.08194189077306968,exact,0.95
1333,1013.0,Gdańsk,Danzig,54.349211,18.650284,54.350555,18.652779,0.22018166274359746,exact,0.95
1341,12028.0,Dassel,Dassel,51.801731,9.690711,51.801945,9.686944,0.2601140473643539,exact,0.95
1737,10019.0,Eisenach,Eisenach,50.974621,10.319604,50.977222,10.322222,0.3424099925918701,exact,0.95
1379,12029.0,Delmenhorst,Delmenhorst,53.0485,8.6295,53.049721,8.6338892,0.3232780181703457,exact,0.95
1397,11027.0,Derenburg,Derenburg,51.871455,10.910677,51.870834,10.908334,0.17505433618345836,exact,0.95
1401,11028.0,Dessau,Dessau,51.835326,12.246898,51.830833,12.241667,0.6154648914411655,exact,0.95
1406,13037.0,Detmold,Detmold,51.935094,8.879044,51.935276,8.8786116,0.035893476074040344,exact,0.95
1429,12030.0,Diepholz,Diepholz,52.60638,8.37033,52.60611,8.3702774,0.030232055278656775,exact,0.95
2401,15044.0,Grebenstein,Grebenstein,51.447229,9.414328,51.446667,9.414444,0.06300657771670043,exact,0.95
6407,2017.0,Richtenberg,Richtenberg,54.200605,12.885701,54.200554,12.89,0.27967952092938636,exact,0.95
1511,11030.0,Dommitzsch,Dommitzsch,51.639671,12.883601,51.639721,12.883333,0.01931181165554186,exact,0.95
13942,2006.0,Franzburg,Franzburg,54.18733,12.878192,54.186943,12.8775,0.06228180682356729,exact,0.95
1542,13038.0,Dorsten,Dorsten,51.660332,6.963916,51.660831,6.9644446,0.06639377592219327,exact,0.95
1545,13039.0,Dortmund,Dortmund,51.514287,7.466708,51.514168,7.4638891,0.19551321878706066,exact,0.95
1552,3011.0,Drawsko Pomorskie,Dramburg,53.531377,15.812617,53.533333,15.8,0.8617668567513668,exact,0.95
1570,9025.0,Dresden,Dresden,51.049734,13.737918,51.051666,13.736667,0.23194449294633795,exact,0.95
1576,13041.0,Bad Driburg,Bad Driburg,51.735746,9.017924,51.736111,9.0169449,0.07869577491249749,exact,0.95
8844,7155.0,Sulechów,Zuellichau,52.085174,15.625421,52.083332,15.616667,0.6322531161945343,exact,0.95
1581,3012.0,Drezdenko,Driesen (Neumark),52.839415,15.831273,52.833332,15.833333,0.690408637986048,exact,0.95
1588,7038.0,Ośno Lubuskie,Drossen,52.454365,14.870881,52.450001,14.866667,0.5630434483790059,exact,0.95
1610,12032.0,Duderstadt,Duderstadt,51.512287,10.259632,51.512222,10.256945,0.18608605864816724,exact,0.95
2674,15052.0,Gudensberg,Gudensberg,51.178357,9.36549,51.178333,9.3658333,0.02407910109489964,exact,0.95
1661,22029.0,Ebern,Ebern,50.094631,10.793512,50.098331,10.794723,0.4203924077053427,exact,0.95
1665,7039.0,Eberswalde,Eberswalde,52.833374,13.821509,52.834446,13.820278,0.14507636749142247,exact,0.95
1686,11033.0,Egeln,Egeln,51.943237,11.431687,51.941387,11.425278,0.48509321925047655,exact,0.95
1721,11034.0,Eilenburg,Eilenburg,51.459806,12.633292,51.459999,12.633333,0.021647821677559853,exact,0.95
6711,10074.0,Bad Salzungen,Bad Salzungen,50.812954,10.235517,50.811668,10.231944,0.2889095586335022,exact,0.95
1790,12037.0,Emden,Emden,53.366864,7.206328,53.370556,7.2058334,0.4118416249532141,exact,0.95
1793,14026.0,Emmerich,Emmerich,51.830158,6.24245,51.83139,6.2424998,0.1370350748015864,exact,0.95
7949,10094.0,Vacha,Vacha,50.827581,10.020919,50.823055,10.023889,0.544793075984868,exact,0.95
2921,1032.0,Lidzbark Warmiński,Heilsberg,54.126201,20.580114,54.116665,20.583334,1.08092030685144,exact,0.95
1828,14027.0,Erkelenz,Erkelenz,51.07998,6.316181,51.078609,6.313889,0.22108132962050472,exact,0.95
2777,6001.0,Hamburg,Hamburg,53.54798,9.9931,53.550556,9.9941664,0.29497524643276746,exact,0.95
1831,22035.0,Erlangen,Erlangen,49.601809,11.003096,49.595001,11.004723,0.7660436257612804,exact,0.95
1837,11040.0,Ermsleben,Ermsleben,51.731708,11.344125,51.731945,11.343889,0.030962028545748855,exact,0.95
1865,14029.0,Essen,Essen,51.456963,7.012649,51.455833,7.0124998,0.12607497341261492,exact,0.95
3092,15065.0,Hofgeismar,Hofgeismar,51.495751,9.379685,51.494167,9.3833332,0.307910018721873,exact,0.95
3093,15066.0,Hofheim,Hofheim,50.087523,8.44456,50.087502,8.4461107,0.11065876341906689,exact,0.95
1923,7041.0,Fehrbellin,Fehrbellin,52.813543,12.764139,52.813332,12.763889,0.02885788452371744,exact,0.95
1947,7043.0,Finsterwalde,Finsterwalde,51.630167,13.708495,51.629166,13.707778,0.12181267746254894,exact,0.95
3228,13081.0,Horstmar,Horstmar,52.080091,7.302372,52.080555,7.3049998,0.1868374199687035,exact,0.95
1962,5011.0,Flensburg,Flensburg,54.782514,9.436726,54.782501,9.4375,0.049653157720779086,exact,0.95
1973,22038.0,Forchheim,Forchheim,49.720153,11.057884,49.720001,11.058056,0.02094186149844223,exact,0.95
1977,7044.0,Forst,Forst,51.744112,14.647499,51.743889,14.648056,0.04566748160560211,exact,0.95
839,13024.0,Borken,Borken (Westfalen),51.844299,6.859231,51.843887,6.855,0.2942440134752679,exact,0.95
1991,1021.0,Frombork,Frauenburg,54.358316,19.682164,54.349998,19.683332,0.9280123711622167,exact,0.95
1995,9036.0,Frauenstein,Frauenstein,50.802142,13.537699,50.801945,13.533889,0.2686441437286208,exact,0.95
2002,9037.0,Freiberg,Freiberg,50.916999,13.343914,50.914722,13.344167,0.25381166395742927,exact,0.95
2004,7046.0,Bad Freienwalde,Freienwalde,52.787461,14.030206,52.788055,14.030833,0.07836069000090987,exact,0.95
2015,7047.0,Freyenstein,Freyenstein,53.286596,12.354096,53.287498,12.353333,0.11239260653416701,exact,0.95
2020,3017.0,Strzelce Krajeńskie,Friedeberg (Neumark),52.878961,15.533469,52.883335,15.516666,1.227957050464545,exact,0.95
2034,7049.0,Friesack,Friesack,52.742199,12.579195,52.737499,12.579722,0.5238197354894732,exact,0.95
7877,11157.0,Uebigau,Uebigau,51.594816,13.300347,51.593056,13.297222,0.2913740634459789,exact,0.95
2036,12043.0,Friesoythe,Friesoythe,53.020459,7.858919,53.020557,7.8594446,0.036805989978203606,exact,0.95
2037,15034.0,Fritzlar,Fritzlar,51.13185,9.274862,51.130833,9.2752781,0.11675333794299676,exact,0.95
2038,9039.0,Frohburg,Frohburg,51.056303,12.559354,51.05722,12.556389,0.23095636124899235,exact,0.95
3339,13083.0,Iserlohn,Iserlohn,51.374437,7.69752,51.374443,7.6991668,0.11430814992585431,exact,0.95
2084,12045.0,Bad Gandersheim,Bad Gandersheim,51.870247,10.025543,51.870556,10.024445,0.08284589121768858,exact,0.95
2094,11042.0,Gardelegen,Gardelegen,52.526638,11.391921,52.526943,11.393056,0.0839391888688764,exact,0.95
3434,1035.0,Pisz,Johannisburg,53.629348,21.807923,53.616665,21.799999,1.5039954597312053,exact,0.95
2106,2007.0,Gartz,Gartz (Oder),53.208154,14.391804,53.208611,14.388611,0.21862694531614135,exact,0.95
2146,9041.0,Geithain,Geithain,51.054259,12.694715,51.05389,12.695,0.0456109584578786,exact,0.95
2129,11044.0,Gefell,Gefell,50.438029,11.859596,50.438057,11.858334,0.0894309563417865,exact,0.95
3514,13085.0,Kamen ,Kamen,51.591912,7.664565,51.592224,7.6622224,0.16550527599459516,exact,0.95
2148,14034.0,Geldern,Geldern,51.517228,6.322164,51.517502,6.3233333,0.08645515378958511,exact,0.95
2151,15039.0,Gelnhausen,Gelnhausen,50.202744,9.190682,50.203056,9.1913891,0.06112548340173365,exact,0.95
2176,13057.0,Geseke,Geseke,51.6368,8.512053,51.639721,8.5086107,0.40240237398839873,exact,0.95
2164,10026.0,Gera,Gera,50.876431,12.083345,50.87611,12.080277,0.21820166869765711,exact,0.95
2250,14036.0,Goch,Goch,51.676004,6.155381,51.674446,6.1586113,0.2821825050953993,exact,0.95
2281,3018.0,Goleniów,Gollnow,53.563778,14.828354,53.56361,14.828055,0.02718266689518725,exact,0.95
2337,12049.0,Goslar ,Goslar,51.905882,10.428955,51.906387,10.428889,0.05633575820828711,exact,0.95
2347,10028.0,Gotha,Gotha,50.949588,10.701229,50.948612,10.703333,0.18303797967802413,exact,0.95
2406,3019.0,Gryfice,Greifenberg i. Pomm.,53.91466,15.19863,53.916111,15.199722,0.17648389160791225,exact,0.95
2407,3020.0,Gryfino,Greifenhagen,53.252431,14.487304,53.252777,14.487778,0.04974516617066155,exact,0.95
2388,7057.0,Gransee,Gransee,53.006872,13.157326,53.006943,13.158055,0.04941084712784298,exact,0.95
2420,14038.0,Grevenbroich,Grevenbroich,51.088689,6.589691,51.09111,6.5830555,0.535949413442287,exact,0.95
2431,2010.0,Grimmen,Grimmen,54.113007,13.043325,54.113056,13.043056,0.018360807288942807,exact,0.95
2432,7061.0,Joachimsthal,Joachimsthal,52.977902,13.744227,52.979168,13.744722,0.14462149121443368,exact,0.95
2731,15053.0,Hadamar,Hadamar,50.448529,8.046761,50.448612,8.0458336,0.06631066383137578,exact,0.95
2743,4016.0,Hagenow,Hagenow,53.433004,11.189557,53.431667,11.191667,0.2040608422076318,exact,0.95
2758,11058.0,Halberstadt,Halberstadt,51.895294,11.052109,51.896111,11.047222,0.3474235685016112,exact,0.95
2760,11059.0,Haldensleben,Haldensleben,52.291092,11.411666,52.291111,11.410833,0.05669375937310092,exact,0.95
2765,11060.0,Halle (Saale),Halle a. d. S.,51.482658,11.969805,51.482224,11.970555,0.07089560563254008,exact,0.95
2768,13065.0,Hallenberg,Hallenberg,51.110358,8.62182,51.111946,8.6211109,0.18338527420940154,exact,0.95
2778,12052.0,Hameln,Hameln,52.104508,9.356435,52.104168,9.3561115,0.04378918998063114,exact,0.95
2789,3022.0,Czarne,Hammerstein,53.683855,16.940063,53.683056,16.941944,0.15243986847938062,exact,0.95
2795,12053.0,Hannover,Hannover,52.371646,9.736082,52.371387,9.7366667,0.04904159914381978,exact,0.95
2802,12054.0,Harburg,Harburg (Elbe),53.465017,9.983257,53.460278,9.976944,0.6725590139969383,exact,0.95
4501,13093.0,Bad Lippspringe,Bad Lippspringe,51.779471,8.822231,51.782501,8.8186111,0.4189613409352121,exact,0.95
2873,7060.0,Havelberg,Havelberg,52.825209,12.074538,52.830555,12.075277,0.5965187444044093,exact,0.95
2911,5018.0,Heiligenhafen,Heiligenhafen,54.37253,10.978773,54.372776,10.974444,0.28173061265192134,exact,0.95
2945,12059.0,Helmstedt,Helmstedt,52.227697,11.010533,52.227501,11.010278,0.02786821043809334,exact,0.95
2978,13073.0,Herford,Herford,52.114175,8.671844,52.115555,8.6733332,0.18408376360200815,exact,0.95
3026,12061.0,Hessisch Oldendorf,Hessisch-Oldendorf,52.168528,9.249764,52.168335,9.2524996,0.1877999194352209,exact,0.95
3050,12062.0,Hildesheim,Hildesheim,52.152756,9.951685,52.152779,9.9513893,0.020335492380276727,exact,0.95
4754,1044.0,Malbork,Marienburg,54.037262,19.026117,54.033333,19.041666,1.1054009036239207,exact,0.95
4837,1046.0,Pieniężno,Mehlsack,54.2327,20.125172,54.216667,20.116667,1.8665504216563846,exact,0.95
