cid,pop1500_bur,pop1500_bai
549,3000.0,20000.0
550,5000.0,5000.0
552,13000.0,13000.0
556,3000.0,3000.0
560,2000.0,2000.0
565,10000.0,10000.0
568,8000.0,8000.0
569,10000.0,10000.0
575,5000.0,5000.0
576,8000.0,8000.0
579,8000.0,8000.0
582,3000.0,3000.0
583,2000.0,2000.0
588,7000.0,7000.0
590,2000.0,2000.0
594,17000.0,17000.0
595,4000.0,4000.0
603,7000.0,7000.0
605,4000.0,4000.0
607,9000.0,9000.0
612,10000.0,10000.0
618,9000.0,9000.0
620,5000.0,5000.0
623,5000.0,5000.0
624,4000.0,4000.0
629,19000.0,19000.0
633,3000.0,3000.0
634,7000.0,7000.0
637,4000.0,4000.0
644,13000.0,13000.0
651,4000.0,4000.0
658,19000.0,42000.0
663,55000.0,55000.0
664,3000.0,3000.0
674,4000.0,4000.0
678,1000.0,1000.0
680,12000.0,12000.0
682,8000.0,8000.0
683,6000.0,6000.0
684,5000.0,5000.0
694,1000.0,1000.0
704,30000.0,30000.0
709,12000.0,12000.0
710,58000.0,58000.0
711,45000.0,55000.0
715,6000.0,6000.0
723,9000.0,9000.0
729,1000.0,1000.0
736,3000.0,3000.0
738,8000.0,11000.0
740,1000.0,1000.0
741,7000.0,7000.0
742,4000.0,4000.0
746,12000.0,12000.0
748,3000.0,3000.0
749,11000.0,11000.0
752,23000.0,70000.0
756,10000.0,10000.0
758,5000.0,5000.0
763,2000.0,2000.0
764,2000.0,2000.0
767,14000.0,14000.0
768,2000.0,2000.0
771,4000.0,4000.0
775,4000.0,4000.0
778,7000.0,7000.0
779,4000.0,4000.0
784,12000.0,12000.0
786,6000.0,6000.0
793,7000.0,8000.0
794,30000.0,15000.0
799,1000.0,1000.0
800,6000.0,6000.0
810,3000.0,3000.0
812,8000.0,8000.0
813,6000.0,6000.0
824,10000.0,10000.0
830,12000.0,12000.0
833,6000.0,6000.0
840,7000.0,7000.0
848,1000.0,4000.0
849,10000.0,10000.0
856,5000.0,5000.0
857,4000.0,4000.0
858,4000.0,4000.0
863,2000.0,2000.0
877,23000.0,23000.0
882,9000.0,9000.0
886,10000.0,10000.0
889,1000.0,1000.0
894,1000.0,5000.0
895,9000.0,9000.0
898,2000.0,2000.0
903,7000.0,7000.0
910,4000.0,5000.0
914,15000.0,15000.0
927,3000.0,2000.0
940,1000.0,1000.0
942,4000.0,4000.0
947,45000.0,45000.0
952,5000.0,5000.0
963,6000.0,6000.0
972,22000.0,22000.0
996,3000.0,3000.0
999,6000.0,6000.0
1005,2000.0,2000.0
1009,10000.0,10000.0
1014,3000.0,3000.0
1026,15000.0,15000.0
1027,4000.0,4000.0
1031,4000.0,4000.0
1033,2000.0,2000.0
1035,14000.0,14000.0
1036,7000.0,10000.0
1037,3000.0,3000.0
1040,5000.0,5000.0
1044,4000.0,4000.0
1046,17000.0,17000.0
1055,20000.0,20000.0
1057,5000.0,5000.0
1058,26000.0,26000.0
1066,1000.0,1000.0
1067,3000.0,3000.0
1069,3000.0,3000.0
1071,65000.0,65000.0
1074,1000.0,1000.0
1080,8000.0,8000.0
1089,7000.0,7000.0
1093,2000.0,2000.0
1098,30000.0,30000.0
1099,2000.0,2000.0
1103,25000.0,25000.0
1108,2000.0,2000.0
1113,3000.0,3000.0
1115,35000.0,50000.0
1118,10000.0,10000.0
1120,6000.0,6000.0
1123,13000.0,13000.0
1124,18000.0,18000.0
1129,6000.0,6000.0
1132,8000.0,42000.0
1135,5000.0,5000.0
1146,25000.0,25000.0
1157,6000.0,6000.0
1158,21000.0,45000.0
1161,5000.0,5000.0
1164,5000.0,5000.0
1168,10000.0,10000.0
1171,2000.0,2000.0
1177,25000.0,25000.0
1179,16000.0,16000.0
1180,21000.0,21000.0
1181,2000.0,2000.0
1182,2000.0,2000.0
1187,5000.0,5000.0
1189,2000.0,2000.0
1192,10000.0,10000.0
1195,25000.0,25000.0
1196,3000.0,3000.0
1197,15000.0,15000.0
1202,7000.0,7000.0
1206,100000.0,100000.0
1211,4000.0,4000.0
1212,7000.0,7000.0
1221,3000.0,3000.0
1222,18000.0,18000.0
1236,5000.0,5000.0
1239,15000.0,15000.0
1240,3000.0,3000.0
1250,6000.0,6000.0
1255,4000.0,4000.0
1256,4000.0,4000.0
1261,6000.0,6000.0
1268,2000.0,2000.0
1269,5000.0,5000.0
1282,13000.0,13000.0
1283,10000.0,10000.0
1285,8000.0,8000.0
1286,10000.0,25000.0
1300,8000.0,8000.0
1301,3000.0,1000.0
1302,14000.0,14000.0
1304,125000.0,125000.0
1305,2000.0,2000.0
1306,5000.0,5000.0
1310,5000.0,5000.0
1318,4000.0,4000.0
1334,16000.0,16000.0
1336,6000.0,6000.0
1339,12000.0,12000.0
1341,6000.0,6000.0
1352,6000.0,6000.0
1356,5000.0,5000.0
1358,6000.0,6000.0
1359,1000.0,1000.0
