city_id,name,lat,lon,charter_year,market_year,match_km,pop1100,pop1200,pop1300,pop1400,pop1500,on_river,on_coast,cid
14017,Duelken,51.250832,6.3308334,1352.0,1470.0,3.4231955599325796,0.0,0.0,1000.0,1000.0,2000.0,0,0,2096
14019,Duesseldorf,51.224167,6.7800002,1288.0,1288.0,2.687251504039881,1000.0,1000.0,2000.0,2000.0,2000.0,1,0,583
14023,Duisburg-Hamborn,51.488056,6.7727776,1911.0,,7.025863351798532,,,,,,0,0,1385
14029,Essen,51.455833,7.0124998,,1041.0,1.658778612479111,2000.0,2000.0,1000.0,3000.0,3000.0,0,0,633
14031,Essen-Werden,51.388332,7.0091667,1492.0,1578.0,1.1238455594590848,1000.0,2000.0,2000.0,1000.0,2000.0,1,0,2171
14033,Geilenkirchen,50.964443,6.1197224,,1400.0,12.13362057496452,,,,,,1,0,811
14034,Geldern,51.517502,6.3233333,1229.0,1845.0,16.83947363312964,,,,,,1,0,2073
14036,Goch,51.674446,6.1586113,1250.0,1845.0,14.038459719782704,,,,,,1,0,942
14038,Grevenbroich,51.09111,6.5830555,1305.0,1845.0,13.868572435323436,,,,,,1,0,1319
14040,Haan,51.192223,7.0105557,1921.0,,5.434798733536553,1000.0,1000.0,2000.0,1000.0,1000.0,0,0,1817
14044,Hilden,51.168056,6.9336109,1861.0,1845.0,9.45781027555534,,,,,,0,0,1196
14055,Kempen,51.364445,6.418611,1294.0,1372.0,7.490444974362745,,,,,,0,0,1620
14066,Langenberg (Rheinland),51.351112,7.1197224,1831.0,1845.0,6.574131857487725,,,,,,0,0,2062
14076,Monschau,50.555279,6.2391667,1361.0,1845.0,16.94225001045028,,,,,,0,0,641
14077,Muelheim a. d. Ruhr,51.43111,6.8797221,1808.0,1252.0,3.6620757600270157,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,1281
14080,Neviges,51.310833,7.0888891,1922.0,1845.0,5.340438329575806,0.0,1000.0,1000.0,1000.0,1000.0,0,0,2203
14095,Rheinberg,51.544998,6.6025,1232.0,1000.0,14.028740262665577,,,,,,1,0,2172
14113,Wuppertal-Barmen,51.271946,7.1999998,1808.0,,1.4080967466204324,0.0,0.0,0.0,0.0,1000.0,1,0,2205
14115,Wuppertal-Cronenberg,51.205276,7.1302776,1808.0,1845.0,0.5869839624045222,1000.0,1000.0,2000.0,1000.0,2000.0,1,0,522
14116,Wuppertal-Elberfeld,51.256111,7.1475,1610.0,1610.0,1.9666725146004775,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,610
15004,Babenhausen,49.962776,8.9522219,1295.0,1295.0,14.273635914891718,,,,,,1,0,120
15007,Beerfelden,49.567223,8.9736109,1328.0,1328.0,24.5663186069538,,,,,,1,0,812
15008,Bensheim,49.679722,8.6188889,1320.0,956.0,18.750330016721144,,,,,,1,0,2200
15011,Braunfels,50.514446,8.3894444,1607.0,,12.01707359790402,,,,,,1,0,2176
15012,Buedingen,50.2925,9.1138887,1330.0,1330.0,22.73449371828911,,,,,,1,0,799
15014,Camberg,50.298054,8.2658329,1365.0,1477.0,24.38036531023765,,,,,,1,0,2182
15015,Darmstadt,49.873055,8.6563892,1330.0,1330.0,1.2440377617891785,1000.0,1000.0,2000.0,1000.0,1000.0,0,0,535
15018,Dreieichenhain,50.000832,8.7108335,1256.0,,11.405908579217707,,,,,,1,0,680
15024,Floersheim,50.013611,8.4300003,1953.0,,11.454045336153785,,,,,,1,0,1129
15032,Friedberg (Hessen),50.337502,8.7538891,1200.0,1300.0,23.14782356849186,,,,,,1,0,1394
15036,Fulda,50.553055,9.6750002,1150.0,1019.0,0.4900794836366419,2000.0,2000.0,3000.0,2000.0,4000.0,1,0,691
15038,Geisenheim,49.983055,7.9661112,1354.0,1661.0,4.945444767209917,1000.0,2000.0,2000.0,1000.0,1000.0,1,0,249
15041,Gernsheim,49.752224,8.4930553,1356.0,1495.0,14.953859242887031,,,,,,1,0,1410
15043,Giessen,50.586113,8.6747227,1248.0,1400.0,1.9097503042650412,0.0,1000.0,1000.0,1000.0,2000.0,0,0,719
15053,Hadamar,50.448612,8.0458336,1324.0,1400.0,34.79109323743521,,,,,,1,0,946
15141,Viernheim,49.536945,8.5819445,1948.0,,9.709480584163853,,,,,,1,0,1142
16001,Aalen,48.834999,10.092222,1385.0,1398.0,21.456391931751334,,,,,,1,0,1741
16002,Asperg,48.905834,9.1352777,1510.0,1962.0,4.352206132761358,0.0,0.0,0.0,0.0,0.0,1,0,1101
16003,Backnang,48.946667,9.4244442,1220.0,1600.0,18.716104162614386,,,,,,1,0,1739
16004,Bartenstein (Schrozberg),49.355835,9.8888893,1806.0,1949.0,20.531843598039796,,,,,,1,0,1652
16005,Beilstein,49.040833,9.313611,1304.0,1618.0,12.032487895371995,,,,,,1,0,813
16008,Blaubeuren,48.412498,9.7836113,1267.0,1418.0,16.03334039028307,,,,,,1,0,2029
16009,Boeblingen,48.685276,9.0094442,1278.0,1552.0,15.660586664476854,,,,,,1,0,1890
16011,Bopfingen,48.857777,10.351389,1230.0,1962.0,10.907353288566856,,,,,,1,0,1352
16013,Crailsheim,49.135555,10.071111,1338.0,1316.0,21.5719700268775,,,,,,1,0,556
16015,Eislingen/Fils,48.700832,9.7075005,1933.0,,2.753653649524621,0.0,1000.0,1000.0,1000.0,1000.0,1,0,737
16017,Esslingen/Neckar,48.741112,9.3094444,1229.0,866.0,1.2552924750235628,3000.0,4000.0,5000.0,10000.0,7000.0,1,0,634
16019,Forchtenberg,49.287224,9.5622225,1298.0,,22.233633797258307,,,,,,1,0,1742
16025,Giengen/Brenz,48.620556,10.244722,1279.0,1962.0,14.062697309809705,,,,,,1,0,1014
16034,Heimsheim,48.805557,8.8636112,1456.0,1456.0,15.924275301977307,,,,,,1,0,1503
16035,Herrenberg,48.595554,8.8672218,1503.0,1962.0,14.70635010248452,,,,,,1,0,1654
16065,Neuffen,48.555557,9.3741665,,1962.0,16.586440716103272,,,,,,0,0,1617
16089,Waldenbuch,48.636665,9.1313887,1363.0,1618.0,13.736196058298246,,,,,,1,0,2014
17001,Alpirsbach,48.345001,8.4027777,1869.0,1962.0,39.82601377256634,,,,,,0,0,1000
17003,Aulendorf,47.951111,9.6383333,1950.0,1682.0,19.075789630020118,,,,,,0,0,1598
17006,Biberach,48.098057,9.7883329,1218.0,1485.0,13.492525067836716,,,,,,1,0,241
17014,Freudenstadt,48.463612,8.4111109,1599.0,1962.0,36.57776151659364,,,,,,1,0,159
17015,Fridingen/Donau,48.021667,8.9327774,1371.0,1772.0,42.30332070895084,,,,,,1,0,1734
17025,Isny,47.692223,10.039166,1281.0,,21.23970327751591,,,,,,1,0,917
