cid,city,country,lat,lon,elev,transport,in_hre,in_cne,pop1100,pop1200,pop1300,pop1400,pop1500,on_river,on_coast,inland,atlantic,baltic,northsea,medit,in_via,staple_year,fair_year
293,Brandenburg,Germany,52.4,12.53,29,river north sea,True,True,2000.0,2000.0,1000.0,2000.0,5000.0,1,0,0,0,0,1,0,True,1455.0,1480.0
294,Braniewo,Poland,54.4,19.83,14,river baltic,False,True,0.0,0.0,1000.0,2000.0,3000.0,1,0,0,0,1,0,0,True,,
297,Braunschweig,Germany,52.25,10.5,71,river north sea,True,True,3000.0,11000.0,12000.0,18000.0,18000.0,1,0,0,0,0,1,0,True,,1385.0
298,Breda,Netherlands,51.58,4.77,3,river north sea,True,True,1000.0,1000.0,2000.0,1000.0,6000.0,1,0,0,0,0,1,0,True,1355.0,1313.0
300,Bremen,Germany,53.08,8.8,3,river north sea,True,True,6000.0,8000.0,13000.0,7000.0,18000.0,1,0,0,0,0,1,0,True,1360.0,965.0
301,Bremerhaven,Germany,53.55,8.58,2,north sea,True,True,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,True,,1318.0
318,Bruchsal,Germany,49.12,8.58,114,land north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,True,,
319,Brugge,Belgium,51.22,3.23,2,north sea,True,True,7000.0,10000.0,40000.0,37000.0,35000.0,0,1,0,0,0,1,0,True,1252.0,1200.0
320,Bruxelles,Belgium,50.83,4.33,62,river north sea,True,True,3000.0,8000.0,18000.0,26000.0,33000.0,1,0,0,0,0,1,0,True,,
321,Brzeg,Poland,50.87,17.45,134,river baltic,False,True,0.0,0.0,1000.0,1000.0,2000.0,1,0,0,0,1,0,0,True,,
325,Burg,Germany,52.28,11.85,54,river north sea,True,True,2000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,True,,1562.0
331,Burscheid,Germany,50.78,6.08,195,land north sea,True,True,0.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,True,,1166.0
337,Bydgoszcz,Poland,53.13,18.0,60,river baltic,False,True,0.0,1000.0,2000.0,1000.0,2000.0,1,0,0,0,1,0,0,True,,
348,Calais,France,50.95,1.83,2,north sea,False,True,2000.0,2000.0,3000.0,2000.0,3000.0,0,1,0,0,0,1,0,True,,
357,Cambrai,France,50.17,3.23,58,river north sea,False,True,5000.0,6000.0,8000.0,10000.0,11000.0,1,0,0,0,0,1,0,True,,
417,Celle,Germany,52.62,10.08,40,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,True,1459.0,1353.0
432,Charleroi,Belgium,50.42,4.43,136,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,True,,
433,Charleville,France,49.77,4.72,133,river north sea,False,True,3000.0,3000.0,4000.0,3000.0,2000.0,1,0,0,0,0,1,0,True,1358.0,
434,Charlottenburg,Germany,52.52,13.2,35,river north sea,True,True,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,True,,
444,Chelmno,Poland,53.33,18.42,75,river baltic,False,True,1000.0,1000.0,2000.0,1000.0,4000.0,1,0,0,0,1,0,0,True,,
447,Chemnitz,Germany,50.83,12.92,297,river north sea,True,True,1000.0,1000.0,2000.0,1000.0,3000.0,1,0,0,0,0,1,0,True,,
466,Chorzow,Poland,50.3,18.95,319,land baltic,False,True,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,True,,
476,Clausthal Zellerfeld,Germany,51.8,10.33,560,land north sea,True,True,0.0,0.0,0.0,0.0,1000.0,0,0,1,0,0,1,0,True,,1613.0
482,Coburg,Germany,50.25,10.97,292,river north sea,True,True,1000.0,2000.0,3000.0,4000.0,3000.0,1,0,0,0,0,1,0,True,,
483,Coesfeld,Germany,51.93,7.17,89,river north sea,True,True,1000.0,1000.0,2000.0,1000.0,1000.0,1,0,0,0,0,1,0,True,,
489,Comines,France,50.77,3.02,11,river north sea,False,True,0.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,True,,1296.0
494,Conde sur l' Escaut,France,50.45,3.6,10,river north sea,False,True,2000.0,2000.0,2000.0,1000.0,1000.0,1,0,0,0,0,1,0,True,,
513,Cottbus,Germany,51.72,14.35,75,river north sea,True,True,0.0,1000.0,1000.0,2000.0,3000.0,1,0,0,0,0,1,0,True,,
522,Cronenberg,Germany,51.2,7.13,100,river north sea,True,True,1000.0,1000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,True,,
530,Czestochowa,Poland,50.82,19.1,253,river baltic,False,True,0.0,0.0,0.0,1000.0,2000.0,1,0,0,0,1,0,0,True,,
531,Dabrowa Gornicza,Poland,50.33,19.18,272,land baltic,False,True,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,True,,
535,Darmstadt,Germany,49.88,8.67,144,land north sea,True,True,1000.0,1000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,True,,
542,Delft,Netherlands,52.0,4.35,2,river north sea,True,True,1000.0,5000.0,6000.0,7000.0,12000.0,1,0,0,0,0,1,0,True,,1246.0
543,Dendermonde,Belgium,51.03,4.12,6,river north sea,True,True,3000.0,5000.0,9000.0,5000.0,5000.0,1,0,0,0,0,1,0,True,,
547,Dessau,Germany,51.83,12.23,60,river north sea,True,True,0.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,True,1533.0,
548,Deventer,Netherlands,52.25,6.17,7,river north sea,True,True,4000.0,6000.0,6000.0,5000.0,7000.0,1,0,0,0,0,1,0,True,,1340.0
550,Diest,Belgium,50.98,5.05,22,river north sea,True,True,0.0,1000.0,2000.0,6000.0,5000.0,1,0,0,0,0,1,0,True,,1362.0
555,Dinant,Belgium,50.27,4.92,96,river north sea,True,True,3000.0,4000.0,5000.0,6000.0,5000.0,1,0,0,0,0,1,0,True,,
560,Doebeln,Germany,51.12,13.12,158,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,True,,1500.0
565,Dordrecht,Netherlands,51.8,4.67,1,north sea + river,True,True,1000.0,3000.0,8000.0,8000.0,10000.0,1,1,0,0,0,1,0,True,1299.0,1331.0
568,Dortmund,Germany,51.52,7.47,86,land north sea,True,True,3000.0,4000.0,7000.0,9000.0,8000.0,0,0,1,0,0,1,0,True,,1232.0
569,Douai,France,50.37,3.07,26,river north sea,False,True,4000.0,8000.0,10000.0,7000.0,10000.0,1,0,0,0,0,1,0,True,,
570,Dour,Belgium,50.4,3.78,93,land north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,True,,
575,Dresden,Germany,51.05,13.73,111,river north sea,True,True,0.0,1000.0,5000.0,4000.0,5000.0,1,0,0,0,0,1,0,True,1455.0,
582,Dueren,Germany,50.8,6.5,125,river north sea,True,True,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,1,0,True,,
583,Duesseldorf,Germany,51.2,6.78,37,river north sea,True,True,1000.0,1000.0,2000.0,2000.0,2000.0,1,0,0,0,0,1,0,True,,1482.0
584,Duisburg,Germany,51.42,6.77,33,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,True,1273.0,1173.0
588,Dunkerque,France,51.05,2.37,2,north sea,False,True,3000.0,3000.0,4000.0,3000.0,7000.0,0,1,0,0,0,1,0,True,,
592,Ebersbach,Germany,51.0,14.58,382,river north sea,True,True,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,True,,
595,Edam,Netherlands,52.55,5.03,1,north sea,True,True,0.0,1000.0,2000.0,1000.0,4000.0,0,1,0,0,0,1,0,True,,1357.0
596,Ede,Netherlands,52.03,5.67,30,land north sea,True,True,0.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,True,,
599,Eeklo,Belgium,51.18,3.57,6,land north sea,True,True,0.0,1000.0,3000.0,2000.0,2000.0,0,0,1,0,0,1,0,True,,
602,Eilenburg,Germany,51.45,12.62,106,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,True,,
603,Einbeck,Germany,51.82,9.87,112,land north sea,True,True,0.0,1000.0,2000.0,3000.0,7000.0,0,0,1,0,0,1,0,True,,1252.0
604,Eindhoven,Netherlands,51.43,5.47,17,river north sea,True,True,0.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,True,,
605,Eisenach,Germany,50.98,10.32,215,river north sea,True,True,0.0,1000.0,2000.0,1000.0,4000.0,1,0,0,0,0,1,0,True,,1300.0
607,Eisleben,Germany,51.52,11.53,114,river north sea,True,True,2000.0,2000.0,4000.0,4000.0,9000.0,1,0,0,0,0,1,0,True,,1422.0
610,Elberfeld,Germany,51.27,7.13,210,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,True,,
612,Elblag,Poland,54.17,19.42,10,baltic + river,False,True,1000.0,2000.0,3000.0,5000.0,10000.0,1,1,0,0,1,0,0,True,1388.0,
620,Emden,Germany,53.37,7.2,2,north sea + river,True,True,2000.0,2000.0,3000.0,2000.0,5000.0,1,1,0,0,0,1,0,True,1433.0,1440.0
621,Emmerich,Germany,51.83,6.27,17,river north sea,True,True,2000.0,2000.0,3000.0,2000.0,4000.0,1,0,0,0,0,1,0,True,,1294.0
623,Enghien,Belgium,50.7,4.03,104,land north sea,True,True,1000.0,1000.0,2000.0,1000.0,5000.0,0,0,1,0,0,1,0,True,,
624,Enkhuizen,Netherlands,52.7,5.28,1,north sea,True,True,0.0,0.0,1000.0,1000.0,4000.0,0,1,0,0,0,1,0,True,1573.0,1364.0
626,Enschede,Netherlands,52.22,6.88,42,land north sea,True,True,0.0,0.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,True,,1517.0
629,Erfurt,Germany,50.97,11.02,194,river north sea,True,True,8000.0,15000.0,16000.0,11000.0,19000.0,1,0,0,0,0,1,0,True,1289.0,1331.0
630,Erlangen,Germany,49.6,11.02,279,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,True,,
631,Eschweiler,Germany,50.82,6.27,135,river north sea,True,True,2000.0,2000.0,2000.0,1000.0,1000.0,1,0,0,0,0,1,0,True,,
633,Essen,Germany,51.47,7.02,116,land north sea,True,True,2000.0,2000.0,1000.0,3000.0,3000.0,0,0,1,0,0,1,0,True,,1041.0
641,Eupen,Belgium,50.63,6.03,298,land north sea,True,True,0.0,1000.0,1000.0,1000.0,2000.0,0,0,1,0,0,1,0,True,,
643,Evergem,Belgium,51.12,3.7,7,land north sea,True,True,1000.0,1000.0,2000.0,1000.0,2000.0,0,0,1,0,0,1,0,True,,
664,Flensburg,Germany,54.78,9.43,26,baltic,True,True,1000.0,1000.0,2000.0,2000.0,3000.0,0,1,0,0,1,0,0,True,,
677,Franeker,Netherlands,53.18,5.53,4,river north sea,True,True,1000.0,1000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,True,,1502.0
678,Frankenberg,Germany,50.9,13.02,262,river north sea,True,True,0.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,True,,
679,Frankenthal,Germany,50.1,8.67,96,river north sea,True,True,2000.0,2000.0,3000.0,2000.0,12000.0,1,0,0,0,0,1,0,True,,1227.0
680,Frankfurt am Main,Germany,50.1,8.67,119,river north sea,True,True,3000.0,4000.0,13000.0,9000.0,12000.0,1,0,0,0,0,1,0,True,,
681,Frankfurt am Oder,Germany,52.33,14.55,23,river north sea,True,True,0.0,1000.0,5000.0,3000.0,11000.0,1,0,0,0,0,1,0,True,1253.0,
682,Freiberg,Germany,50.9,13.33,348,land north sea,True,True,0.0,1000.0,6000.0,4000.0,8000.0,0,0,1,0,0,1,0,True,1318.0,1263.0
690,Fuerth,Germany,49.47,10.98,304,river north sea,True,True,1000.0,1000.0,1000.0,2000.0,2000.0,1,0,0,0,0,1,0,True,,
691,Fulda,Germany,50.55,9.68,261,river north sea,True,True,2000.0,2000.0,3000.0,2000.0,4000.0,1,0,0,0,0,1,0,True,,
704,Gdansk,Poland,54.38,18.67,15,baltic,False,True,2000.0,5000.0,9000.0,20000.0,30000.0,0,1,0,0,1,0,0,True,1411.0,
705,Gdynia,Poland,54.5,18.55,5,baltic,False,True,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,True,,
708,Gelsenkirchen,Germany,51.52,7.1,48,land north sea,True,True,0.0,1000.0,1000.0,1000.0,0.0,0,0,1,0,0,1,0,True,,
711,Gent,Belgium,51.05,3.72,4,river north sea,True,True,8000.0,25000.0,64000.0,64000.0,45000.0,1,0,0,0,0,1,0,True,1251.0,1000.0
713,Gera,Germany,50.7,12.18,194,river north sea,True,True,0.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,True,,1427.0
714,Geraardsbergen,Belgium,50.77,3.87,32,river north sea,True,True,1000.0,2000.0,4000.0,3000.0,5000.0,1,0,0,0,0,1,0,True,,
719,Giessen,Germany,50.58,8.7,159,land north sea,True,True,0.0,1000.0,1000.0,1000.0,2000.0,0,0,1,0,0,1,0,True,,
729,Glauchau,Germany,50.82,12.53,266,land north sea,True,True,0.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,True,,
730,Gliwice,Poland,50.28,18.67,200,river baltic,False,True,0.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,1,0,0,True,,
731,Glogow,Poland,51.67,16.08,232,river baltic,False,True,2000.0,2000.0,3000.0,2000.0,9000.0,1,0,0,0,1,0,0,True,1315.0,
733,Glueckstadt,Germany,53.78,9.42,2,north sea + river,True,True,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,True,1645.0,
736,Gniezno,Poland,52.53,17.6,120,land baltic,False,True,3000.0,4000.0,5000.0,4000.0,3000.0,0,0,1,0,1,0,0,True,1440.0,
738,Goerlitz,Germany,51.15,14.99,201,river baltic,True,True,1000.0,2000.0,5000.0,8000.0,8000.0,1,0,0,0,1,0,0,True,1339.0,
739,Goes,Netherlands,51.5,3.9,1,river north sea,True,True,1000.0,1000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,True,,1417.0
741,Goettingen,Germany,51.53,9.95,150,land north sea,True,True,2000.0,4000.0,8000.0,5000.0,7000.0,0,0,1,0,0,1,0,True,,1380.0
742,Gorinchem,Netherlands,51.83,4.98,2,river north sea,True,True,1000.0,2000.0,2000.0,1000.0,4000.0,1,0,0,0,0,1,0,True,,1259.0
745,Gorzow Wielkopolski,Poland,52.7,15.2,19,river baltic,False,True,0.0,1000.0,2000.0,1000.0,2000.0,1,0,0,0,1,0,0,True,1391.0,
746,Goslar,Germany,51.9,10.42,406,river north sea,True,True,2000.0,4000.0,9000.0,6000.0,12000.0,1,0,0,0,0,1,0,True,,1350.0
748,Gotha,Germany,50.95,10.72,290,land north sea,True,True,3000.0,4000.0,5000.0,3000.0,3000.0,0,0,1,0,0,1,0,True,,1500.0
749,Gouda,Netherlands,52.02,4.72,-2,river north sea,True,True,0.0,1000.0,2000.0,4000.0,11000.0,1,0,0,0,0,1,0,True,,1336.0
762,Greifswald,Germany,54.08,13.38,7,baltic + river,True,True,0.0,1000.0,8000.0,5000.0,2000.0,1,1,0,0,1,0,0,True,1274.0,1250.0
764,Grimma,Germany,51.23,12.72,128,river north sea,True,True,0.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,True,,1390.0
767,Groningen,Netherlands,53.22,6.55,1,river north sea,True,True,2000.0,3000.0,4000.0,5000.0,14000.0,1,0,0,0,0,1,0,True,1500.0,1100.0
768,Grossenhain,Germany,51.28,13.52,115,river north sea,True,True,0.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,True,1490.0,
770,Grudziadz,Poland,53.48,18.75,50,river baltic,False,True,1000.0,2000.0,3000.0,2000.0,3000.0,1,0,0,0,1,0,0,True,,
774,Gubin,Poland,51.98,14.7,45,river baltic,False,True,0.0,0.0,1000.0,1000.0,2000.0,1,0,0,0,1,0,0,True,,
776,Guestrow,Germany,53.8,12.17,13,river baltic,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,1,0,0,True,,
784,Haarlem,Netherlands,52.38,4.63,-1,river north sea,True,True,2000.0,3000.0,5000.0,8000.0,12000.0,1,0,0,0,0,1,0,True,1514.0,1267.0
785,Hagen,Germany,51.37,7.48,106,land north sea,True,True,0.0,0.0,0.0,0.0,1000.0,0,0,1,0,0,1,0,True,,
790,Halberstadt,Germany,51.9,11.07,120,river north sea,True,True,5000.0,8000.0,6000.0,4000.0,10000.0,1,0,0,0,0,1,0,True,,1136.0
793,Halle,Germany,51.48,11.97,105,river north sea,True,True,2000.0,3000.0,4000.0,3000.0,7000.0,1,0,0,0,0,1,0,True,,1128.0
794,Hamburg,Germany,53.55,9.98,3,north sea + river,True,True,2000.0,2000.0,5000.0,8000.0,30000.0,1,1,0,0,0,1,0,True,1458.0,1000.0
795,Hameln,Germany,52.1,9.35,68,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,True,1627.0,1240.0
797,Hamm,Germany,51.67,7.82,63,river north sea,True,True,0.0,2000.0,3000.0,2000.0,2000.0,1,0,0,0,0,1,0,True,,
798,Hamme,Belgium,51.1,4.13,6,river north sea,True,True,2000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,True,,
799,Hanau,Germany,50.13,8.92,103,river north sea,True,True,2000.0,2000.0,2000.0,1000.0,1000.0,1,0,0,0,0,1,0,True,,
800,Hannover,Germany,52.4,9.73,53,river north sea,True,True,1000.0,2000.0,5000.0,5000.0,6000.0,1,0,0,0,0,1,0,True,,1399.0
802,Harderwijk,Netherlands,52.35,5.6,2,north sea,True,True,0.0,1000.0,2000.0,2000.0,4000.0,0,1,0,0,0,1,0,True,1443.0,1294.0
804,Harlingen,Netherlands,53.3,5.4,2,north sea,True,True,1000.0,1000.0,2000.0,1000.0,3000.0,0,1,0,0,0,1,0,True,,
808,Hasselt,Belgium,50.93,5.33,42,river north sea,True,True,2000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,True,,
809,Hattingen,Germany,51.4,7.18,90,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,True,,
810,Hazebrouck,France,50.72,2.53,33,land north sea,False,True,1000.0,1000.0,2000.0,1000.0,3000.0,0,0,1,0,0,1,0,True,,
811,Heerlen,Netherlands,50.9,5.98,116,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,1,0,0,0,0,1,0,True,,
812,Heidelberg,Germany,49.42,8.72,311,river north sea,True,True,4000.0,3000.0,10000.0,5000.0,8000.0,1,0,0,0,0,1,0,True,,
815,Helmond,Netherlands,51.48,5.67,18,land north sea,True,True,0.0,1000.0,2000.0,1000.0,2000.0,0,0,1,0,0,1,0,True,,
816,Helmstedt,Germany,52.22,11.0,123,land north sea,True,True,2000.0,3000.0,2000.0,1000.0,2000.0,0,0,1,0,0,1,0,True,,
817,Helsingor,Denmark,56.05,12.63,1,north sea,False,True,1000.0,2000.0,2000.0,3000.0,3000.0,0,1,0,0,0,1,0,True,,1500.0
820,Herford,Germany,52.1,8.67,65,river north sea,True,True,2000.0,2000.0,4000.0,2000.0,2000.0,1,0,0,0,0,1,0,True,,1488.0
822,Herne,Germany,51.55,7.22,65,land north sea,True,True,1000.0,1000.0,1000.0,1000.0,0.0,0,0,1,0,0,1,0,True,,
824,Hildesheim,Germany,52.15,9.95,129,river north sea,True,True,3000.0,5000.0,8000.0,6000.0,10000.0,1,0,0,0,0,1,0,True,,1300.0
825,Hilversum,Netherlands,52.23,5.17,5,land north sea,True,True,0.0,0.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,True,,
