cid,city,country,lat,lon,elev,transport,in_hre,in_cne,pop800,pop900,pop1000,pop1100,pop1200,pop1300,pop1400,pop1500,on_river,on_coast,inland,atlantic,baltic,northsea,medit,l800,l1000,l1200,l1300,l1400,l1500,elev_z
55,Almere,Netherlands,52.37,5.22,-3,river north sea,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,,,,,,,-0.9263957650423146
59,Altamura,Italy,40.83,16.55,458,land mediterranean,False,True,0.0,0.0,0.0,0.0,1000.0,2000.0,1000.0,6000.0,0,0,1,0,0,0,1,,,6.907755278982137,7.600902459542082,6.907755278982137,8.699514748210191,1.3482336494825173
61,Altenburg,Germany,50.98,12.43,227,river north sea,True,True,0.0,0.0,1000.0,1000.0,2000.0,1000.0,3000.0,3000.0,1,0,0,0,0,1,0,,6.907755278982137,7.600902459542082,6.907755278982137,8.006367567650246,8.006367567650246,0.20845188211757998
62,Altona,Germany,56.57,9.93,10,north sea + river,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1,1,0,0,0,1,0,,,,,,7.600902459542082,-0.8622522023767553
63,Altstaetten,Switzerland,47.38,9.55,410,land north sea,True,True,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,,6.907755278982137,6.907755278982137,6.907755278982137,6.907755278982137,6.907755278982137,1.1113958796404526
65,Amalfi,Italy,40.63,14.6,10,med,False,True,4000.0,7000.0,12000.0,6000.0,4000.0,3000.0,2000.0,2000.0,0,1,0,0,0,0,1,8.294049640102028,9.392661928770137,8.294049640102028,8.006367567650246,7.600902459542082,7.600902459542082,-0.8622522023767553
66,Amberg,Germany,49.45,11.87,373,river north sea,True,True,0.0,0.0,0.0,1000.0,1000.0,3000.0,3000.0,4000.0,1,0,0,0,0,1,0,,,6.907755278982137,8.006367567650246,8.006367567650246,8.294049640102028,0.9288334320538608
67,Ambert,France,45.55,3.75,514,land north sea,False,True,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,2000.0,0,0,1,0,0,1,0,,,,6.907755278982137,6.907755278982137,7.600902459542082,1.6245443809649265
68,Amboise,France,47.42,0.98,52,river north sea,False,True,0.0,0.0,0.0,1000.0,2000.0,3000.0,5000.0,5000.0,1,0,0,0,0,1,0,,,7.600902459542082,8.006367567650246,8.517193191416238,8.517193191416238,-0.6550191537649485
69,Amersfoort,Netherlands,52.15,5.4,3,river north sea,True,True,0.0,0.0,1000.0,1000.0,2000.0,3000.0,2000.0,7000.0,1,0,0,0,0,1,0,,6.907755278982137,7.600902459542082,8.006367567650246,7.600902459542082,8.85366542803745,-0.8967910438120564
70,Amiens,France,49.9,2.3,25,river north sea,False,True,2000.0,3000.0,4000.0,5000.0,7000.0,9000.0,6000.0,20000.0,1,0,0,0,0,1,0,7.600902459542082,8.294049640102028,8.85366542803745,9.104979856318357,8.699514748210191,9.903487552536127,-0.78824039930111
71,Amsterdam,Netherlands,52.37,4.9,2,north sea,True,True,0.0,0.0,0.0,0.0,1000.0,1000.0,3000.0,12000.0,0,1,0,0,0,1,0,,,6.907755278982137,6.907755278982137,8.006367567650246,9.392661928770137,-0.9017251640170995
72,Anagni,Italy,41.73,13.17,475,land mediterranean,False,True,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,6.907755278982137,6.907755278982137,7.600902459542082,7.600902459542082,6.907755278982137,7.600902459542082,1.4321136929682488
73,Ancona,Italy,43.63,13.5,1,med,False,True,3000.0,3000.0,3000.0,3000.0,4000.0,5000.0,3000.0,5000.0,0,1,0,0,0,0,1,8.006367567650246,8.006367567650246,8.294049640102028,8.517193191416238,8.006367567650246,8.517193191416238,-0.9066592842221425
74,Andernach,Germany,50.43,7.4,60,river north sea,True,True,1000.0,2000.0,2000.0,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,1,0,6.907755278982137,7.600902459542082,8.006367567650246,8.006367567650246,7.600902459542082,8.006367567650246,-0.6155461921246044
76,Andria,Italy,41.22,16.3,152,land mediterranean,False,True,0.0,0.0,1000.0,1000.0,2000.0,3000.0,2000.0,5000.0,0,0,1,0,0,0,1,,6.907755278982137,7.600902459542082,8.006367567650246,7.600902459542082,8.517193191416238,-0.16160713326064652
78,Anduze,France,44.05,3.98,117,river mediterranean,False,True,1000.0,2000.0,2000.0,2000.0,3000.0,4000.0,3000.0,6000.0,1,0,0,0,0,0,1,6.907755278982137,7.600902459542082,8.006367567650246,8.294049640102028,8.006367567650246,8.699514748210191,-0.3343013404371522
79,Angers,France,47.47,-0.55,39,river north sea,False,True,2000.0,3000.0,4000.0,6000.0,7000.0,10000.0,6000.0,13000.0,1,0,0,0,0,1,0,7.600902459542082,8.294049640102028,8.85366542803745,9.210340371976184,8.699514748210191,9.472704636443673,-0.7191627164305078
80,Angouleme,France,45.65,0.15,65,river north sea,False,True,2000.0,2000.0,3000.0,3000.0,4000.0,5000.0,3000.0,4000.0,1,0,0,0,0,1,0,7.600902459542082,8.006367567650246,8.294049640102028,8.517193191416238,8.006367567650246,8.294049640102028,-0.5908755910993893
81,Angri,Italy,40.73,14.57,25,land mediterranean,False,True,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,6.907755278982137,6.907755278982137,6.907755278982137,7.600902459542082,-0.78824039930111
82,Anklam,Germany,53.85,13.68,6,river baltic,True,True,0.0,0.0,0.0,0.0,1000.0,2000.0,1000.0,2000.0,1,0,0,0,1,0,0,,,6.907755278982137,7.600902459542082,6.907755278982137,7.600902459542082,-0.8819886831969274
83,Annaberg,Germany,50579.0,13.0,300,land north sea,True,True,0.0,0.0,0.0,0.0,0.0,1000.0,2000.0,4000.0,0,0,1,0,0,1,0,,,,6.907755278982137,7.600902459542082,8.294049640102028,0.5686426570857204
84,Annecy,France,45.9,6.12,418,river mediterranean,False,True,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,0,1,6.907755278982137,6.907755278982137,6.907755278982137,6.907755278982137,6.907755278982137,7.600902459542082,1.1508688412807968
85,Annonay,France,45.23,4.67,270,land mediterranean,False,True,0.0,1000.0,1000.0,1000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,6.907755278982137,7.600902459542082,7.600902459542082,6.907755278982137,7.600902459542082,0.4206190509344298
86,Ansbach,Germany,49.28,10.6,406,river north sea,True,True,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,,,6.907755278982137,6.907755278982137,6.907755278982137,7.600902459542082,1.0916593988202805
88,Antibes,France,43.58,7.1,9,med,False,True,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0,1000.0,1000.0,0,1,0,0,0,0,1,6.907755278982137,7.600902459542082,7.600902459542082,7.600902459542082,6.907755278982137,6.907755278982137,-0.8671863225817983
89,Antwerpen,Belgium,51.22,4.42,3,north sea + river,True,True,1000.0,1000.0,2000.0,2000.0,3000.0,7000.0,15000.0,30000.0,1,1,0,0,0,1,0,6.907755278982137,7.600902459542082,8.006367567650246,8.85366542803745,9.615805480084347,10.308952660644293,-0.8967910438120564
90,Aosta,Italy,45.73,7.32,583,river mediterranean,False,True,1000.0,2000.0,2000.0,2000.0,3000.0,3000.0,2000.0,2000.0,1,0,0,0,0,0,1,6.907755278982137,7.600902459542082,8.006367567650246,8.006367567650246,7.600902459542082,7.600902459542082,1.964998675112895
91,Apeldoorn,Netherlands,52.22,5.97,16,land north sea,True,True,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,1000.0,1000.0,0,0,1,0,0,1,0,6.907755278982137,6.907755278982137,7.600902459542082,7.600902459542082,6.907755278982137,6.907755278982137,-0.8326474811464972
92,Apt,France,43.88,5.4,170,land mediterranean,False,True,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0,1000.0,3000.0,0,0,1,0,0,0,1,6.907755278982137,7.600902459542082,7.600902459542082,7.600902459542082,6.907755278982137,8.006367567650246,-0.07279296956987215
93,Aquila,Italy,42.35,13.37,756,land mediterranean,False,True,0.0,0.0,0.0,0.0,0.0,20000.0,13000.0,10000.0,0,0,1,0,0,0,1,,,,9.903487552536127,9.472704636443673,9.210340371976184,2.818601470585337
96,Aragona,Italy,37.4,13.62,400,land mediterranean,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,,,,,,,1.0620546775900224
98,Arbois,France,46.9,5.77,246,land mediterranean,False,True,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,6.907755278982137,6.907755278982137,6.907755278982137,7.600902459542082,0.30220016601339733
101,Ardooie,Belgium,50.98,3.2,21,land north sea,True,True,0.0,1000.0,1000.0,1000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,1,0,,6.907755278982137,7.600902459542082,7.600902459542082,6.907755278982137,7.600902459542082,-0.8079768801212821
102,Arezzo,Italy,43.42,11.88,415,land mediterranean,False,True,2000.0,3000.0,4000.0,6000.0,8000.0,10000.0,4000.0,6000.0,0,0,1,0,0,0,1,7.600902459542082,8.294049640102028,8.987196820661973,9.210340371976184,8.294049640102028,8.699514748210191,1.1360664806656677
103,Argentan,France,48.75,-0.02,152,land north sea,False,True,0.0,0.0,1000.0,1000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,1,0,,6.907755278982137,7.600902459542082,7.600902459542082,6.907755278982137,7.600902459542082,-0.16160713326064652
104,Argenteuil,France,48.95,2.25,25,river north sea,False,True,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,6.907755278982137,7.600902459542082,7.600902459542082,7.600902459542082,6.907755278982137,7.600902459542082,-0.78824039930111
107,Ariano Irpino,Italy,41.15,15.08,627,land mediterranean,False,True,1000.0,1000.0,1000.0,2000.0,2000.0,3000.0,2000.0,4000.0,0,0,1,0,0,0,1,6.907755278982137,6.907755278982137,7.600902459542082,8.006367567650246,7.600902459542082,8.294049640102028,2.1820999641347876
109,Arles,France,43.67,4.63,8,river mediterranean,False,True,5000.0,5000.0,6000.0,7000.0,7000.0,8000.0,5000.0,10000.0,1,0,0,0,0,0,1,8.517193191416238,8.699514748210191,8.85366542803745,8.987196820661973,8.517193191416238,9.210340371976184,-0.8721204427868413
110,Arlon,Belgium,49.68,5.82,421,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,2000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,6.907755278982137,6.907755278982137,7.600902459542082,6.907755278982137,6.907755278982137,7.600902459542082,1.1656712018959259
113,Armentieres (Armenti̬res),France,50.68,2.88,11,river north sea,False,True,0.0,1000.0,1000.0,1000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,,6.907755278982137,7.600902459542082,7.600902459542082,6.907755278982137,7.600902459542082,-0.8573180821717122
114,Arnhem,Netherlands,51.98,5.92,13,river north sea,True,True,0.0,1000.0,1000.0,2000.0,2000.0,2000.0,3000.0,6000.0,1,0,0,0,0,1,0,,6.907755278982137,7.600902459542082,7.600902459542082,8.006367567650246,8.699514748210191,-0.8474498417616263
116,Arpino,Italy,41.63,13.62,390,land mediterranean,False,True,2000.0,2000.0,2000.0,3000.0,3000.0,4000.0,3000.0,4000.0,0,0,1,0,0,0,1,7.600902459542082,7.600902459542082,8.006367567650246,8.294049640102028,8.006367567650246,8.294049640102028,1.0127134755395921
117,Arras,France,50.28,2.78,86,river north sea,False,True,4000.0,6000.0,8000.0,13000.0,20000.0,30000.0,10000.0,11000.0,1,0,0,0,0,1,0,8.294049640102028,8.987196820661973,9.903487552536127,10.308952660644293,9.210340371976184,9.305650551780507,-0.4872590667934858
120,Aschaffenburg,Germany,49.98,9.15,138,river north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,2000.0,1000.0,1000.0,1,0,0,0,0,1,0,6.907755278982137,6.907755278982137,6.907755278982137,7.600902459542082,6.907755278982137,6.907755278982137,-0.23068481613124878
