city_id,comment,time_point,type_conflict,type_detail,warlabel,overreported,uncertainty,range,ThirtyYW_leader,ThirtyYW_conflict_party,ThirtyYW_territory,ThirtyYW_country,source
1031,Niederbrennung durch Polen 1463,1463,2,a3,0,0,0,0,,,,,"10, 11"
1031,Wiedereroberung durch Heinrich Reusz von Plauen 1454,1454,1,e2,0,0,0,0,,,,,"10, 11"
1032,1455 liesz der Bgm. Gegen den Willen der Buerger boehm. Soeldner ins Schloss,1455,1,c2,0,0,0,0,,,,,"10, 11"
1032,1466 vergebl Belagerung durch Hochmeister Ludwig von Erlichhausen,1466,3,d2,0,0,0,0,,,,,"10, 11"
1032,1703-04 residierte Karl XII auf dem Schlosse und beraubte es seiner Bibl. Und Kunstschaetze,1703,3,c1,0,0,0,0,,,,,"10, 11"
1032,1703-04 residierte Karl XII auf dem Schlosse und beraubte es seiner Bibl. Und Kunstschaetze,1703,3,b3,0,0,0,0,,,,,"10, 11"
1032,Belagerung und Besetzung durch Hochmeister Albrecht 1520,1520,3,d2,0,0,0,0,,,,,"10, 11"
1032,Belagerung und Besetzung durch Hochmeister Albrecht 1520,1520,3,cd1,0,0,0,0,,,,,"10, 11"
1032,Belagerung und Besetzung durch Polen 1478,1478,3,d2,0,0,0,0,,,,,"10, 11"
1032,Belagerung und Besetzung durch Polen 1478,1478,3,cd1,0,0,0,0,,,,,"10, 11"
1032,Belagerung und Besetzung durch Schweden 1626,1626,3,d2,2,0,0,0,28,2,21,7,"10, 11"
1032,Belagerung und Besetzung durch Schweden 1626,1626,3,cd1,2,0,0,0,28,2,21,7,"10, 11"
1034,1414 und 1457 wurden Hakelwerk und Sparge durch poln. Streifkorps gebrandschatzt,1414,3,b4,0,0,0,0,,,,,"10, 11"
1034,1414 und 1457 wurden Hakelwerk und Sparge durch poln. Streifkorps gebrandschatzt,1457,3,b4,0,0,0,0,,,,,"10, 11"
1034,1657 wueteten die Tataren,1657,2,f1,0,0,0,0,,,,,"10, 11"
1034,Im 7jaehr Krieg war I von den Russen besetzt,1756,3,cd1,3,0,0,2,,,,,"10, 11"
1036,Im 7jaehr Krieg wurde K. 1758-62 von Russen besetzt,1758,3,cd1,0,0,0,0,,,,,"10, 11"
1037,1455 ergab sich Kr. Dem Spittler Heinrich Reusz von Plauen,1455,1,e6,0,0,0,0,,,,,"10, 11"
1037,1520 von Polen erstuermt und gepluendert,1520,1,e9,0,0,0,0,,,,,"10, 11"
1037,1520 von Polen erstuermt und gepluendert,1520,3,b3,0,0,0,0,,,,,"10, 11"
1037,1758-62 russ. Besatzung,1758,3,cd1,0,0,0,0,,,,,"10, 11"
1045,1707 Franzosen in M.,1707,3,c2,0,0,0,0,,,,,"10, 11"
1045,1758-62 russ. Besatzung,1758,3,cd1,0,0,0,0,,,,,"10, 11"
1045,Buerger verteidigten Stadt und Burg 1658 und 1659 mit Erfolg,1658,1,e1,0,0,0,0,,,,,"10, 11"
